,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20112012,HC Dukla Jihlava U16,Czech U16,83527,0.765,12.0,1
0,20122013,HC Dukla Jihlava U16,Czech U16,83527,0.905,2.9,7
0,20132014,HC Dukla Jihlava U16,Czech U16,83527,0.923,2.07,14
0,20142015,HC Dukla Jihlava U18,Czech U18,33642,0.833,6.0,1
0,20142015,HC Dukla Jihlava U20,Czech U20,33655,1.0,0.0,1
0,20142015,HC Dukla Jihlava U16,Czech U16,83527,0.937,2.07,36
0,20152016,HC Dukla Jihlava,Czechia2,13620,0.931,2.26,20
0,20152016,HC Dukla Jihlava U18,Czechia U18,35474,0.894,3.35,3
0,20152016,HC Dukla Jihlava U20,Czechia U20,35487,0.939,2.11,9
0,20152016,Czechia U17,WHC-17,61320,0.863,4.67,3
0,20162017,HC Sparta Praha,Czechia,3616,0.946,1.47,4
0,20162017,HC Dukla Jihlava,Czechia2,13620,0.925,2.11,28
0,20162017,Czechia U18,WJC-18,17013,0.853,5.29,4
0,20162017,Czechia U20,WJC-20,17046,0.884,3.34,3
0,20162017,HC Dukla Jihlava U20,Czechia U20,35487,0.95,1.0,1
0,20172018,HC Dukla Jihlava,Czechia,13606,0.913,2.41,21
0,20172018,Czechia U20,WJC-20,17046,0.848,5.19,5
0,20172018,HC Stadion Litomerice,Czechia2,36600,0.942,1.9,10
0,20182019,Pelicans,Liiga,929,0.906,2.45,22
0,20182019,Czechia U20,WJC-20,17046,0.9,3.0,1
0,20182019,Peliitat,Mestis,31337,0.896,2.86,7
0,20192020,Bridgeport Islanders,AHL,827,0.888,3.27,16
0,20192020,Worcester Railers,ECHL,217515,0.879,3.73,14
0,20202021,Bridgeport Islanders,AHL,827,0.887,3.5,12
0,20202021,Peliitat,Mestis,31337,0.833,4.44,4
0,20212022,Bridgeport Islanders,AHL,827,0.896,3.3,37
