,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20132014,Blues U16,Jr. C SM-sarja,80552,0,0,0,1,0,0.0,0
0,20132014,Blues U16 Akatemia,Jr. C SM-sarja,81412,7,12,8,31,8,0.0,19
0,20142015,Blues U18,Jr. B SM-sarja,24439,3,4,2,9,2,0.0,7
0,20142015,Blues U16,Jr. C SM-sarja,80552,14,12,14,23,14,0.0,26
0,20152016,Kiekko-Espoo U20,U20 SM-sarja,18670,1,0,0,6,0,0.0,1
0,20152016,Kiekko-Espoo U18,U18 SM-sarja,25341,16,14,26,38,26,,30
0,20152016,Finland U17,WHC-17,61280,0,0,0,5,0,,0
0,20162017,Finland U18,WJC-18,17093,3,4,6,7,6,1.0,7
0,20162017,Kiekko-Espoo U20,U20 SM-sarja,18670,24,13,36,46,36,26.0,37
0,20162017,Finland U18,Hlinka Gretzky Cup,158280,1,0,12,4,12,-3.0,1
0,20172018,Kiekko-Espoo U20,U20 SM-sarja,18670,24,34,34,41,34,31.0,58
0,20182019,Finland U20,WJC-20,17116,3,4,14,7,14,9.0,7
0,20182019,Penn State Univ.,NCAA,21740,11,5,2,17,2,1.0,16
0,20192020,Penn State Univ.,NCAA,21740,13,6,2,30,2,8.0,19
0,20202021,Penn State Univ.,NCAA,21740,6,7,6,21,6,3.0,13
0,20202021,Binghamton Devils,AHL,233827,2,1,2,18,2,-2.0,3
0,20212022,Utica Comets,AHL,152247,12,12,22,68,22,13.0,24
