,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Northwest,UMHSEL,1,5,6,4,15,4,11,,,,,,,,,,,,,,,,,
0,20102011,Hill-Murray,High-MN,2,30,19,10,28,10,49,,,,,,,,,,,,,,,,,
0,20112012,Southeast,UMHSEL,1,27,14,8,21,8,41,,,,,,,,,,,,,,,,,
0,20112012,Hill-Murray,High-MN,2,52,23,16,31,16,75,,,,,,,,,,,,,,,,,
0,20122013,Sioux City,USHL,1,44,29,24,60,24,73,153.0,11.0,18.95,3.0,0.0,13.0,,,,,,,,,,,
0,20132014,Nebraska-Omaha,NCHC,1,27,7,16,37,16,34,,2.0,,1.0,0.0,,,,,,,,,,,,
0,20142015,Nebraska-Omaha,NCHC,1,25,14,34,36,34,39,,3.0,,1.0,0.0,,,,,,,,,,,,
0,20152016,Nebraska-Omaha,NCHC,1,27,19,20,35,20,46,108.0,5.0,17.6,0.0,3.0,6.0,,,,,,,,,,,
0,20152016,Wilkes-Barre,AHL,2,4,2,0,11,0,6,29.0,0.0,6.9,1.0,0.0,-1.0,,,,,,,,,,,
0,20152016,Wilkes-Barre/Scranton Penguins,AHL,1077,4,2,0,11,0,6,,,,,,-1.0,,,,,,,,,,,
0,20152016,Univ. of Nebraska-Omaha,NCAA,7640,27,19,20,35,20,46,,,,,,6.0,,,,,,,,,,,
0,20162017,Pittsburgh Penguins,National Hockey League,1,17,16,10,40,10,33,81.0,1.0,19.75,0.0,0.0,7.0,635:26,61.0,3.0,54:53,580:18,47.06,0.0,0.0,00:15,18.0,820.0
0,20162017,Wilkes-Barre/Scranton Penguins,AHL,1077,21,21,12,33,12,42,,,,,,21.0,,,,,,,,,,,
0,20172018,Pittsburgh Penguins,National Hockey League,1,26,22,42,82,42,48,171.0,7.0,12.87,1.0,0.0,-9.0,1351:52,142.0,12.0,144:52,1188:26,50.0,0.0,0.0,18:34,46.0,1792.0
0,20182019,Pittsburgh Penguins,National Hockey League,1,36,40,26,82,26,76,227.0,6.0,17.62,4.0,1.0,13.0,1586:45,105.0,11.0,174:05,1372:35,33.33,1.0,1.0,40:05,47.0,2008.0
0,20192020,Pittsburgh Penguins,National Hockey League,1,23,20,14,39,14,43,127.0,6.0,15.7,4.0,0.0,11.0,804:35,46.0,10.0,123:46,671:17,47.83,1.0,0.0,09:32,19.0,981.0
0,20202021,Pittsburgh Penguins,National Hockey League,1,34,23,28,56,28,57,141.0,6.0,16.3,7.0,0.0,7.0,1134:58,43.0,18.0,169:01,962:55,25.0,1.0,1.0,03:02,32.0,1403.0
0,20212022,Pittsburgh Penguins,National Hockey League,1,44,40,44,76,44,84,264.0,7.0,15.2,7.0,0.0,13.0,1527:24,72.0,22.0,269:56,1251:44,52.0,1.0,0.0,05:44,38.0,1825.0
