,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,faceOffPct,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Russia U18,WJC-18,16563,4,0,6,7,6,5.0,4,,,,,,,,,,,,,,,,
0,20072008,Russia,WJ18-A,2,2,0,6,6,6,,2,0.0,,,,,,,,,,,,,,,
0,20082009,Drummondville,QMJHL,1,50,12,46,57,46,,62,0.0,,,,,,,,,,,,,,,
0,20082009,Russia,WJC-A,2,4,0,4,7,4,,4,0.0,,,,,,,,,,,,,,,
0,20092010,Florida Panthers,National Hockey League,1,13,3,32,68,32,-5.0,16,0.0,1219:40,87.0,79.0,1.0,10.0,188:32,1006:53,3.45,0.0,0.0,0.0,0.0,24:15,90.0,1493.0
0,20092010,Russia,WC-A,5,2,0,8,9,8,,2,0.0,,,,,,,,,,,,,,,
0,20102011,Florida Panthers,National Hockey League,1,20,6,45,72,45,-5.0,26,0.0,1436:26,83.0,107.0,1.0,5.0,187:59,1185:36,7.23,1.0,1.0,0.0,0.0,62:51,79.0,1726.0
0,20102011,Russia,WC-A,9,1,2,4,9,4,-3.0,3,,,,,0.0,,,,,0.0,,0.0,,,,
0,20112012,Florida Panthers,National Hockey League,1,24,4,36,58,36,-5.0,28,0.0,1267:38,104.0,104.0,2.0,10.0,165:04,1042:06,3.85,1.0,0.0,0.0,0.0,60:28,74.0,1588.0
0,20122013,Florida Panthers,National Hockey League,1,7,3,22,34,22,-5.0,10,0.0,713:12,52.0,84.0,2.0,6.0,81:49,590:04,5.77,2.0,1.0,0.0,0.0,41:19,49.0,869.0
0,20122013,Yaroslavl,KHL,99,4,3,28,22,28,-8.0,7,,,,,,,,,,,,,,,,
0,20132014,Florida Panthers,National Hockey League,1,11,8,66,81,66,-26.0,19,0.0,1757:09,127.0,125.0,2.0,5.0,193:39,1417:04,6.3,0.0,0.0,1.0,1.0,146:26,92.0,2282.0
0,20142015,Florida Panthers,National Hockey League,1,19,3,48,73,48,0.0,22,0.0,1555:44,83.0,114.0,1.0,6.0,109:03,1261:47,3.61,0.0,0.0,0.0,1.0,184:54,105.0,1905.0
0,20142015,Russia,WC-A,2,2,0,8,10,8,8.0,2,,,7.0,,0.0,,,,,0.0,,0.0,,,,
0,20152016,Florida Panthers,National Hockey League,1,16,1,51,74,51,8.0,17,0.0,1556:33,99.0,122.0,0.0,6.0,103:27,1277:43,1.01,1.0,0.0,0.0,0.0,175:23,121.0,1808.0
0,20162017,Buffalo Sabres,National Hockey League,1,3,2,26,47,26,-26.0,5,0.0,1029:26,42.0,60.0,1.0,3.0,41:15,912:43,4.76,0.0,0.0,0.0,0.0,75:28,72.0,1315.0
0,20162017,Russia,WCup,17546,0,0,0,4,0,0.0,0,,,,,,,,,,,,,,,,
0,20172018,Winnipeg Jets,National Hockey League,1,8,3,22,62,22,6.0,11,0.0,1058:28,48.0,69.0,0.0,0.0,03:46,898:17,6.25,1.0,0.0,0.0,0.0,156:25,78.0,1309.0
0,20182019,Winnipeg Jets,National Hockey League,1,6,0,47,57,47,4.0,6,0.0,892:49,40.0,88.0,0.0,0.0,05:14,828:59,0.0,0.0,0.0,0.0,0.0,58:36,71.0,1060.0
0,20192020,Winnipeg Jets,National Hockey League,1,8,2,32,51,32,-4.0,10,0.0,1020:59,54.0,104.0,0.0,0.0,06:20,944:51,3.7,1.0,0.0,0.0,0.0,69:48,77.0,1241.0
0,20202021,New Jersey Devils,National Hockey League,1,2,0,26,38,26,-4.0,2,0.0,742:40,43.0,72.0,0.0,0.0,01:52,644:57,0.0,0.0,0.0,0.0,0.0,95:51,39.0,922.0
0,20202021,Edmonton Oilers,National Hockey League,2,2,0,2,10,2,1.0,2,0.0,177:23,8.0,21.0,0.0,0.0,00:00,166:26,0.0,0.0,0.0,0.0,0.0,10:57,10.0,210.0
0,20212022,Minnesota Wild,National Hockey League,1,17,7,39,80,39,23.0,24,0.0,1455:41,74.0,100.0,0.0,0.0,12:27,1287:54,9.5,2.0,1.0,0.0,0.0,155:20,103.0,1765.0
