,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Van. NW Giants,BCMML,1,14,7,4,26,4,21,,,,,,,,,,,,,,,,,
0,20102011,Van. NW Giants,BCMML,1,72,36,58,38,58,108,,,,,,,,,,,,,,,,,
0,20102011,Coquitlam,BCHL,2,0,0,0,5,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,
0,20112012,Coquitlam,BCHL,1,44,25,24,51,24,69,8.0,6.0,0.0,,,,,,,,,,,,,,
0,20122013,Coquitlam,BCHL,1,11,8,16,16,16,19,2.0,2.0,0.0,,,,,,,,,,,,,,
0,20132014,Harvard,ECAC,1,6,8,8,25,8,14,3.0,0.0,0.0,,,,,,,,,,,,,,
0,20142015,Harvard,ECAC,1,22,8,12,27,12,30,1.0,0.0,0.0,,,,,,,,,,,,,,
0,20152016,Harvard,ECAC,1,30,4,16,33,16,34,0.0,0.0,0.0,11.0,,,,,,,,,,,,,
0,20152016,Harvard Univ.,NCAA,13950,30,4,16,33,16,34,,,,11.0,,,,,,,,,,,,,
0,20162017,Harvard Univ.,NCAA,13950,29,16,18,36,18,45,,,,20.0,,,,,,,,,,,,,
0,20172018,Colorado Avalanche,National Hockey League,1,24,19,28,79,28,43,5.0,0.0,0.0,-7.0,1061:54,81.0,42.0,17.0,196:03,865:36,42.07,23.46,0.0,0.0,00:15,35.0,1398.0
0,20182019,Colorado Avalanche,National Hockey League,1,27,15,38,78,38,42,4.0,1.0,0.0,-9.0,1160:50,116.0,22.0,16.0,161:58,994:15,56.03,12.93,0.0,0.0,04:37,29.0,1486.0
0,20192020,Toronto Maple Leafs,National Hockey League,1,19,9,32,65,32,28,1.0,1.0,0.0,-2.0,960:00,88.0,48.0,3.0,81:33,860:52,46.93,10.2,0.0,0.0,17:35,41.0,1259.0
0,20202021,Toronto Maple Leafs,National Hockey League,1,15,8,12,56,12,23,0.0,1.0,1.0,2.0,808:53,68.0,41.0,2.0,33:26,690:29,40.79,11.8,0.0,1.0,84:58,34.0,1117.0
0,20212022,Toronto Maple Leafs,National Hockey League,1,38,13,20,82,20,51,0.0,1.0,0.0,19.0,1247:36,117.0,75.0,1.0,09:10,1096:45,42.7,11.1,0.0,3.0,141:41,65.0,1689.0
