,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Brynas U18,Swe-U18,1,0,0,0,8,0,0.0,0,,,,,,,,,,,,,,,,
0,20062007,Brynas U18,Swe-U18,1,8,3,6,14,6,0.0,11,,,,,,,,,,,,,,,,
0,20062007,Brynas Jr.,Swe-Jr.,2,3,1,0,6,0,0.0,4,,,,,,,,,,,,,,,,
0,20072008,Brynas U18,Swe-U18,1,3,5,2,5,2,0.0,8,,,,,,,,,,,,,,,,
0,20072008,Brynas Jr.,Swe-Jr.,2,12,8,8,30,8,0.0,20,,,,,,,,,,,,,,,,
0,20072008,Sweden,WJ18-A,3,2,1,2,5,2,0.0,3,,,,,,,,,,,,,,,,
0,20082009,Brynas Jr.,Swe-Jr.,1,24,14,6,30,6,0.0,38,,,,,,,,,,,,,,,,
0,20082009,Brynas,Sweden,2,1,3,2,16,2,0.0,4,,,,,,,,,,,,,,,,
0,20092010,Brynas Jr.,Swe-Jr.,1,1,1,0,1,0,0.0,2,,,,,,,,,,,,,,,,
0,20092010,Sweden,WJC-A,2,2,3,0,6,0,0.0,5,,,,,,,,,,,,,,,,
0,20092010,Brynas,Sweden,3,8,8,4,48,4,,16,,,,,,,,,,,,,,,,
0,20102011,Brynas,Sweden,1,16,18,16,53,16,,34,,,,,,,,,,,,,,,,
0,20102011,Sweden,WC-A,2,1,0,2,9,2,,1,0.0,0.0,0.0,1.0,,,,,,,,,,,,
0,20112012,Brynas,Sweden,1,30,24,10,49,10,,54,,,,,,,,,,,,,,,,
0,20112012,Sweden,WC-A,2,0,2,2,8,2,,2,2.0,0.0,0.0,-1.0,,,,,,,,,,,,
0,20122013,Ottawa Senators,National Hockey League,1,9,10,12,48,12,38.46,19,2.0,2.0,1.0,9.0,778:59,134.0,38.0,3.0,81:08,643:42,7.46,0.0,1.0,54:09,13.0,1063.0
0,20122013,Binghamton,AHL,2,16,13,2,34,2,,29,5.0,3.0,1.0,4.0,,96.0,,,,,13.54,,,,,
0,20132014,Anaheim Ducks,National Hockey League,1,13,10,12,52,12,8.33,23,1.0,1.0,2.0,2.0,741:41,119.0,31.0,1.0,69:21,618:11,8.4,0.0,2.0,54:09,20.0,1037.0
0,20132014,Sweden,Olympics,2,1,0,2,6,2,,1,0.0,0.0,0.0,1.0,,6.0,,,,,,,,,,
0,20142015,Anaheim Ducks,National Hockey League,1,26,13,24,81,24,46.0,39,2.0,2.0,1.0,15.0,1268:35,189.0,42.0,4.0,48:00,1078:28,6.88,0.0,3.0,142:07,37.0,1717.0
0,20152016,Anaheim Ducks,National Hockey League,1,19,20,32,82,32,20.0,39,2.0,2.0,0.0,8.0,1391:54,215.0,87.0,4.0,70:11,1124:16,9.3,1.0,1.0,197:27,58.0,1977.0
0,20162017,Anaheim Ducks,National Hockey League,1,26,23,20,79,20,14.29,49,5.0,5.0,1.0,10.0,1460:16,227.0,47.0,9.0,155:12,1176:03,10.13,0.0,1.0,129:01,46.0,1998.0
0,20162017,Sweden,WCup,8596,0,0,2,4,2,,0,,,,1.0,,,,,,,,,,,,
0,20172018,Anaheim Ducks,National Hockey League,1,23,17,18,77,18,33.96,40,2.0,2.0,1.0,6.0,1382:57,187.0,52.0,8.0,130:20,1121:47,9.09,0.0,2.0,130:50,61.0,1897.0
0,20182019,Anaheim Ducks,National Hockey League,1,19,24,28,73,28,37.25,43,3.0,4.0,2.0,-9.0,1248:15,163.0,38.0,11.0,153:23,969:40,14.72,1.0,3.0,125:12,43.0,1639.0
0,20192020,Anaheim Ducks,National Hockey League,1,18,21,14,66,14,19.51,39,4.0,1.0,2.0,0.0,1166:47,155.0,28.0,7.0,157:03,900:09,13.5,0.0,2.0,109:35,41.0,1567.0
0,20202021,Anaheim Ducks,National Hockey League,1,8,8,18,47,18,40.91,16,2.0,0.0,1.0,-17.0,796:23,91.0,19.0,3.0,85:25,617:15,8.8,0.0,1.0,93:43,26.0,1131.0
0,20212022,Anaheim Ducks,National Hockey League,1,16,5,30,53,30,33.33,21,1.0,0.0,0.0,-3.0,903:04,120.0,16.0,5.0,93:14,694:55,4.2,0.0,0.0,114:55,40.0,1263.0
