,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Philadelphia L. Flyers Bntm Min,AYMBHL,222101,31,30,8.0,29,8,0.0,61,,,,,,,,,,,,,,,,
0,20062007,Philadelphia L. Flyers Bntm Min,AYMBHL,222101,45,45,22.0,27,22,0.0,90,,,,,,,,,,,,,,,,
0,20072008,Philadelphia L. Flyers Bntm Maj,AYBHL,204765,31,31,24.0,26,24,0.0,62,,,,,,,,,,,,,,,,
0,20082009,Philadelphia L. Flyers 16U,AYHL 16U,204041,29,16,12.0,30,12,0.0,45,,,,,,,,,,,,,,,,
0,20092010,Team Comcast,T1EHL,1,29,29,16.0,48,16,,58,,,,,,,,,,,,,,,,
0,20092010,Gloucester Cath.,High-NJ,2,27,21,,14,,,48,,,,,,,,,,,,,,,,
0,20102011,Dubuque,USHL,1,36,36,36.0,60,36,21.0,72,15.0,7.0,0.0,,,,,,,,,,,,,
0,20112012,Boston College,H-East,1,23,21,10.0,44,10,,44,7.0,5.0,0.0,,,,,,,,,,,,,
0,20122013,Boston College,H-East,1,30,21,29.0,35,29,,51,4.0,6.0,0.0,,,,,,,,,,,,,
0,20122013,U.S.A.,WJC-A,2,2,7,4.0,7,4,2.0,9,4.0,1.0,0.0,,,,,,,,,,,,,
0,20132014,Calgary Flames,National Hockey League,1,0,1,0.0,1,0,1.0,1,0.0,0.0,0.0,15:11,1.0,0.0,0.0,01:31,13:40,0.0,100.0,0.0,0.0,00:00,0.0,20.0
0,20132014,U.S.A.,WC-A,2,8,2,0.0,7,0,2.0,10,1.0,0.0,0.0,,17.0,,,,,,,,,,,
0,20132014,Boston College,H-East,3,44,36,14.0,40,14,,80,10.0,7.0,1.0,,,,,,,,,,,,,
0,20142015,Calgary Flames,National Hockey League,1,40,24,14.0,80,14,11.0,64,8.0,4.0,0.0,1417:21,167.0,14.0,21.0,224:17,1192:38,37.5,14.37,0.0,0.0,00:26,27.0,1971.0
0,20152016,Calgary Flames,National Hockey League,1,48,30,20.0,79,20,4.0,78,6.0,6.0,0.0,1574:31,217.0,26.0,21.0,284:26,1284:55,40.0,13.82,3.0,0.0,05:10,10.0,1970.0
0,20162017,Calgary Flames,National Hockey League,1,43,18,4.0,72,4,-7.0,61,4.0,3.0,0.0,1331:22,182.0,9.0,16.0,231:05,1098:52,0.0,9.89,1.0,0.0,01:25,14.0,1595.0
0,20162017,USA,WC,17215,5,6,0.0,8,0,2.0,11,,,,,,,,,,,,,,,,
0,20162017,Team North America,WCup,176776,2,2,0.0,3,0,2.0,4,,,,,,,,,,,,,,,,
0,20172018,Calgary Flames,National Hockey League,1,60,24,26.0,80,26,2.0,84,3.0,4.0,0.0,1553:54,227.0,16.0,24.0,283:13,1268:49,20.0,10.57,0.0,0.0,01:52,18.0,1716.0
0,20172018,USA,WC,17215,8,1,12.0,10,12,0.0,9,,,,,,,,,,,,,,,,
0,20182019,Calgary Flames,National Hockey League,1,63,36,24.0,82,24,18.0,99,6.0,8.0,0.0,1646:05,245.0,12.0,27.0,273:30,1368:31,33.33,14.69,3.0,0.0,04:04,12.0,1923.0
0,20182019,USA,WC,17215,1,1,2.0,6,2,1.0,2,,,,,,,,,,,,,,,,
0,20192020,Calgary Flames,National Hockey League,1,40,18,12.0,70,12,-10.0,58,6.0,2.0,0.0,1315:18,209.0,1.0,18.0,202:50,1111:34,25.0,8.6,0.0,0.0,00:54,11.0,1550.0
0,20202021,Calgary Flames,National Hockey League,1,30,19,6.0,56,6,2.0,49,7.0,5.0,0.0,1031:10,112.0,8.0,19.0,191:17,837:02,0.0,17.0,2.0,0.0,02:51,9.0,1225.0
0,20212022,Calgary Flames,National Hockey League,1,75,40,26.0,82,26,64.0,115,6.0,9.0,0.0,1523:08,262.0,10.0,25.0,241:50,1276:32,100.0,15.3,2.0,0.0,04:46,9.0,1807.0
