,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,shifts
0,20062007,Mora U18,Swe-U18,1,2,2,6,5,6,0.0,4,,,,,,,,,,,,,,,,
0,20062007,Mora Jr.,Swe-Jr.,2,4,0,28,36,28,0.0,4,,,,,,,,,,,,,,,,
0,20072008,Mora U18,Swe-U18,1,5,4,12,9,12,0.0,9,,,,,,,,,,,,,,,,
0,20072008,Mora Jr.,Swe-Jr.,2,7,5,54,37,54,0.0,12,,,,,,,,,,,,,,,,
0,20072008,Mora,Sweden,3,0,0,0,1,0,0.0,0,,,,,,,,,,,,,,,,
0,20072008,Mora,Sweden-Q,4,0,0,2,6,2,0.0,0,,,,,,,,,,,,,,,,
0,20072008,Sweden,WJ18-A,5,0,1,2,6,2,0.0,1,,,,,,,,,,,,,,,,
0,20082009,Mora Jr.,Swe-Jr.,1,5,3,32,21,32,0.0,8,,,,,,,,,,,,,,,,
0,20082009,Mora,Sweden-2,2,11,2,12,38,12,0.0,13,,,,,,,,,,,,,,,,
0,20092010,Mora,Sweden-2,1,21,1,54,41,54,0.0,22,,,,,,,,,,,,,,,,
0,20092010,Sweden,WJC-A,3,0,1,6,6,6,0.0,1,,,,,,,,,,,,,,,,
0,20102011,Brynas,Sweden,1,23,10,38,55,38,,33,,,,,,,,,,,,,,,,
0,20112012,Nashville Predators,National Hockey League,1,0,0,0,2,0,0.0,0,24:50,1.0,0.0,0.0,0.0,01:07,23:12,0.0,0.0,0.0,0.0,0.0,00:31,3.0,-1.0,37.0
0,20112012,Brynas,Sweden,2,8,9,55,41,55,,17,,,,,,,,,,,,,,,,
0,20122013,Nashville Predators,National Hockey League,1,0,0,0,1,0,0.0,0,16:05,0.0,0.0,0.0,0.0,01:03,15:02,0.0,0.0,0.0,0.0,0.0,00:00,0.0,-1.0,20.0
0,20122013,Milwaukee,AHL,2,22,10,30,59,30,,32,,127.0,,7.0,,,,7.87,3.0,,0.0,,,,15.0,
0,20132014,Nashville Predators,National Hockey League,1,8,1,10,62,10,0.0,9,1042:38,58.0,42.0,0.0,0.0,12:39,947:41,1.72,0.0,0.0,0.0,1.0,82:18,55.0,-8.0,1396.0
0,20132014,Sweden,WC-A,2,5,2,8,10,8,,7,,14.0,,1.0,,,,,2.0,,0.0,,,,1.0,
0,20142015,Nashville Predators,National Hockey League,1,11,7,52,80,52,0.0,18,1520:42,86.0,57.0,1.0,2.0,49:45,1349:57,8.14,1.0,1.0,0.0,0.0,121:00,102.0,12.0,1983.0
0,20142015,Sweden,WC-A,2,3,0,6,8,6,,3,,16.0,,0.0,,,,,0.0,,0.0,,,,2.0,
0,20152016,Nashville Predators,National Hockey League,1,27,8,44,82,44,0.0,35,1659:49,114.0,67.0,1.0,5.0,93:09,1425:45,7.02,3.0,1.0,1.0,2.0,140:55,106.0,14.0,2122.0
0,20152016,Sweden,WC-A,2,0,1,2,2,2,,1,,13.0,,1.0,,,,,0.0,,0.0,,,,-4.0,
0,20152016,Sweden,WC,6815,0,1,2,2,2,,1,,,,,,,,,,,,,,,-4.0,
0,20162017,Nashville Predators,National Hockey League,1,20,3,34,82,34,0.0,23,1923:35,120.0,61.0,0.0,3.0,117:00,1621:04,2.5,1.0,0.0,0.0,1.0,185:31,108.0,4.0,2330.0
0,20162017,Sweden,WCup,8596,0,0,2,4,2,,0,,,,,,,,,,,,,,,2.0,
0,20172018,Nashville Predators,National Hockey League,1,24,10,46,81,46,0.0,34,1909:46,135.0,75.0,5.0,13.0,151:37,1524:21,7.41,1.0,0.0,1.0,1.0,233:48,117.0,25.0,2306.0
0,20172018,Sweden,WC,6815,2,1,2,4,2,,3,,,,,,,,,,,,,,,4.0,
0,20182019,Nashville Predators,National Hockey League,1,36,8,47,80,47,0.0,44,1869:07,146.0,68.0,2.0,7.0,109:54,1580:55,5.48,3.0,1.0,0.0,2.0,178:18,107.0,27.0,2288.0
0,20182019,Sweden,WC,6815,2,0,4,8,4,,2,,,,,,,,,,,,,,,2.0,
0,20192020,Nashville Predators,National Hockey League,1,25,8,32,68,32,0.0,33,1589:23,154.0,49.0,0.0,5.0,90:14,1306:49,5.2,2.0,0.0,1.0,2.0,192:20,100.0,-1.0,1856.0
0,20202021,Nashville Predators,National Hockey League,1,17,6,14,48,14,0.0,23,1097:49,110.0,23.0,0.0,2.0,74:48,896:20,5.5,2.0,0.0,0.0,1.0,126:41,46.0,19.0,1315.0
0,20212022,Nashville Predators,National Hockey League,1,25,6,44,76,44,0.0,31,1784:21,145.0,79.0,0.0,4.0,117:29,1418:55,4.1,1.0,0.0,0.0,1.0,247:57,96.0,14.0,2110.0
