,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,shortHandedGoals,gameWinningGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Chaleur Lightning Bantam AAA,NBBAAAHL,143551,43,38,26,27,26,0.0,81,,,,,,,,,,,,,,,,
0,20062007,Miramichi Rivermen Midget AAA,NBPEIMMHL,60939,27,20,18,34,18,0.0,47,,,,,,,,,,,,,,,,
0,20072008,Notre Dame,SMHL,1,37,19,32,40,32,,56,,,,,,,,,,,,,,,,
0,20082009,Drummondville,QMJHL,1,22,9,14,58,14,24.0,31,2.0,0.0,,,,,,,,,,,,,,
0,20092010,Drummondville,QMJHL,1,55,41,47,68,47,62.0,96,10.0,3.0,9.0,,,,,,,,,,,,,
0,20102011,Drummondville,QMJHL,1,60,36,36,58,36,55.0,96,9.0,4.0,3.0,223.0,16.14,,,,,,,,,,,
0,20102011,Canada,WJC-A,2,1,2,0,7,0,6.0,3,0.0,0.0,0.0,,,,,,,,,,,,,
0,20112012,Philadelphia Flyers,National Hockey League,1,14,13,14,77,14,18.0,27,0.0,2.0,4.0,116.0,11.21,1088:43,82.0,1.0,34:32,846:30,47.01,0.0,2.0,207:41,33.0,1458.0
0,20122013,Philadelphia Flyers,National Hockey League,1,11,4,10,46,10,-8.0,15,0.0,0.0,0.0,75.0,5.33,730:54,31.0,4.0,68:47,546:09,43.94,0.0,0.0,115:58,27.0,937.0
0,20122013,Adirondack,AHL,2,18,10,16,31,16,-8.0,28,4.0,1.0,3.0,103.0,9.71,,,,,,,,,,,
0,20132014,Philadelphia Flyers,National Hockey League,1,26,13,45,82,45,1.0,39,0.0,1.0,2.0,165.0,7.88,1565:07,64.0,3.0,104:44,1179:01,47.75,0.0,5.0,281:22,40.0,2063.0
0,20142015,Philadelphia Flyers,National Hockey League,1,22,15,28,82,28,4.0,37,1.0,1.0,0.0,148.0,10.14,1507:50,72.0,6.0,128:42,1188:59,48.35,0.0,2.0,190:09,35.0,2019.0
0,20142015,Canada,WC-A,2,4,3,2,10,2,13.0,7,0.0,0.0,0.0,21.0,,,,,,,,,,,,
0,20152016,Philadelphia Flyers,National Hockey League,1,28,11,30,63,30,8.0,39,2.0,0.0,1.0,119.0,9.24,1171:51,31.0,7.0,121:13,934:26,48.6,0.0,1.0,116:12,30.0,1608.0
0,20162017,Philadelphia Flyers,National Hockey League,1,20,14,33,66,33,12.0,34,0.0,0.0,2.0,120.0,11.67,1217:25,41.0,2.0,120:07,975:59,55.07,0.0,1.0,121:19,35.0,1635.0
0,20162017,Canada,WC,17155,1,1,2,8,2,0.0,2,,,,,,,,,,,,,,,,
0,20162017,Team North America,WCup,176776,0,0,0,3,0,-2.0,0,,,,,,,,,,,,,,,,
0,20172018,Philadelphia Flyers,National Hockey League,1,45,31,31,82,31,34.0,76,7.0,0.0,6.0,227.0,13.66,1770:31,74.0,14.0,264:32,1350:46,52.85,2.0,0.0,155:13,44.0,2176.0
0,20182019,Philadelphia Flyers,National Hockey League,1,43,33,34,80,34,2.0,76,8.0,1.0,5.0,223.0,14.8,1770:10,40.0,17.0,248:36,1336:43,57.07,1.0,1.0,184:51,60.0,2143.0
0,20182019,Canada,WC,17155,3,1,0,10,0,1.0,4,,,,,,,,,,,,,,,,
0,20192020,Philadelphia Flyers,National Hockey League,1,37,22,30,69,30,21.0,59,4.0,0.0,4.0,185.0,11.9,1368:23,60.0,13.0,190:31,1037:23,59.63,1.0,0.0,140:29,26.0,1792.0
0,20202021,Philadelphia Flyers,National Hockey League,1,23,18,8,45,8,-4.0,41,3.0,0.0,4.0,120.0,15.0,869:46,34.0,10.0,117:41,660:31,56.93,0.0,0.0,91:34,22.0,1161.0
0,20212022,Philadelphia Flyers,National Hockey League,1,11,6,14,29,14,-6.0,17,2.0,0.0,2.0,79.0,7.6,591:26,22.0,5.0,82:24,446:53,55.61,0.0,1.0,62:09,18.0,739.0
