,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,shots,hits,powerPlayGoals,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,blocked,plusMinus
0,20022003,Russia,WJ18-A,3,00:00,4,5,2,6,00:00,00:00,2,0.0,00:00,9,0.0,,,,,,,,,,,
0,20032004,Magnitogorsk 2,Russia-3,1,00:00,0,1,8,2,00:00,00:00,8,0.0,00:00,1,0.0,,,,,,,,,,,
0,20032004,Magnitogorsk,Russia,2,00:00,9,3,12,34,00:00,00:00,12,0.0,00:00,12,0.0,,,,,,,,,,,
0,20032004,Russia,WJC-A,3,00:00,4,1,0,6,00:00,00:00,0,0.0,00:00,5,0.0,,,,,,,,,,,
0,20032004,Russia,WJ18-A,4,00:00,4,4,31,6,00:00,00:00,31,0.0,00:00,8,0.0,,,,,,,,,,,
0,20042005,Magnitogorsk 2,Russia-3,1,00:00,1,1,2,2,00:00,00:00,2,0.0,00:00,2,0.0,,,,,,,,,,,
0,20042005,Magnitogorsk,Russia,2,00:00,20,12,24,52,00:00,00:00,24,0.0,00:00,32,0.0,,,,,,,,,,,
0,20042005,Russia,WJC-A,3,00:00,7,3,16,6,00:00,00:00,16,0.0,00:00,10,0.0,,,,,,,,,,,
0,20042005,Russia,WC-A,4,00:00,4,0,8,9,00:00,00:00,8,0.0,00:00,4,0.0,,,,,,,,,,,
0,20052006,Magnitogorsk,Russia,1,00:00,26,21,46,46,00:00,00:00,46,0.0,00:00,47,0.0,,,,,,,,,,,
0,20052006,Russia,WJC-A,3,00:00,6,4,12,6,00:00,00:00,12,0.0,00:00,10,0.0,,,,,,,,,,,
0,20052006,Russia,Olympics,4,00:00,4,2,31,7,00:00,00:00,31,0.0,00:00,6,0.0,,,,,,,,,,,
0,20052006,Russia,WC-A,5,00:00,6,3,6,7,00:00,00:00,6,0.0,00:00,9,0.0,,,,,,,,,,,
0,20062007,Pittsburgh Penguins,National Hockey League,1,1494:24,52,33,80,78,448:44,1009:38,80,43.27,36:02,85,1744.0,242.0,40.0,16.0,40.0,13.64,6.0,1.0,0.0,0.0,36.0,2.0
0,20062007,Russia,WC-A,3,,5,5,6,9,,,6,,,10,,,,,,,,,,,,
0,20072008,Pittsburgh Penguins,National Hockey League,1,1748:21,59,47,78,82,412:42,1269:09,78,39.33,66:30,106,1984.0,272.0,49.0,17.0,40.0,17.28,5.0,0.0,0.0,0.0,40.0,16.0
0,20082009,Pittsburgh Penguins,National Hockey League,1,1846:24,78,35,80,82,455:32,1302:27,80,42.37,88:25,113,1945.0,290.0,80.0,14.0,41.0,12.07,4.0,2.0,2.0,2.0,39.0,17.0
0,20092010,Pittsburgh Penguins,National Hockey League,1,1396:45,49,28,100,67,327:10,1048:26,100,39.96,21:09,77,1405.0,268.0,58.0,13.0,28.0,10.45,7.0,2.0,2.0,3.0,25.0,-6.0
0,20092010,Russia,Olympics,3,,3,3,0,4,,,0,0.0,,6,,,,,,,,,,,,
0,20092010,Russia,WC-A,5,,2,5,10,5,,,10,0.0,,7,,,,,,,,,,,,
0,20102011,Pittsburgh Penguins,National Hockey League,1,852:28,22,15,18,43,229:26,620:21,18,38.5,02:41,37,859.0,182.0,32.0,5.0,14.0,8.24,3.0,0.0,0.0,0.0,11.0,-4.0
0,20112012,Pittsburgh Penguins,National Hockey League,1,1576:46,59,50,70,75,326:56,1246:45,70,47.52,03:05,109,1644.0,339.0,29.0,12.0,34.0,14.75,9.0,1.0,0.0,0.0,41.0,18.0
0,20112012,Russia,WC-A,2,,8,11,4,10,,,4,,,19,,,,5.0,,,2.0,,0.0,,,16.0
0,20122013,Pittsburgh Penguins,National Hockey League,1,610:47,24,9,36,31,138:36,471:11,36,47.22,01:00,33,644.0,99.0,12.0,4.0,18.0,9.09,3.0,0.0,0.0,0.0,11.0,5.0
0,20122013,Magnitogorsk,KHL,2,,42,23,58,37,,,58,,,65,,,,,,,,,,,,23.0
0,20132014,Pittsburgh Penguins,National Hockey League,1,1203:45,49,23,62,60,274:28,927:43,62,48.79,01:34,72,1283.0,191.0,27.0,7.0,30.0,12.04,3.0,0.0,0.0,0.0,18.0,10.0
0,20132014,Russia,Olympics,2,,2,1,2,5,,,2,,,3,,20.0,,0.0,,,0.0,,0.0,,,2.0
0,20132014,Russia,WC-A,3,,1,2,2,4,,,2,,,3,,9.0,,2.0,,,1.0,,0.0,,,0.0
0,20142015,Pittsburgh Penguins,National Hockey League,1,1309:14,42,28,60,69,251:17,1051:42,60,42.65,06:15,70,1579.0,212.0,24.0,9.0,26.0,13.21,4.0,1.0,0.0,0.0,18.0,-2.0
0,20142015,Russia,WC-A,2,,5,5,8,9,,,8,,,10,,17.0,,1.0,,,1.0,,0.0,,,8.0
0,20152016,Pittsburgh Penguins,National Hockey League,1,1104:01,31,27,65,57,217:21,871:21,65,41.99,15:19,58,1351.0,162.0,27.0,11.0,27.0,16.67,6.0,2.0,0.0,0.0,19.0,1.0
0,20162017,Pittsburgh Penguins,National Hockey League,1,1154:23,39,33,77,62,227:33,924:21,77,43.14,02:29,72,1416.0,191.0,40.0,11.0,23.0,17.28,6.0,1.0,0.0,0.0,25.0,18.0
0,20162017,Russia,WCup,17546,,2,1,2,4,,,2,,,3,,,,,,,,,,,,4.0
0,20172018,Pittsburgh Penguins,National Hockey League,1,1481:13,56,42,87,78,286:22,1189:24,87,43.73,05:27,98,1829.0,239.0,48.0,14.0,38.0,17.57,7.0,2.0,0.0,0.0,32.0,16.0
0,20182019,Pittsburgh Penguins,National Hockey League,1,1278:40,51,21,89,68,231:55,1044:10,89,45.68,02:35,72,1554.0,187.0,54.0,9.0,26.0,11.23,5.0,0.0,0.0,0.0,33.0,-25.0
0,20182019,Russia,WC,17485,,5,1,4,10,,,4,,,6,,,,,,,,,,,,4.0
0,20182019,Russia,EHT,64546,,1,0,6,3,,,6,,,1,,,,,,,,,,,,-2.0
0,20192020,Pittsburgh Penguins,National Hockey League,1,1073:40,49,25,58,55,203:06,869:04,58,50.34,01:30,74,1340.0,171.0,38.0,7.0,24.0,14.6,5.0,0.0,0.0,0.0,22.0,7.0
0,20202021,Pittsburgh Penguins,National Hockey League,1,585:27,20,8,24,33,104:51,478:52,24,42.46,01:44,28,742.0,72.0,18.0,4.0,9.0,11.1,0.0,0.0,0.0,0.0,12.0,-4.0
0,20212022,Pittsburgh Penguins,National Hockey League,1,751:31,22,20,24,41,154:16,596:53,24,43.62,00:22,42,885.0,129.0,21.0,9.0,20.0,15.5,5.0,1.0,0.0,0.0,18.0,-10.0
