,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Biel-Bienne II U15,Mini B,10085984,3,0,0,1,0,0.0,3,,,,,,,,,,,,,,,,
0,20082009,Biel-Bienne U15,Top Mini,79752,0,0,2,3,2,0.0,0,,,,,,,,,,,,,,,,
0,20092010,Biel-Bienne U15,Top Mini,79752,12,14,12,24,12,0.0,26,,,,,,,,,,,,,,,,
0,20102011,ZSC II U17,Top Novizen,79856,9,13,6,16,6,0.0,22,,,,,,,,,,,,,,,,
0,20112012,Zurich U17,Swiss-U17,1,19,17,34,25,34,,36,,,,,,,,,,,,,,,,
0,20122013,Zurich U17,Swiss-U17,1,10,6,16,7,16,,16,,,,,,,,,,,,,,,,
0,20122013,GCK Zurich Jr.,Swiss-Jr.,2,11,15,14,25,14,,26,,,,,,,,,,,,,,,,
0,20132014,GCK Zurich,Swiss-2,2,13,6,14,38,14,,19,,,,,,,,,,,,,,,,
0,20142015,GCK Zurich,Swiss-2,1,6,6,4,24,4,,12,,,,,,,,,,,,,,,,
0,20142015,Zurich,Swiss,2,6,2,8,23,8,,8,,,,,,,,,,,,,,,,
0,20152016,GCK Zurich Jr.,Swiss-Jr.,1,1,0,0,1,0,,1,,,,,,,,,,,,,,,,
0,20152016,Switzerland,WJC-A,2,8,1,6,6,6,-1.0,9,15.0,0.0,1.0,0.0,,,,,,,,,,,,
0,20152016,GCK Zurich,Swiss-2,3,3,2,0,7,0,,5,,,,,,,,,,,,,,,,
0,20152016,Zurich,Swiss,4,12,5,12,38,12,,17,,,,,,,,,,,,,,,,
0,20152016,Switzerland,WJ18-A,5,4,3,2,5,2,4.0,7,11.0,0.0,1.0,0.0,,,,,,,,,,,,
0,20152016,ZSC,Champions HL,1292,1,0,0,3,0,2.0,1,,,,,,,,,,,,,,,,
0,20152016,ZSC,NL,2436,12,5,12,38,12,5.0,17,,,,,,,,,,,,,,,,
0,20152016,GC/Küsnacht,SL,3867,3,2,0,7,0,0.0,5,,,,,,,,,,,,,,,,
0,20152016,Switzerland U20,WJC-20,17756,8,1,6,6,6,-1.0,9,,,,,,,,,,,,,,,,
0,20152016,GC/Küsnacht U20,U20-Elit,44586,1,0,0,1,0,,1,,,,,,,,,,,,,,,,
0,20162017,Florida Panthers,National Hockey League,1,4,6,8,47,8,-5.0,10,67.0,2.0,1.0,0.0,528:12,34.0,2.0,52:20,475:37,36.41,8.96,1.0,0.0,00:15,15.0,720.0
0,20162017,Switzerland,WC,16145,0,0,2,7,2,-1.0,0,,,,,,,,,,,,,,,,
0,20162017,Springfield Thunderbirds,AHL,39667,9,3,14,15,14,6.0,12,,,,,,,,,,,,,,,,
0,20172018,Florida Panthers,National Hockey League,1,11,11,6,51,6,4.0,22,79.0,1.0,3.0,0.0,706:30,48.0,6.0,62:50,643:16,42.62,13.92,0.0,0.0,00:24,24.0,985.0
0,20172018,Springfield Thunderbirds,AHL,39667,10,4,0,13,0,-2.0,14,,,,,,,,,,,,,,,,
0,20182019,Florida Panthers,National Hockey League,1,9,7,14,50,14,-10.0,16,66.0,0.0,0.0,0.0,644:28,40.0,1.0,25:14,592:05,39.13,10.61,0.0,0.0,27:09,21.0,944.0
0,20192020,Florida Panthers,National Hockey League,1,8,4,12,36,12,-6.0,12,47.0,1.0,0.0,0.0,444:50,26.0,1.0,35:08,401:00,39.88,8.5,0.0,1.0,08:42,13.0,611.0
0,20192020,Toronto Maple Leafs,National Hockey League,2,0,0,2,8,2,-3.0,0,3.0,0.0,0.0,0.0,82:45,9.0,0.0,04:16,78:29,0.0,0.0,0.0,0.0,00:00,3.0,114.0
0,20202021,Lausanne,NL,2396,23,19,56,45,56,19.0,42,,,,,,,,,,,,,,,,
0,20212022,ZSC,Champions HL,1292,2,1,0,3,0,1.0,3,,,,,,,,,,,,,,,,
0,20212022,ZSC,NL,2436,31,21,49,48,49,18.0,52,,,,,,,,,,,,,,,,
0,20212022,Switzerland,WC,16145,7,5,4,8,4,5.0,12,,,,,,,,,,,,,,,,
0,20212022,Switzerland,OG,17442,0,1,4,3,4,-4.0,1,,,,,,,,,,,,,,,,
