,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Victory Honda Bantam Minor AAA,T1EMBHL,168370,9,10,26.0,31,26,0.0,19,,,,,,,,,,,,,,,,
0,20112012,Victory Honda Bantam Major AAA,T1EBHL,162259,10,10,30.0,24,30,0.0,20,,,,,,,,,,,,,,,,
0,20122013,Victory Honda  U18,T1EHL U18,59787,0,1,0.0,2,0,0.0,1,,,,,,,,,,,,,,,,
0,20132014,Lake Forest,MPHL,1,12,16,16.0,13,16,,28,,,,,,,,,,,,,,,,
0,20132014,Lake Forest,High-IL,2,43,34,,34,,,77,,,,,,,,,,,,,,,,
0,20142015,Erie,OHL,1,53,51,73.0,68,73,59.0,104,21.0,4.0,0.0,,,,,,,,,,,,,
0,20152016,Erie,OHL,1,50,51,28.0,60,28,18.0,101,13.0,10.0,2.0,269.0,19.0,,,,,,,,,,,
0,20152016,U.S.A.,WJC-A,2,0,1,25.0,5,25,1.0,1,0.0,0.0,0.0,1.0,100.0,,,,,,,,,,,
0,20152016,Erie Otters,OHL,9398,50,51,28.0,60,28,18.0,101,,,,,,,,,,,,,,,,
0,20152016,USA U20,WJC-20,17276,0,1,25.0,5,25,1.0,1,,,,,,,,,,,,,,,,
0,20162017,Erie Otters,M-Cup,9181,8,2,2.0,5,2,2.0,10,,,,,,,,,,,,,,,,
0,20162017,Erie Otters,OHL,9398,62,65,49.0,63,49,60.0,127,,,,,,,,,,,,,,,,
0,20172018,Chicago Blackhawks,National Hockey League,1,24,28,6.0,82,6,6.0,52,6.0,1.0,0.0,181.0,15.47,1213:46,40.0,12.0,167:07,1034:46,42.37,0.0,0.0,11:53,25.0,1564.0
0,20172018,USA,WC,17215,8,1,0.0,10,0,3.0,9,,,,,,,,,,,,,,,,
0,20182019,Chicago Blackhawks,National Hockey League,1,35,41,15.0,82,15,0.0,76,13.0,3.0,0.0,220.0,18.64,1451:24,35.0,24.0,267:49,1174:23,45.71,1.0,0.0,09:12,26.0,1666.0
0,20182019,USA,WC,17215,2,7,4.0,8,4,1.0,9,,,,,,,,,,,,,,,,
0,20192020,Chicago Blackhawks,National Hockey League,1,27,18,15.0,70,15,-10.0,45,10.0,4.0,0.0,207.0,8.7,1224:34,58.0,16.0,243:19,980:21,35.0,1.0,0.0,00:54,19.0,1366.0
0,20202021,Chicago Blackhawks,National Hockey League,1,24,32,12.0,52,12,3.0,56,9.0,7.0,1.0,155.0,20.6,1068:04,70.0,18.0,198:18,847:08,40.0,3.0,1.0,22:38,22.0,1117.0
0,20212022,Chicago Blackhawks,National Hockey League,1,37,41,19.0,82,19,-13.0,78,14.0,6.0,0.0,270.0,15.2,1710:13,101.0,28.0,297:02,1359:58,37.5,4.0,0.0,53:13,35.0,1895.0
