,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Novosibirsk 2,Russia-3,1,4,6,2,17,2,0.0,10,,,,,,,,,,,,,,,,
0,20082009,Novosibirsk,Rus-KHL,2,3,7,2,38,2,0.0,10,,,,,,,,,,,,,,,,
0,20082009,Russia,WJ18-A,3,7,8,6,7,6,0.0,15,,,,,,,,,,,,,,,,
0,20092010,Novosibirsk Jr.,Russia-Jr.,1,0,1,0,1,0,0.0,1,,,,,,,,,,,,,,,,
0,20092010,Novosibirsk,Rus-KHL,2,11,13,18,42,18,0.0,24,,,,,,,,,,,,,,,,
0,20102011,Novosibirsk Jr.,Russia-Jr.,1,2,2,2,3,2,,4,,,,,,,,,,,,,,,,
0,20102011,Russia,WJC-A,2,7,4,0,7,0,,11,1.0,2.0,0.0,8.0,,,,,,,,,,,,
0,20102011,Russia,WC-A,3,0,1,0,6,0,,1,0.0,0.0,0.0,-3.0,,,,,,,,,,,,
0,20102011,Novosibirsk,Rus-KHL,4,10,9,8,42,8,,19,,,,,,,,,,,,,,,,
0,20112012,Novosibirsk,KHL,1,20,18,15,39,15,,38,,,,,,,,,,,,,,,,
0,20112012,St. Petersburg,KHL,2,4,5,0,15,0,,9,,,,,,,,,,,,,,,,
0,20122013,St. Louis Blues,National Hockey League,1,11,8,10,38,10,100.0,19,3.0,1.0,0.0,1.0,509:35,75.0,28.0,5.0,67:49,440:51,10.67,0.0,0.0,00:55,7.0,778.0
0,20122013,St. Petersburg,KHL,2,18,14,8,31,8,,32,,,,,,,,,,,,,,,,
0,20132014,St. Louis Blues,National Hockey League,1,22,21,16,64,16,33.33,43,5.0,3.0,0.0,20.0,971:06,136.0,22.0,7.0,107:33,832:01,15.44,0.0,0.0,31:32,9.0,1396.0
0,20132014,Russia,Olympics,2,1,0,0,5,0,,1,0.0,0.0,0.0,-1.0,,4.0,,,,,,,,,,
0,20142015,St. Louis Blues,National Hockey League,1,36,37,31,77,31,0.0,73,8.0,6.0,0.0,27.0,1357:06,264.0,32.0,18.0,203:41,1143:05,14.02,2.0,0.0,10:20,18.0,1894.0
0,20142015,Russia,WC-A,2,3,4,2,9,2,,7,0.0,0.0,0.0,-1.0,,24.0,,,,,,,,,,
0,20152016,St. Louis Blues,National Hockey League,1,34,40,37,80,37,0.0,74,12.0,7.0,0.0,7.0,1491:01,292.0,32.0,24.0,224:52,1232:06,13.7,2.0,0.0,34:03,28.0,2129.0
0,20162017,St. Louis Blues,National Hockey League,1,36,39,12,82,12,50.0,75,9.0,8.0,0.0,-1.0,1514:32,286.0,50.0,22.0,244:43,1254:49,13.64,3.0,0.0,15:00,31.0,2064.0
0,20162017,Russia,WCup,17546,0,2,2,4,2,,2,,,,1.0,,,,,,,,,,,,
0,20172018,St. Louis Blues,National Hockey League,1,33,33,17,80,17,25.0,66,6.0,5.0,0.0,15.0,1524:34,306.0,89.0,16.0,272:01,1241:35,10.78,2.0,0.0,10:58,37.0,1851.0
0,20182019,St. Louis Blues,National Hockey League,1,35,33,22,76,22,66.67,68,12.0,5.0,0.0,8.0,1398:22,275.0,88.0,22.0,221:30,1172:10,12.0,1.0,0.0,04:42,40.0,1768.0
0,20192020,St. Louis Blues,National Hockey League,1,7,3,0,10,0,0.0,10,1.0,0.0,0.0,-2.0,161:45,26.0,17.0,3.0,24:27,137:16,11.5,0.0,0.0,00:02,7.0,218.0
0,20202021,St. Louis Blues,National Hockey League,1,10,4,0,24,0,0.0,14,2.0,0.0,0.0,-7.0,418:05,65.0,30.0,6.0,61:28,355:58,6.2,0.0,0.0,00:39,15.0,500.0
0,20202021,Russia,WC,17485,2,0,2,3,2,,2,,,,1.0,,,,,,,,,,,,
0,20212022,St. Louis Blues,National Hockey League,1,48,34,32,75,32,36.36,82,5.0,9.0,0.0,7.0,1268:21,230.0,83.0,22.0,200:32,1064:48,14.8,0.0,1.0,03:01,45.0,1649.0
