,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,shots,hits,powerPlayGoals,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,blocked
0,20022003,Winnipeg Warriors Bantam AAA,WBAAA,129099,95,98,0,48,0,0.0,193,,,,,,,,,,,,,,,,
0,20032004,Shattuck St. Mary's Midget Prep,USHS-Prep,23168,54,64,0,70,0,0.0,118,,,,,,,,,,,,,,,,
0,20042005,Shat.-St. Mary's,High-MN,1,62,48,38,64,38,,110,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20052006,North Dakota,WCHA,1,17,22,22,42,22,,39,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20062007,North Dakota,WCHA,1,28,18,10,34,10,,46,,,,,,,,,,,,,,,,
0,20062007,Canada,WJC-A,3,3,4,12,6,12,,7,,,,,,,,,,,,,,,,
0,20062007,Canada,WC-A,4,5,2,6,9,6,,7,,,,,,,,,,,,,,,,
0,20072008,Chicago Blackhawks,National Hockey League,1,30,24,44,64,44,11.0,54,1194:50,236:03,862:03,53.24,96:44,1573.0,144.0,27.0,7.0,22.0,16.67,4.0,1.0,0.0,2.0,13.0
0,20072008,Canada,WC-A,3,3,2,8,9,8,,5,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20082009,Chicago Blackhawks,National Hockey League,1,35,34,51,82,51,12.0,69,1527:19,327:37,1146:09,54.7,53:33,2000.0,195.0,43.0,12.0,22.0,17.44,7.0,0.0,0.0,0.0,26.0
0,20092010,Chicago Blackhawks,National Hockey League,1,43,25,47,76,47,22.0,68,1520:15,227:02,1176:03,57.34,117:10,1905.0,202.0,56.0,9.0,22.0,12.38,3.0,0.0,1.0,4.0,33.0
0,20092010,Canada,Olympics,3,7,1,2,7,2,,8,,,,0.0,,,,,,,,,,,,
0,20102011,Chicago Blackhawks,National Hockey League,1,44,32,26,80,26,25.0,76,1661:08,247:03,1257:21,56.68,156:44,2192.0,233.0,74.0,10.0,25.0,13.73,8.0,1.0,1.0,2.0,28.0
0,20112012,Chicago Blackhawks,National Hockey League,1,28,29,28,59,28,17.0,57,1229:46,193:29,925:41,59.37,110:36,1549.0,185.0,32.0,5.0,12.0,15.68,4.0,0.0,1.0,3.0,14.0
0,20122013,Chicago Blackhawks,National Hockey League,1,25,23,27,47,27,28.0,48,909:05,126:20,716:10,59.91,66:35,1174.0,143.0,24.0,2.0,6.0,16.08,5.0,0.0,2.0,3.0,16.0
0,20132014,Chicago Blackhawks,National Hockey League,1,40,28,34,76,34,26.0,68,1555:28,241:03,1196:30,57.25,117:55,1966.0,193.0,29.0,5.0,15.0,14.51,5.0,0.0,3.0,5.0,20.0
0,20132014,Canada,Olympics,2,2,1,0,6,0,3.0,3,,,,,,,11.0,,0.0,,,1.0,,0.0,,
0,20142015,Chicago Blackhawks,National Hockey League,1,38,28,36,81,36,30.0,66,1584:36,273:57,1198:39,56.54,112:00,2003.0,192.0,56.0,6.0,17.0,14.58,7.0,1.0,2.0,3.0,16.0
0,20152016,Chicago Blackhawks,National Hockey League,1,30,28,62,80,62,16.0,58,1539:50,195:05,1231:33,58.55,113:12,2033.0,179.0,81.0,6.0,9.0,15.64,8.0,5.0,4.0,7.0,38.0
0,20162017,Chicago Blackhawks,National Hockey League,1,37,21,35,72,35,7.0,58,1451:06,193:16,1164:00,54.9,93:50,1772.0,199.0,43.0,6.0,17.0,10.55,5.0,1.0,0.0,0.0,32.0
0,20162017,Canada,WCup,17216,2,3,0,6,0,6.0,5,,,,,,,,,,,,,,,,
0,20172018,Chicago Blackhawks,National Hockey League,1,32,20,47,74,47,-1.0,52,1457:06,232:40,1098:22,57.95,126:04,1827.0,211.0,32.0,2.0,12.0,9.48,2.0,1.0,0.0,0.0,24.0
0,20182019,Chicago Blackhawks,National Hockey League,1,46,35,40,82,40,2.0,81,1722:34,268:16,1312:00,56.33,142:18,2090.0,235.0,42.0,9.0,23.0,14.89,5.0,2.0,1.0,1.0,44.0
0,20192020,Chicago Blackhawks,National Hockey League,1,42,18,48,70,48,-2.0,60,1384:23,231:50,1017:58,57.3,134:35,1683.0,172.0,56.0,1.0,8.0,10.5,3.0,3.0,1.0,1.0,35.0
0,20212022,Chicago Blackhawks,National Hockey League,1,25,12,39,71,39,-14.0,37,1240:45,192:16,950:47,58.98,97:42,1649.0,125.0,25.0,4.0,7.0,9.6,2.0,0.0,1.0,1.0,22.0
