,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,King. Jr. Frontenacs,Minor-ON,1,41,44,10,29,10,0.0,85,,,,,,,,,,,,,,,,
0,20072008,Windsor,OHL,1,39,45,22,63,22,,84,10.0,0.0,40.0,,,,,,,,,,,,,
0,20072008,Canada,WJ18-A,5,5,4,4,7,4,0.0,9,,,,,,,,,,,,,,,,
0,20082009,Windsor,OHL,1,52,38,60,63,60,,90,12.0,2.0,29.0,,,,,,,,,,,,,
0,20092010,Windsor,OHL,1,66,40,56,57,56,,106,14.0,4.0,46.0,,,,,,,,,,,,,
0,20092010,Canada,WJC-A,2,6,6,0,6,0,0.0,12,,,,,,,,,,,,,,,,
0,20102011,Edmonton Oilers,National Hockey League,1,20,22,27,65,27,40.0,42,8.0,0.0,-9.0,1183:38,186.0,48.0,11.0,177:28,1004:04,11.83,4.0,1.0,0.0,02:06,37.0,1446.0
0,20112012,Edmonton Oilers,National Hockey League,1,26,27,36,61,36,40.35,53,13.0,0.0,-3.0,1111:20,207.0,44.0,21.0,186:46,921:54,13.04,7.0,2.0,0.0,02:40,34.0,1328.0
0,20122013,Edmonton Oilers,National Hockey League,1,34,16,33,45,33,54.72,50,4.0,0.0,5.0,837:55,154.0,24.0,14.0,146:03,689:25,10.39,4.0,0.0,0.0,02:27,20.0,1017.0
0,20122013,Canada,WC-A,2,1,2,0,8,0,,3,0.0,0.0,1.0,,,,,,,,0.0,,,,,
0,20122013,Oklahoma City,AHL,3,20,14,33,26,33,,34,9.0,0.0,0.0,,83.0,,,,,16.87,3.0,,,,,
0,20132014,Edmonton Oilers,National Hockey League,1,53,27,44,75,44,45.68,80,7.0,0.0,-15.0,1501:02,250.0,54.0,17.0,238:15,1234:43,10.8,1.0,1.0,1.0,28:04,41.0,1908.0
0,20142015,Edmonton Oilers,National Hockey League,1,24,14,40,53,40,45.92,38,3.0,0.0,-1.0,1018:39,158.0,67.0,6.0,132:42,873:07,8.86,0.0,0.0,0.0,12:50,37.0,1303.0
0,20142015,Canada,WC-A,2,5,7,6,10,6,,12,0.0,0.0,8.0,,31.0,,,,,,1.0,,,,,
0,20152016,Edmonton Oilers,National Hockey League,1,39,26,54,82,54,35.9,65,4.0,0.0,-4.0,1574:45,286.0,82.0,12.0,231:06,1339:34,9.09,6.0,1.0,0.0,04:05,50.0,1961.0
0,20152016,Canada,WC-A,2,3,6,2,10,2,,9,1.0,0.0,8.0,,30.0,,,,,,1.0,,,,,
0,20152016,Canada,WC,17155,3,6,2,10,2,,9,,,8.0,,,,,,,,,,,,,
0,20162017,New Jersey Devils,National Hockey League,1,33,20,32,72,32,44.44,53,7.0,0.0,-9.0,1391:50,238.0,59.0,15.0,198:54,1172:41,8.4,4.0,2.0,0.0,20:15,31.0,1628.0
0,20172018,New Jersey Devils,National Hockey League,1,54,39,34,76,34,48.65,93,13.0,1.0,14.0,1454:46,278.0,72.0,37.0,221:00,1226:07,14.03,7.0,3.0,1.0,07:39,44.0,1742.0
0,20182019,New Jersey Devils,National Hockey League,1,26,11,16,33,16,44.83,37,1.0,0.0,-6.0,649:40,113.0,22.0,12.0,112:11,536:05,9.73,3.0,0.0,0.0,01:24,29.0,727.0
0,20192020,New Jersey Devils,National Hockey League,1,19,6,20,30,20,46.43,25,2.0,0.0,-11.0,575:38,109.0,25.0,12.0,112:55,462:04,5.5,0.0,0.0,0.0,00:39,9.0,665.0
0,20192020,Arizona Coyotes,National Hockey League,2,17,10,14,35,14,30.43,27,2.0,0.0,-3.0,670:40,123.0,22.0,6.0,112:10,545:41,8.1,1.0,0.0,0.0,12:49,20.0,800.0
0,20202021,Buffalo Sabres,National Hockey League,1,17,2,24,37,24,18.18,19,1.0,0.0,-21.0,691:04,88.0,24.0,6.0,110:18,580:18,2.3,0.0,0.0,0.0,00:28,11.0,816.0
0,20202021,Boston Bruins,National Hockey League,2,6,8,2,16,2,83.33,14,1.0,0.0,15.0,255:29,48.0,10.0,2.0,28:21,226:25,16.7,1.0,1.0,0.0,00:43,4.0,306.0
0,20212022,Boston Bruins,National Hockey League,1,41,20,42,81,42,46.15,61,7.0,0.0,11.0,1329:21,217.0,55.0,15.0,229:00,1098:33,9.2,3.0,1.0,0.0,01:48,36.0,1572.0
