,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20142015,TPH Thunder 14U AAA,T1EHL 14U,162814,0.934,1.0,8
0,20142015,TPH Thunder 14U AAA,14U AAA,162828,0.93,1.55,22
0,20152016,TPH Thunder 16U AAA,T1EHL 16U,125276,0.906,2.97,7
0,20162017,Honeybaked 16U AAA,HPHL 16U,104461,0.918,1.49,11
0,20172018,Owen Sound Attack,OHL,9458,0.879,3.2,30
0,20182019,Owen Sound Attack,OHL,9458,0.878,3.63,49
0,20192020,Owen Sound Attack,OHL,9458,0.9,3.18,51
0,20212022,Barrie Colts,OHL,9368,0.915,2.52,31
0,20212022,Owen Sound Attack,OHL,9458,0.915,3.2,10
