,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,Toronto Marlboros Bantam AAA,GTBHL,138915,55,40,0,33,0,0.0,95,,,,,,,,,,,,,,,,
0,20132014,Tor. Marlboros,GTHL,1,36,21,20,33,20,,57,,,,,,,,,,,,,,,,
0,20142015,Mississauga,OHL,1,17,12,33,63,33,-23.0,29,3.0,1.0,0.0,,,,,,,,,,,,,
0,20152016,Mississauga,OHL,1,40,21,71,57,71,10.0,61,6.0,3.0,4.0,171.0,12.3,,,,,,,,,,,
0,20152016,Canada,WJ18-A,2,2,2,2,7,2,3.0,4,0.0,0.0,0.0,12.0,16.7,,,,,,,,,,,
0,20152016,Canada U18,WJC-18,17193,2,2,2,7,2,3.0,4,,,,,,,,,,,,,,,,
0,20152016,Mississauga Steelheads,OHL,126668,40,21,71,57,71,10.0,61,,,,,,,,,,,,,,,,
0,20152016,Canada U18,Hlinka Gretzky Cup,144760,1,1,2,4,2,4.0,2,,,,,,,,,,,,,,,,
0,20152016,Team White,U18-Dev,178691,5,1,8,3,8,3.0,6,,,,,,,,,,,,,,,,
0,20162017,Canada U20,WJC-20,17216,1,2,2,7,2,-1.0,3,,,,,,,,,,,,,,,,
0,20162017,Mississauga Steelheads,OHL,126668,46,27,49,57,49,28.0,73,,,,,,,,,,,,,,,,
0,20172018,Canada U20,WJC-20,17216,3,1,2,7,2,5.0,4,,,,,,,,,,,,,,,,
0,20172018,Mississauga Steelheads,OHL,126668,28,16,34,38,34,-1.0,44,,,,,,,,,,,,,,,,
0,20172018,Binghamton Devils,AHL,233827,1,0,2,6,2,-6.0,1,,,,,,,,,,,,,,,,
0,20182019,New Jersey Devils,National Hockey League,1,3,0,13,21,13,-8.0,3,0.0,0.0,0.0,21.0,0.0,256:07,41.0,0.0,06:24,247:53,53.03,0.0,0.0,01:50,4.0,337.0
0,20182019,Binghamton Devils,AHL,233827,27,6,43,55,43,-1.0,33,,,,,,,,,,,,,,,,
0,20192020,New Jersey Devils,National Hockey League,1,2,0,4,12,4,4.0,2,0.0,0.0,0.0,11.0,0.0,122:45,19.0,0.0,00:12,120:51,50.0,0.0,0.0,01:42,6.0,158.0
0,20192020,Binghamton Devils,AHL,233827,15,8,59,47,59,-5.0,23,,,,,,,,,,,,,,,,
0,20202021,New Jersey Devils,National Hockey League,1,6,9,42,52,42,-12.0,15,0.0,2.0,0.0,60.0,15.0,718:17,89.0,0.0,06:16,630:52,51.5,0.0,0.0,81:09,20.0,1060.0
0,20212022,New Jersey Devils,National Hockey League,1,14,6,52,77,52,-13.0,20,0.0,0.0,0.0,78.0,7.7,1026:06,145.0,0.0,14:46,855:13,57.25,0.0,1.0,156:07,34.0,1609.0
