,season,team,league,sequenceNumber,timeOnIce,shutouts,goalAgainstAverage,games,goalsAgainst,ties,wins,losses,savePercentage,ot,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,shotsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20082009,Kramfors U18,Swe-U18,1,824:00,0.0,3.93,14,54.0,,,,,,,,,,,,,,,,,
0,20092010,Kramfors U18,Swe-U18,1,120:00,0.0,5.5,2,11.0,,,,,,,,,,,,,,,,,
0,20092010,MODO U18,Swe-U18,2,484:00,1.0,3.22,8,26.0,,,,,,,,,,,,,,,,,
0,20102011,MODO U18,Swe-U18,1,1387:00,5.0,2.2,24,51.0,,,,,,,,,,,,,,,,,
0,20102011,MODO Jr.,Swe-Jr.,2,60:00,0.0,2.0,1,2.0,,,,,,,,,,,,,,,,,
0,20112012,MODO Jr.,Swe-Jr.,1,1521:00,1.0,2.76,25,70.0,,,,,,,,,,,,,,,,,
0,20112012,MODO,Sweden,2,148:00,0.0,3.24,3,8.0,,,,,,,,,,,,,,,,,
0,20122013,MODO Jr.,Swe-Jr.,1,1352:00,2.0,2.04,23,46.0,0.0,18.0,5.0,,,,,,,,,,,,,,
0,20122013,Mora,Sweden-2,2,343:00,0.0,2.1,6,12.0,0.0,4.0,2.0,,,,,,,,,,,,,,
0,20122013,MODO,Sweden,3,320:00,0.0,2.07,6,11.0,0.0,3.0,1.0,,,,,,,,,,,,,,
0,20132014,MODO,Sweden,1,2043:00,3.0,2.08,35,71.0,0.0,17.0,16.0,,,,,,,,,,,,,,
0,20142015,MODO,Sweden,1,1926:00,1.0,3.12,35,100.0,0.0,12.0,20.0,,,,,,,,,,,,,,
0,20142015,MODO Hockey,SHL,889,,,3.12,35,,,,,0.905,,,,,,,,,,,,,
0,20152016,Buffalo Sabres,National Hockey League,1,1130:40,0.0,2.600236,20,49.0,,8.0,10.0,0.913274,2.0,516.0,45.0,7.0,464.0,10.0,503.0,52.0,20.0,565.0,86.53846153846155,70.0,92.2465208747515
0,20152016,Rochester Americans,AHL,1047,,,3.41,28,,,,,0.902,,,,,,,,,,,,,
0,20162017,Buffalo Sabres,National Hockey League,1,58:44,0.0,3.064699,1,3.0,,0.0,1.0,0.916667,0.0,33.0,5.0,2.0,26.0,3.0,28.0,5.0,1.0,36.0,100.0,66.66666666666666,92.85714285714286
0,20162017,Rochester Americans,AHL,1047,,,2.87,55,,,,,0.909,,,,,,,,,,,,,
0,20172018,Buffalo Sabres,National Hockey League,1,240:18,0.0,1.997503,5,8.0,0.0,1.0,2.0,0.934959,0.0,115.0,6.0,1.0,108.0,1.0,114.0,8.0,3.0,123.0,75.0,100.0,94.73684210526315
0,20172018,Rochester Americans,AHL,1047,,,2.44,44,,,,,0.922,,,,,,,,,,,,,
0,20182019,Buffalo Sabres,National Hockey League,1,2102:06,2.0,3.111175,37,109.0,0.0,15.0,14.0,0.904887,5.0,1037.0,107.0,25.0,905.0,29.0,992.0,125.0,34.0,1146.0,85.6,86.20689655172413,91.22983870967742
0,20192020,Buffalo Sabres,National Hockey League,1,2026:38,1.0,2.6941,34,91.0,0.0,17.0,14.0,0.915,3.0,975.0,129.0,32.0,814.0,33.0,879.0,154.0,34.0,1066.0,83.76623376623377,96.96969696969697,92.6052332195677
0,20202021,Buffalo Sabres,National Hockey League,1,1117:05,0.0,2.6319,20,49.0,0.0,9.0,6.0,0.917,3.0,542.0,74.0,7.0,461.0,8.0,497.0,86.0,20.0,591.0,86.04651162790698,87.5,92.75653923541248
0,20212022,Boston Bruins,National Hockey League,1,2330:26,1.0,2.4459,41,95.0,0.0,26.0,10.0,0.917,2.0,1045.0,172.0,44.0,829.0,45.0,901.0,194.0,39.0,1140.0,88.65979381443299,97.77777777777777,92.00887902330743
