,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20132014,Guelph Gryphons,Minor-ON,1,17,18,39,37,39,35,,,,,,,,,,,,,,,,,
0,20142015,Kitchener,OHL,1,5,10,18,67,18,15,0.0,1.0,0.0,2.0,,,,,,,,,,,,,
0,20152016,Kitchener,OHL,1,22,16,14,68,14,38,2.0,1.0,1.0,18.0,132.0,12.1,,,,,,,,,,,
0,20152016,Kitchener Rangers,OHL,9418,22,16,14,68,14,38,,,,18.0,,,,,,,,,,,,,
0,20162017,Kitchener Rangers,OHL,9418,15,37,30,64,30,52,,,,-5.0,,,,,,,,,,,,,
0,20172018,Kitchener Rangers,OHL,9418,23,27,31,66,31,50,,,,-7.0,,,,,,,,,,,,,
0,20182019,Lehigh Valley Phantoms,AHL,173347,13,19,16,62,16,32,,,,-10.0,,,,,,,,,,,,,
0,20192020,Philadelphia Flyers,National Hockey League,1,1,1,2,21,2,2,0.0,0.0,0.0,7.0,18.0,5.6,194:55,29.0,0.0,00:40,193:37,37.5,0.0,0.0,00:38,2.0,318.0
0,20192020,Lehigh Valley Phantoms,AHL,173347,3,6,12,29,12,9,,,,-21.0,,,,,,,,,,,,,
0,20202021,Philadelphia Flyers,National Hockey League,1,1,0,2,18,2,1,0.0,0.0,0.0,-6.0,15.0,0.0,208:08,31.0,0.0,00:22,192:37,53.85,0.0,0.0,15:09,6.0,311.0
0,20202021,Lehigh Valley Phantoms,AHL,173347,1,1,12,15,12,2,,,,-1.0,,,,,,,,,,,,,
0,20212022,Philadelphia Flyers,National Hockey League,1,0,0,4,15,4,0,0.0,0.0,0.0,-7.0,10.0,0.0,150:09,17.0,0.0,01:02,145:16,53.27,0.0,0.0,03:51,2.0,227.0
0,20212022,Charlotte Checkers,AHL,2357,2,1,0,12,0,3,,,,1.0,,,,,,,,,,,,,
0,20212022,Lehigh Valley Phantoms,AHL,173347,5,6,10,41,10,11,,,,-6.0,,,,,,,,,,,,,
