,season,team,league,sequenceNumber,goalAgainstAverage,games,savePercentage
0,20142015,Triolet Harfangs U15 AAA,QBAAA,168086,3.08,18,
0,20152016,Triolet Harfangs M15 AAA,QM15AAA,169267,2.06,18,
0,20162017,Magog Cantonniers,QM18AAA,63594,3.17,19,0.901
0,20172018,Magog Cantonniers,QM18AAA,63594,2.75,19,0.903
0,20182019,Gatineau Olympiques,QMJHL,18240,3.78,19,0.89
0,20192020,Gatineau Olympiques,QMJHL,18240,3.49,45,0.9
0,20202021,Gatineau Olympiques,QMJHL,18240,2.63,24,0.908
0,20212022,Gatineau Olympiques,QMJHL,18240,2.48,37,0.907
