,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20032004,St. Albert Raiders Midget AAA,AMHL,33227,0,0,0,2,0,0.0,0,,,,,,,,,,,,,,,,
0,20042005,Camrose,AJHL,1,0,0,0,4,0,,0,,,,,,,,,,,,,,,,
0,20052006,Camrose,AJHL,1,8,5,27,29,27,,13,3.0,0.0,0.0,,,,,,,,,,,,,
0,20052006,Sherwood Park,AJHL,2,23,7,46,57,46,,30,,,,,,,,,,,,,,,,
0,20062007,Chilliwack,WHL,1,23,8,62,67,62,,31,,,,,,,,,,,,,,,,
0,20072008,Chilliwack,WHL,1,38,22,54,70,54,5.0,60,14.0,,0.0,,,,,,,,,,,,,
0,20072008,Syracuse,AHL,2,0,0,2,1,2,1.0,0,0.0,,0.0,,,,,,,,,,,,,
0,20082009,Syracuse,AHL,1,18,4,46,61,46,-11.0,22,2.0,2.0,0.0,,,,,,,,,,,,,
0,20092010,Syracuse,AHL,1,17,6,52,68,52,-9.0,23,1.0,0.0,1.0,,,,,,,,,,,,,
0,20102011,Columbus Blue Jackets,National Hockey League,1,0,0,0,5,0,0.0,0,0.0,0.0,0.0,85:57,6.0,4.0,0.0,18:25,64:53,0.0,0.0,0.0,0.0,02:39,9.0,116.0
0,20102011,Springfield,AHL,2,21,4,63,67,63,2.0,25,0.0,0.0,0.0,,95.0,,,,,,4.21,,,,,
0,20112012,Springfield,AHL,1,6,3,14,25,14,-2.0,9,2.0,1.0,0.0,,54.0,,,,,,5.56,,,,,
0,20122013,Columbus Blue Jackets,National Hockey League,1,0,0,0,2,0,1.0,0,0.0,0.0,0.0,17:09,2.0,3.0,0.0,00:00,17:08,0.0,0.0,0.0,0.0,00:01,0.0,28.0
0,20122013,Springfield,AHL,2,30,9,58,73,58,24.0,39,4.0,3.0,1.0,,115.0,,,,,,7.83,,,,,
0,20132014,Colorado Avalanche,National Hockey League,1,15,10,22,54,22,12.0,25,2.0,2.0,0.0,1008:53,66.0,118.0,7.0,93:28,831:21,0.0,15.15,0.0,1.0,84:04,57.0,1326.0
0,20142015,Colorado Avalanche,National Hockey League,1,9,5,28,78,28,-11.0,14,2.0,2.0,0.0,1544:57,94.0,156.0,6.0,144:18,1250:20,0.0,5.32,0.0,0.0,150:19,96.0,1991.0
0,20152016,Colorado Avalanche,National Hockey League,1,16,6,24,82,24,-1.0,22,0.0,0.0,0.0,1794:12,98.0,217.0,1.0,62:25,1539:59,0.0,6.12,0.0,0.0,191:48,118.0,2312.0
0,20162017,New York Rangers,National Hockey League,1,23,11,35,80,35,13.0,34,3.0,2.0,0.0,1649:01,84.0,164.0,4.0,48:47,1464:02,0.0,13.1,1.0,1.0,136:12,88.0,2232.0
0,20172018,New York Rangers,National Hockey League,1,9,3,14,55,14,-3.0,12,0.0,0.0,0.0,1043:59,54.0,114.0,0.0,05:09,925:19,0.0,5.56,0.0,0.0,113:31,69.0,1429.0
0,20172018,Boston Bruins,National Hockey League,2,4,1,0,18,0,-2.0,5,0.0,0.0,0.0,343:28,26.0,22.0,3.0,30:42,279:30,0.0,3.85,0.0,0.0,33:16,14.0,433.0
0,20182019,Vegas Golden Knights,National Hockey League,1,12,3,14,61,14,5.0,15,0.0,0.0,0.0,1115:50,77.0,104.0,0.0,05:24,1004:01,0.0,3.9,0.0,2.0,106:25,76.0,1395.0
0,20192020,Vegas Golden Knights,National Hockey League,1,8,6,13,61,13,-1.0,14,1.0,0.0,0.0,1150:19,101.0,129.0,1.0,04:20,1030:04,0.0,5.9,0.0,1.0,115:55,74.0,1459.0
0,20202021,Vegas Golden Knights,National Hockey League,1,2,0,2,17,2,3.0,2,0.0,0.0,0.0,269:20,23.0,28.0,0.0,00:12,258:20,0.0,0.0,0.0,0.0,10:48,20.0,351.0
0,20212022,Ottawa Senators,National Hockey League,1,14,5,12,76,12,0.0,19,0.0,1.0,0.0,1508:30,75.0,115.0,0.0,05:21,1260:01,0.0,6.7,0.0,0.0,243:08,112.0,1915.0
0,20212022,Canada,WC,17155,2,0,4,10,4,5.0,2,,,,,,,,,,,,,,,,
