,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20102011,Beaver Valley NiteHawks,KIJHL,35942,1,0,0,1,0,1,
0,20102011,Kootenay Ice Midget AAA,BCMML,54402,13,8,20,40,20,21,
0,20112012,Beaver Valley NiteHawks,KIJHL,35942,9,4,4,9,4,13,
0,20112012,Kootenay Ice Midget AAA,BCMML,54402,29,22,16,40,16,51,
0,20122013,Trail Smoke Eaters,BCHL,18222,3,5,17,55,17,8,
0,20132014,Trail Smoke Eaters,BCHL,18222,18,8,12,55,12,26,
0,20142015,Trail Smoke Eaters,BCHL,18222,48,35,32,58,32,83,
0,20152016,Michigan Tech,NCAA,6040,10,7,10,37,10,17,5.0
0,20162017,Michigan Tech,NCAA,6040,11,11,20,45,20,22,-4.0
0,20172018,Michigan Tech,NCAA,6040,23,16,8,44,8,39,11.0
0,20182019,Wilkes-Barre/Scranton Penguins,AHL,1077,1,6,2,15,2,7,-1.0
0,20182019,Michigan Tech,NCAA,6040,15,11,14,38,14,26,-6.0
0,20192020,Wilkes-Barre/Scranton Penguins,AHL,1077,8,7,10,53,10,15,1.0
0,20192020,Laval Rocket,AHL,222817,1,4,4,8,4,5,3.0
0,20202021,Laval Rocket,AHL,222817,3,3,6,28,6,6,1.0
0,20212022,Belleville Senators,AHL,227817,31,20,14,72,14,51,3.0
