,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20132014,Bedford Barons Major Bantam,NSMBHL,122744,4,1,6.0,25,6,5,
0,20142015,Bedford Barons Major Bantam,NSMBHL,122744,19,7,14.0,33,14,26,
0,20152016,Steele Subaru U18,NSU18MHL,112205,15,6,32.0,38,32,21,
0,20152016,Team Nova Scotia,QGC-16,154235,2,1,2.0,5,2,3,
0,20162017,Salisbury School,USHS-Prep,47622,12,6,,30,,18,
0,20172018,Salisbury School,USHS-Prep,47622,13,4,,28,,17,
0,20182019,Quinnipiac Univ.,NCAA,21340,16,3,38.0,38,38,19,22.0
0,20192020,Quinnipiac Univ.,NCAA,21340,15,6,39.0,34,39,21,10.0
0,20202021,Quinnipiac Univ.,NCAA,21340,14,6,36.0,29,36,20,2.0
0,20202021,Henderson Silver Knights,AHL,307807,2,0,21.0,13,21,2,2.0
0,20212022,Henderson Silver Knights,AHL,307807,17,3,54.0,53,54,20,1.0
