,season,team,league,sequenceNumber,assists,goals,pim,games,powerPlayGoals,penaltyMinutes,gameWinningGoals,shortHandedGoals,points,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Orangeville,CCHL,2,0,0,0,3,0.0,0,0.0,0.0,0,,,,,,,,,,,,,,
0,20102011,Guelph,OHL,1,4,10,38,68,0.0,38,,0.0,14,3.0,,,,,,,,,,,,,
0,20112012,Guelph,OHL,1,7,12,25,33,6.0,25,,1.0,19,-2.0,,,,,,,,,,,,,
0,20122013,Guelph,OHL,1,26,28,71,68,9.0,71,,3.0,54,7.0,,,,,,,,,,,,,
0,20122013,Charlotte,AHL,2,0,0,0,4,0.0,0,0.0,0.0,0,-2.0,3.0,0.0,,,,,,,,,,,
0,20132014,Guelph,OHL,1,42,43,45,58,12.0,45,4.0,2.0,85,46.0,,,,,,,,,,,,,
0,20142015,Charlotte,AHL,1,12,15,38,73,3.0,38,1.0,0.0,27,-18.0,155.0,9.7,,,,,,,,,,,
0,20152016,Carolina Hurricanes,National Hockey League,1,1,3,10,21,0.0,10,0.0,0.0,4,-14.0,25.0,12.0,234:52,28.0,0.0,03:18,224:26,0.0,0.0,0.0,07:08,6.0,334.0
0,20152016,Charlotte,AHL,2,16,19,29,48,7.0,29,2.0,0.0,35,-8.0,110.0,17.3,,,,,,,,,,,
0,20152016,Charlotte Checkers,AHL,2357,16,19,29,48,,29,,,35,-8.0,,,,,,,,,,,,,
0,20162017,Carolina Hurricanes,National Hockey League,1,9,7,6,57,0.0,6,1.0,0.0,16,-11.0,74.0,9.46,683:51,91.0,0.0,03:52,635:08,25.0,0.0,1.0,44:51,22.0,1017.0
0,20162017,Charlotte Checkers,AHL,2357,3,5,6,9,,6,,,8,3.0,,,,,,,,,,,,,
0,20172018,Carolina Hurricanes,National Hockey League,1,14,16,22,80,2.0,22,1.0,1.0,30,-12.0,159.0,10.06,1159:44,137.0,3.0,26:58,1036:42,45.95,0.0,1.0,96:04,17.0,1657.0
0,20182019,Carolina Hurricanes,National Hockey League,1,16,10,20,82,0.0,20,0.0,1.0,26,10.0,123.0,8.13,1173:23,137.0,0.0,21:03,969:55,42.62,0.0,1.0,182:25,38.0,1700.0
0,20192020,Carolina Hurricanes,National Hockey League,1,10,7,17,68,0.0,17,1.0,2.0,17,-4.0,93.0,7.5,897:44,80.0,0.0,03:01,730:02,38.46,0.0,2.0,164:41,28.0,1293.0
0,20202021,Carolina Hurricanes,National Hockey League,1,5,8,6,37,0.0,6,1.0,1.0,13,0.0,58.0,13.8,554:28,44.0,0.0,02:16,472:26,21.43,0.0,1.0,79:46,12.0,762.0
0,20212022,Pittsburgh Penguins,National Hockey League,1,10,12,14,64,0.0,14,2.0,0.0,22,0.0,99.0,12.1,959:41,94.0,0.0,01:35,829:05,36.36,0.0,0.0,129:01,50.0,1322.0
