,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,shots,hits,powerPlayGoals,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,blocked,plusMinus
0,20022003,Jesenice U18,Sloven-U18,1,00:00,38,38,10,14,00:00,00:00,10,0.0,00:00,76,0.0,,,,,,,,,,,
0,20022003,Jesenice Jr.,Sloven-Jr.,2,00:00,12,15,8,20,00:00,00:00,8,0.0,00:00,27,0.0,,,,,,,,,,,
0,20022003,Kranjska Gora,Slovenia,3,00:00,4,4,4,11,00:00,00:00,4,0.0,00:00,8,0.0,,,,,,,,,,,
0,20022003,Slovenia,WJ18-B,4,00:00,1,2,0,5,00:00,00:00,0,0.0,00:00,3,0.0,,,,,,,,,,,
0,20032004,Jesenice Jr.,Sloven-Jr.,1,00:00,28,32,16,25,00:00,00:00,16,0.0,00:00,60,0.0,,,,,,,,,,,
0,20032004,Kranjska Gora,Slovenia,2,00:00,11,14,10,21,00:00,00:00,10,0.0,00:00,25,0.0,,,,,,,,,,,
0,20032004,Slovenia,WJC-B,3,00:00,1,1,0,5,00:00,00:00,0,0.0,00:00,2,0.0,,,,,,,,,,,
0,20032004,Slovenia,WJ18-B,5,00:00,2,6,0,5,00:00,00:00,0,0.0,00:00,8,0.0,,,,,,,,,,,
0,20042005,Sodertalje U18,Swe-U18,1,00:00,2,1,0,1,00:00,00:00,0,0.0,00:00,3,0.0,,,,,,,,,,,
0,20042005,Sodertalje Jr.,Swe-Jr.,2,00:00,21,28,26,30,00:00,00:00,26,0.0,00:00,49,0.0,,,,,,,,,,,
0,20042005,Sodertalje,Sweden,3,00:00,0,0,0,5,00:00,00:00,0,0.0,00:00,0,0.0,,,,,,,,,,,
0,20042005,Slovenia,WJC-B,4,00:00,3,10,6,5,00:00,00:00,6,0.0,00:00,13,0.0,,,,,,,,,,,
0,20042005,Slovenia,WJ18-B,5,00:00,5,6,14,5,00:00,00:00,14,0.0,00:00,11,0.0,,,,,,,,,,,
0,20042005,Slovenia,WC-A,6,00:00,0,1,2,6,00:00,00:00,2,0.0,00:00,1,0.0,,,,,,,,,,,
0,20052006,Sodertalje,Sweden,1,00:00,12,8,28,47,00:00,00:00,28,0.0,00:00,20,0.0,,,,,,,,,,,
0,20052006,Sodertalje,Sweden-Q,2,00:00,4,7,6,10,00:00,00:00,6,0.0,00:00,11,0.0,,,,,,,,,,,
0,20052006,Slovenia,WJC-B,4,00:00,1,5,4,5,00:00,00:00,4,0.0,00:00,6,0.0,,,,,,,,,,,
0,20052006,Slovenia,WC-A,5,00:00,6,3,2,6,00:00,00:00,2,0.0,00:00,9,0.0,,,,,,,,,,,
0,20062007,Los Angeles Kings,National Hockey League,1,1478:41,41,20,24,72,333:08,994:31,24,46.1,151:02,61,1895.0,193.0,55.0,7.0,29.0,10.36,1.0,0.0,2.0,2.0,33.0,-12.0
0,20062007,Slovenia,WC-B,3,,13,1,2,5,,,2,0.0,,14,,,,,,,,,,,,
0,20072008,Los Angeles Kings,National Hockey League,1,1696:24,45,32,22,82,332:59,1268:34,22,49.22,94:51,77,2077.0,201.0,47.0,12.0,34.0,15.92,3.0,1.0,2.0,4.0,40.0,-15.0
0,20072008,Slovenia,WC-A,3,00:00,1,3,2,5,00:00,00:00,2,0.0,00:00,4,0.0,,,,,,,,,,,
0,20082009,Los Angeles Kings,National Hockey League,1,1676:58,39,27,32,82,315:35,1239:48,32,49.52,121:35,66,2019.0,234.0,85.0,7.0,23.0,11.54,3.0,0.0,1.0,1.0,56.0,-17.0
0,20092010,Los Angeles Kings,National Hockey League,1,1786:25,47,34,16,82,317:51,1338:35,16,49.71,129:59,81,2113.0,259.0,80.0,14.0,38.0,13.13,2.0,0.0,1.0,1.0,51.0,6.0
0,20102011,Los Angeles Kings,National Hockey League,1,1619:03,48,25,20,75,272:15,1192:00,20,49.91,154:48,73,1917.0,233.0,92.0,6.0,18.0,10.73,6.0,1.0,1.0,1.0,45.0,25.0
0,20112012,Los Angeles Kings,National Hockey League,1,1749:47,51,25,20,82,278:28,1287:22,20,53.81,183:57,76,2059.0,230.0,72.0,8.0,26.0,10.87,2.0,0.0,2.0,4.0,53.0,12.0
0,20122013,Los Angeles Kings,National Hockey League,1,962:31,32,10,16,47,130:23,761:59,16,53.27,70:09,42,1188.0,98.0,70.0,0.0,16.0,10.2,1.0,0.0,0.0,0.0,25.0,14.0
0,20122013,Mora,Sweden-2,2,,24,10,14,31,,,14,,,34,,,,,,,,,,,,
0,20132014,Los Angeles Kings,National Hockey League,1,1712:45,41,29,24,82,278:30,1269:22,24,53.27,164:53,70,2080.0,200.0,90.0,10.0,23.0,14.5,9.0,2.0,0.0,0.0,44.0,34.0
0,20132014,Slovenia,Olympics,2,,1,2,4,5,,,4,,,3,,6.0,,1.0,,,1.0,,0.0,,,4.0
0,20142015,Los Angeles Kings,National Hockey League,1,1531:49,48,16,10,79,224:23,1174:44,10,52.59,132:42,64,1820.0,134.0,105.0,6.0,24.0,11.94,4.0,0.0,0.0,0.0,46.0,-2.0
0,20142015,Slovenia,WC-A,2,,3,1,0,7,,,0,,,4,,8.0,,0.0,,,0.0,,0.0,,,-2.0
0,20152016,Los Angeles Kings,National Hockey League,1,1690:12,49,25,16,81,208:10,1307:18,16,53.49,174:44,74,2036.0,177.0,78.0,5.0,18.0,14.12,8.0,4.0,1.0,3.0,65.0,34.0
0,20162017,Los Angeles Kings,National Hockey League,1,1578:14,40,12,28,76,228:26,1205:07,28,52.69,144:41,52,1877.0,150.0,78.0,5.0,19.0,8.0,0.0,0.0,0.0,1.0,59.0,-10.0
0,20162017,Slovenia,OGQ,17295,,2,3,2,3,,,2,,,5,,,,,,,,,,,,3.0
0,20162017,Team Europe,WCup,162186,,4,0,2,6,,,2,,,4,,,,,,,,,,,,0.0
0,20172018,Los Angeles Kings,National Hockey League,1,1810:58,57,35,20,82,236:42,1396:11,20,54.13,178:05,92,2143.0,200.0,50.0,7.0,27.0,17.5,6.0,0.0,0.0,2.0,64.0,21.0
0,20182019,Los Angeles Kings,National Hockey League,1,1806:50,38,22,30,81,229:54,1417:42,30,55.09,159:14,60,2146.0,156.0,59.0,1.0,19.0,14.1,3.0,0.0,2.0,2.0,66.0,-20.0
