,season,team,league,sequenceNumber,assists,goals,games,points,pim,penaltyMinutes,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Russell,Minor-MB,1,126,138,54,264,,,,,,,,,,,,,,,,,,,
0,20112012,Parkland,MMHL,1,36,31,40,67,138.0,138,,,,,,,,,,,,,,,,,
0,20122013,Brandon,WHL,1,25,18,61,43,46.0,46,6.0,1.0,0.0,-18.0,,,,,,,,,,,,,
0,20132014,Brandon,WHL,1,40,24,59,64,44.0,44,7.0,4.0,1.0,16.0,,,,,,,,,,,,,
0,20132014,Canada,WJ18-A,2,2,0,6,2,10.0,10,0.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,
0,20142015,Brandon,WHL,1,35,30,54,65,69.0,69,6.0,7.0,0.0,42.0,,,,,,,,,,,,,
0,20152016,Brandon,WHL,1,59,47,58,106,101.0,101,10.0,,4.0,59.0,,,,,,,,,,,,,
0,20152016,Brandon Wheat Kings,M-Cup,9071,0,0,2,0,18.0,18,,,,-2.0,,,,,,,,,,,,,
0,20152016,Brandon Wheat Kings,WHL,9591,59,47,58,106,101.0,101,,,,59.0,,,,,,,,,,,,,
0,20162017,Springfield Thunderbirds,AHL,39667,17,9,47,26,47.0,47,,,,5.0,,,,,,,,,,,,,
0,20172018,Manchester Monarchs,ECHL,1055,2,0,6,2,6.0,6,,,,-6.0,,,,,,,,,,,,,
0,20172018,Springfield Thunderbirds,AHL,39667,26,10,64,36,82.0,82,,,,-13.0,,,,,,,,,,,,,
0,20182019,Florida Panthers,National Hockey League,1,5,7,42,12,16.0,16,0.0,0.0,0.0,-8.0,35.0,20.0,396:06,101.0,1.0,05:53,390:13,73.68,0.0,0.0,00:00,25.0,588.0
0,20182019,Springfield Thunderbirds,AHL,39667,24,8,31,32,64.0,64,,,,9.0,,,,,,,,,,,,,
0,20192020,Florida Panthers,National Hockey League,1,2,1,15,3,8.0,8,0.0,0.0,0.0,-1.0,10.0,10.0,145:21,32.0,0.0,00:15,145:06,0.0,0.0,0.0,00:00,6.0,209.0
0,20192020,Ottawa Senators,National Hockey League,2,5,2,11,7,8.0,8,0.0,0.0,0.0,2.0,16.0,12.5,143:05,33.0,0.0,03:34,139:07,50.0,0.0,0.0,00:24,3.0,200.0
0,20192020,Springfield Thunderbirds,AHL,39667,1,0,6,1,6.0,6,,,,-2.0,,,,,,,,,,,,,
0,20202021,Vancouver Canucks,National Hockey League,1,3,2,30,5,9.0,9,0.0,1.0,0.0,-7.0,18.0,11.1,289:13,43.0,0.0,00:15,288:58,50.0,0.0,0.0,00:00,11.0,448.0
0,20212022,Skellefteå AIK,Champions HL,332,2,0,2,2,0.0,0,,,,3.0,,,,,,,,,,,,,
0,20212022,Skellefteå AIK,SHL,1019,11,8,39,19,26.0,26,,,,-4.0,,,,,,,,,,,,,
