,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20162017,Salavat Yulaev Ufa U16,Russia U16,199597,18,18,20,30,20,36,
0,20172018,Tolpar Ufa,MHL,49632,1,2,4,12,4,3,0.0
0,20172018,Salavat Yulaev Ufa U17,Russia U17,199118,29,24,20,30,20,53,52.0
0,20182019,Russia U18,WJC-18,17523,3,6,2,7,2,9,4.0
0,20182019,Tolpar Ufa,MHL,49632,13,13,14,31,14,26,20.0
0,20182019,Russia U18 |WJAC-19|,WJAC-19,87382,1,2,0,6,0,3,
0,20182019,Russia U18,Hlinka Gretzky Cup,158300,2,0,0,5,0,2,
0,20182019,Salavat Yulaev Ufa U18,Russia U18,267489,13,9,2,9,2,22,21.0
0,20192020,Salavat Yulaev Ufa,KHL,2414,2,0,4,21,4,2,-6.0
0,20192020,Salavat Yulaev Ufa,Spengler Cup,2805,0,1,0,3,0,1,0.0
0,20192020,Toros Neftekamsk,VHL,24747,2,1,0,5,0,3,0.0
0,20192020,Tolpar Ufa,MHL,49632,12,10,31,17,31,22,13.0
0,20202021,Salavat Yulaev Ufa,KHL,2414,4,9,6,39,6,13,-1.0
0,20202021,Russia U20,WJC-20,17546,4,2,4,7,4,6,-4.0
0,20202021,Toros Neftekamsk,VHL,24747,1,1,0,3,0,2,0.0
0,20202021,Russia,EHT,64546,0,3,0,3,0,3,2.0
0,20212022,Salavat Yulaev Ufa,KHL,2414,2,1,0,10,0,3,2.0
0,20212022,Toros Neftekamsk,VHL,24747,0,0,0,3,0,0,-1.0
