,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20162017,KC Squires U15 AAA,AEHL U15,62319,5,0,8,36,8,5,
0,20172018,CAC Canadians U15 AAA,AEHL U15,57079,17,5,28,36,28,22,
0,20182019,Northern Alberta Xtreme U16 Prep,CSSHL U16,212564,24,10,34,34,34,34,
0,20182019,Northern Alberta Xtreme U18 Prep,CSSHL U18,228966,0,0,0,3,0,0,
0,20192020,Fort McMurray Oil Barons,AJHL,21082,0,0,4,5,4,0,
0,20192020,Victoria Royals,WHL,98821,0,0,0,3,0,0,1.0
0,20192020,Northern Alberta Xtreme U18 Prep,CSSHL U18,228966,27,7,54,34,54,34,
0,20202021,Spruce Grove Saints,AJHL,20762,2,0,2,4,2,2,
0,20202021,Victoria Royals,WHL,98821,6,1,30,21,30,7,-6.0
0,20212022,Victoria Royals,WHL,98821,42,10,71,63,71,52,-12.0
0,20212022,San Jose Barracuda,AHL,187427,1,0,0,3,0,1,-1.0
