,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Trångsunds IF J18 2,J18 Div.2,52588,0,0,0,3,0,0.0,0,,,,,,,,,,,,,,,,
0,20112012,Trångsunds IF J18,J18 Div.1,20318,0,1,0,3,0,0.0,1,,,,,,,,,,,,,,,,
0,20122013,Trångsunds IF,Division 2,3069,0,0,0,3,0,,0,,,,,,,,,,,,,,,,
0,20122013,Trångsunds IF J20,J20 Div.1,14715,1,0,0,2,0,,1,,,,,,,,,,,,,,,,
0,20122013,Trångsunds IF J18,J18 Div.1,20530,15,9,8,29,8,,24,,,,,,,,,,,,,,,,
0,20122013,Stockholm Syd,TV-Pucken,135376,1,1,0,8,0,1.0,2,,,,,,,,,,,,,,,,
0,20132014,AIK U18,Swe-U18,1,24,10,24,38,24,,34,,,,,,,,,,,,,,,,
0,20142015,AIK U18,Swe-U18,1,7,2,8,6,8,,9,,,,,,,,,,,,,,,,
0,20142015,AIK Jr.,Swe-Jr.,2,23,17,20,39,20,,40,,,,,,,,,,,,,,,,
0,20142015,AIK,Sweden-2,3,1,0,2,5,2,,1,,,,,,,,,,,,,,,,
0,20152016,AIK Jr.,Swe-Jr.,1,1,1,2,2,2,,2,,,,,,,,,,,,,,,,
0,20152016,AIK,Sweden-2,2,9,8,6,48,6,,17,,,,,,,,,,,,,,,,
0,20152016,Sweden,WJ18-A,3,2,2,2,7,2,-2.0,4,18.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20152016,AIK,HockeyAllsvenskan,1240,9,8,6,48,6,1.0,17,,,,,,,,,,,,,,,,
0,20152016,AIK J20,J20 Nationell,5769,1,1,2,2,2,1.0,2,,,,,,,,,,,,,,,,
0,20152016,Sweden U18,WJC-18,8573,2,2,2,7,2,-2.0,4,,,,,,,,,,,,,,,,
0,20152016,Sweden U18,Hlinka Gretzky Cup,158290,2,3,0,5,0,0.0,5,,,,,,,,,,,,,,,,
0,20162017,AIK,HockeyAllsvenskan,1240,16,6,6,46,6,-2.0,22,,,,,,,,,,,,,,,,
0,20162017,AIK J20,J20 Nationell,5769,1,0,0,1,0,1.0,1,,,,,,,,,,,,,,,,
0,20172018,New Jersey Devils,National Hockey League,1,22,13,18,74,18,-16.0,35,100.0,4.0,2.0,1.0,1128:36,44.0,12.0,151:42,898:01,63.64,13.0,0.0,2.0,78:53,22.0,1516.0
0,20182019,New Jersey Devils,National Hockey League,1,25,8,6,51,6,-8.0,33,91.0,1.0,1.0,0.0,773:33,36.0,8.0,110:32,654:31,57.14,8.79,0.0,0.0,08:30,22.0,961.0
0,20182019,Sweden,WC,6815,2,0,0,6,0,-2.0,2,,,,,,,,,,,,,,,,
0,20182019,Sweden,EHT,89816,2,0,2,3,2,-2.0,2,,,,,,,,,,,,,,,,
0,20192020,New Jersey Devils,National Hockey League,1,16,16,6,60,6,-6.0,32,101.0,1.0,2.0,0.0,838:58,29.0,6.0,120:47,716:17,23.08,15.8,0.0,0.0,01:54,22.0,1096.0
0,20202021,New Jersey Devils,National Hockey League,1,23,7,8,46,8,4.0,30,101.0,2.0,1.0,0.0,739:30,31.0,8.0,109:51,610:40,33.33,6.9,1.0,1.0,18:59,18.0,1019.0
0,20212022,New Jersey Devils,National Hockey League,1,47,26,16,76,16,0.0,73,197.0,3.0,6.0,0.0,1324:41,26.0,18.0,206:47,1114:23,0.0,13.2,0.0,0.0,03:31,30.0,1749.0
