,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,faceOffPct,powerPlayGoals,shortHandedGoals,gameWinningGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Winnipeg Hawks Bantam AAA Div 2,WBAAA2,129160,34,20,14,29,14,54,,,,,,,,,,,,,,,,,
0,20062007,Winnipeg Hawks Bantam AAA,WBAAA,129119,23,34,20,30,20,57,0.0,,,,,,,,,,,,,,,,
0,20072008,Wpg. Thrashers,MMHL,1,31,22,28,40,28,53,,0.0,,,,,,,,,,,,,,,
0,20082009,Brandon,WHL,1,22,17,27,56,27,39,-5.0,,7.0,0.0,,,,,,,,,,,,,
0,20092010,Brandon,WHL,1,17,11,25,39,25,28,13.0,,2.0,0.0,,,,,,,,,,,,,
0,20102011,Brandon,WHL,1,69,37,28,71,28,106,14.0,,17.0,2.0,,,,,,,,,,,,,
0,20112012,Brandon,WHL,1,82,41,22,66,22,123,45.0,,16.0,2.0,,,,,,,,,,,,,
0,20112012,Canada,WJC-A,2,3,7,2,6,2,10,10.0,,1.0,0.0,2.0,,,,,,,,,,,,
0,20122013,Ottawa Senators,National Hockey League,1,0,0,2,4,2,0,-1.0,100.0,0.0,0.0,0.0,40:01,3.0,10.0,0.0,01:37,38:24,0.0,0.0,0.0,00:00,0.0,62.0
0,20122013,Binghamton,AHL,2,23,15,14,54,14,38,21.0,,2.0,0.0,1.0,,85.0,,,,,17.65,,,,,
0,20132014,Ottawa Senators,National Hockey League,1,4,4,4,19,4,8,5.0,100.0,1.0,0.0,0.0,275:02,36.0,10.0,1.0,27:34,243:09,11.11,0.0,0.0,04:19,7.0,390.0
0,20132014,Binghamton,AHL,2,26,15,6,37,6,41,5.0,,5.0,1.0,2.0,,76.0,,,,,19.7,,,,,
0,20142015,Ottawa Senators,National Hockey League,1,38,26,14,80,14,64,21.0,38.89,5.0,1.0,6.0,1361:42,157.0,49.0,13.0,191:30,1058:35,16.56,2.0,1.0,111:37,53.0,1802.0
0,20152016,Ottawa Senators,National Hockey League,1,38,23,38,75,38,61,-4.0,42.11,5.0,1.0,1.0,1508:31,151.0,55.0,15.0,224:30,1192:37,15.23,1.0,3.0,91:24,54.0,1789.0
0,20152016,Canada,WC,17155,6,4,6,10,6,10,8.0,,,,,,,,,,,,,,,,
0,20162017,Ottawa Senators,National Hockey League,1,32,22,25,71,25,54,12.0,40.0,6.0,0.0,5.0,1317:52,134.0,43.0,14.0,218:21,1095:37,16.42,0.0,0.0,03:54,53.0,1610.0
0,20172018,Ottawa Senators,National Hockey League,1,42,20,10,58,10,62,9.0,54.1,1.0,1.0,3.0,1199:02,132.0,53.0,11.0,179:36,950:01,15.15,1.0,2.0,69:25,39.0,1447.0
0,20182019,Ottawa Senators,National Hockey League,1,34,28,22,59,22,62,13.0,47.17,5.0,1.0,4.0,1213:28,145.0,51.0,17.0,156:30,978:42,19.31,1.0,1.0,78:16,53.0,1441.0
0,20182019,Vegas Golden Knights,National Hockey League,2,6,5,5,18,5,11,4.0,33.33,1.0,0.0,0.0,317:42,54.0,21.0,3.0,39:00,271:03,9.26,0.0,0.0,07:39,18.0,341.0
0,20182019,Canada,WC,17155,6,8,0,10,0,14,10.0,,,,,,,,,,,,,,,,
0,20192020,Vegas Golden Knights,National Hockey League,1,42,21,27,65,27,63,15.0,34.78,6.0,0.0,3.0,1261:51,168.0,56.0,17.0,163:23,973:10,12.5,0.0,1.0,125:18,51.0,1426.0
0,20202021,Vegas Golden Knights,National Hockey League,1,40,21,28,55,28,61,26.0,40.0,6.0,1.0,8.0,1048:21,98.0,31.0,17.0,163:42,810:27,21.4,0.0,1.0,74:12,33.0,1222.0
0,20212022,Vegas Golden Knights,National Hockey League,1,21,9,8,37,8,30,7.0,44.83,3.0,0.0,2.0,678:42,71.0,19.0,6.0,99:04,554:39,12.7,0.0,1.0,24:59,24.0,798.0
