,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Norrbotten,TV-Pucken,11036,4,3,8,7,8,7,,,,,,,,,,,,,,,,,
0,20102011,Skelleftea Jr.,Swe-Jr.,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
0,20102011,Skelleftea U18,Swe-U18,2,16,19,100,38,100,35,,,,,,,,,,,,,,,,,
0,20112012,Skelleftea Jr.,Swe-Jr.,1,0,1,0,2,0,1,,,,,,,,,,,,,,,,,
0,20112012,Skelleftea U18,Swe-U18,2,32,21,129,39,129,53,,,,,,,,,,,,,,,,,
0,20122013,Skelleftea,Sweden,1,0,1,8,14,8,1,,,,,,,,,,,,,,,,,
0,20122013,Skelleftea Jr.,Swe-Jr.,2,16,17,48,38,48,33,,,,,,,,,,,,,,,,,
0,20132014,Skelleftea,Sweden,1,10,6,16,51,16,16,,,,,,,,,,,,,,,,,
0,20132014,Sweden,Olympics,2,0,2,4,7,4,2,10.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,
0,20142015,Skelleftea,Sweden,1,10,9,34,41,34,19,,,,,,,,,,,,,,,,,
0,20152016,Pittsburgh Penguins,National Hockey League,1,3,1,4,18,4,4,13.0,0.0,1.0,1.0,0.0,185:36,18.0,0.0,00:48,177:26,46.04,7.69,0.0,1.0,07:22,5.0,258.0
0,20152016,Wilkes-Barre,AHL,2,12,5,30,45,30,17,,,,,-3.0,,,,,,,,,,,,
0,20152016,Wilkes-Barre/Scranton Penguins,AHL,1077,12,5,30,45,30,17,,,,,-3.0,,,,,,,,,,,,
0,20162017,Pittsburgh Penguins,National Hockey League,1,0,0,2,10,2,0,9.0,0.0,0.0,0.0,-4.0,91:44,13.0,0.0,00:05,86:42,36.36,0.0,0.0,0.0,04:57,2.0,138.0
0,20162017,Wilkes-Barre/Scranton Penguins,AHL,1077,26,20,52,63,52,46,,,,,12.0,,,,,,,,,,,,
0,20172018,St. Louis Blues,National Hockey League,1,4,1,14,42,14,5,41.0,0.0,0.0,0.0,-5.0,440:01,47.0,0.0,18:14,380:29,44.58,2.44,0.0,0.0,41:18,14.0,661.0
0,20172018,San Antonio Rampage,AHL,8497,4,2,6,6,6,6,,,,,-2.0,,,,,,,,,,,,
0,20182019,St. Louis Blues,National Hockey League,1,17,14,22,74,22,31,113.0,0.0,2.0,1.0,-1.0,1022:35,101.0,1.0,27:52,872:29,41.96,12.39,0.0,2.0,122:14,31.0,1384.0
0,20192020,St. Louis Blues,National Hockey League,1,11,12,28,57,28,23,97.0,0.0,1.0,1.0,5.0,819:41,60.0,0.0,11:03,715:04,44.3,12.4,0.0,2.0,93:34,26.0,1106.0
0,20202021,St. Louis Blues,National Hockey League,1,5,4,14,28,14,9,32.0,1.0,0.0,0.0,-6.0,424:19,50.0,3.0,27:10,328:32,48.12,12.5,0.0,0.0,68:37,25.0,547.0
0,20212022,St. Louis Blues,National Hockey League,1,11,4,12,41,12,15,50.0,0.0,0.0,0.0,4.0,547:40,49.0,0.0,04:27,465:58,46.56,8.0,0.0,0.0,77:15,19.0,737.0
0,20212022,Detroit Red Wings,National Hockey League,2,4,4,17,18,17,8,20.0,0.0,1.0,0.0,1.0,278:18,21.0,0.0,27:04,222:32,27.45,20.0,0.0,0.0,28:42,10.0,366.0
