,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Ajax/Pickering Raid. Mn Mdgt AAA,ETAMMHL,97602,39,56,140,66,140,0.0,95,,,,,,,,,,,,,,,,
0,20102011,Stouffville Spirit,OJHL,26797,23,22,35,48,35,0.0,45,,,,,,,,,,,,,,,,
0,20112012,Des Moines Buccaneers,USHL,9078,1,1,8,4,8,3.0,2,,,,,,,,,,,,,,,,
0,20122013,Univ. of North Dakota,NCAA,11440,8,8,31,39,31,10.0,16,,,,,,,,,,,,,,,,
0,20132014,North Dakota,NCHC,1,13,11,52,42,52,,24,1.0,2.0,0.0,,,,,,,,,,,,,
0,20142015,North Dakota,NCHC,1,18,18,30,42,30,11.0,36,4.0,5.0,3.0,,,,,,,,,,,,,
0,20152016,North Dakota,NCHC,1,26,25,60,39,60,46.0,51,3.0,7.0,2.0,121.0,,,,,,,,,,,,
0,20152016,Univ. of North Dakota,NCAA,11930,26,25,60,39,60,46.0,51,,,,,,,,,,,,,,,,
0,20162017,Edmonton Oilers,National Hockey League,1,11,7,16,60,16,3.0,18,2.0,2.0,0.0,93.0,794:07,97.0,5.0,99:04,654:01,41.2,7.53,0.0,1.0,41:02,19.0,1091.0
0,20172018,Edmonton Oilers,National Hockey League,1,7,13,37,67,37,-13.0,20,3.0,1.0,1.0,104.0,907:52,147.0,3.0,65:20,793:00,20.75,12.5,0.0,1.0,49:32,33.0,1196.0
0,20182019,Edmonton Oilers,National Hockey League,1,4,7,16,29,16,-8.0,11,0.0,2.0,1.0,49.0,407:26,79.0,0.0,21:33,371:47,26.67,14.29,0.0,1.0,14:06,17.0,531.0
0,20182019,Chicago Blackhawks,National Hockey League,2,7,5,12,26,12,3.0,12,0.0,0.0,0.0,47.0,386:08,56.0,0.0,01:51,360:18,42.86,10.64,0.0,0.0,23:59,9.0,511.0
0,20192020,Chicago Blackhawks,National Hockey League,1,6,9,32,40,32,-3.0,15,1.0,0.0,0.0,56.0,472:37,81.0,1.0,06:28,442:04,28.57,16.1,0.0,1.0,24:05,16.0,641.0
0,20202021,Arizona Coyotes,National Hockey League,1,6,1,15,27,15,-1.0,7,0.0,0.0,0.0,31.0,335:46,49.0,0.0,07:54,301:10,33.33,3.2,0.0,0.0,26:42,6.0,494.0
0,20202021,Buffalo Sabres,National Hockey League,2,1,2,4,11,4,-5.0,3,0.0,0.0,0.0,15.0,135:32,15.0,0.0,00:55,126:30,100.0,13.3,0.0,0.0,08:07,3.0,178.0
0,20212022,Buffalo Sabres,National Hockey League,1,3,2,4,18,4,-4.0,5,0.0,1.0,0.0,23.0,263:27,17.0,1.0,02:22,231:52,25.0,8.7,0.0,0.0,29:13,7.0,354.0
