,season,team,league,sequenceNumber,assists,goals,games,points,pim,powerPlayGoals,penaltyMinutes,gameWinningGoals,shortHandedGoals,plusMinus,shots,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Burlington,Minor-ON,1,35,41,58,76,,,,,,,,,,,,,,,,,,,
0,20102011,Burlington,ON-Jr.A,2,2,0,4,2,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,
0,20112012,London,OHL,1,10,12,64,22,34.0,0.0,34,,0.0,17.0,,,,,,,,,,,,,
0,20122013,London,OHL,1,26,23,68,49,77.0,5.0,77,4.0,2.0,10.0,,,,,,,,,,,,,
0,20132014,London,OHL,1,25,27,59,52,81.0,11.0,81,1.0,3.0,31.0,,,,,,,,,,,,,
0,20132014,Canada,WJC-A,2,0,1,7,1,0.0,0.0,0,0.0,0.0,-2.0,6.0,,,,,,,,,,,,
0,20142015,Columbus Blue Jackets,National Hockey League,1,1,0,6,1,2.0,0.0,2,0.0,0.0,-1.0,10.0,80:42,24.0,0.0,00:08,80:34,0.0,0.0,0.0,0.0,00:00,2.0,119.0
0,20142015,Springfield,AHL,2,10,7,52,17,76.0,1.0,76,1.0,1.0,1.0,79.0,,,,,,,8.9,,,,,
0,20152016,Columbus Blue Jackets,National Hockey League,1,3,1,12,4,2.0,0.0,2,0.0,0.0,0.0,11.0,128:23,40.0,0.0,00:15,127:21,0.0,9.09,0.0,0.0,00:47,4.0,177.0
0,20152016,Lake Erie,AHL,2,21,18,58,39,108.0,2.0,108,3.0,2.0,14.0,140.0,,,,,,,12.9,,,,,
0,20152016,Cleveland Monsters,AHL,22447,21,18,58,39,108.0,,108,,,14.0,,,,,,,,,,,,,
0,20162017,Columbus Blue Jackets,National Hockey League,1,12,17,78,29,89.0,0.0,89,3.0,0.0,12.0,119.0,937:33,147.0,0.0,06:06,916:44,27.59,14.29,0.0,0.0,14:43,40.0,1364.0
0,20172018,Columbus Blue Jackets,National Hockey League,1,11,19,63,30,42.0,1.0,42,5.0,0.0,-1.0,188.0,1136:23,109.0,4.0,85:47,988:36,41.94,10.11,2.0,0.0,62:00,24.0,1416.0
0,20172018,Cleveland Monsters,AHL,22447,0,0,1,0,0.0,,0,,,-2.0,,,,,,,,,,,,,
0,20182019,Columbus Blue Jackets,National Hockey League,1,20,27,82,47,60.0,3.0,60,5.0,2.0,25.0,230.0,1395:56,214.0,7.0,112:20,1173:46,31.58,11.74,0.0,3.0,109:50,40.0,1814.0
0,20192020,Columbus Blue Jackets,National Hockey League,1,3,1,26,4,17.0,0.0,17,0.0,0.0,-8.0,63.0,417:32,68.0,0.0,45:14,330:01,36.84,1.6,0.0,0.0,42:17,13.0,540.0
0,20202021,Montréal Canadiens,National Hockey League,1,7,17,52,24,38.0,1.0,38,5.0,1.0,-10.0,125.0,853:45,139.0,2.0,98:34,751:03,58.33,13.6,0.0,1.0,04:08,25.0,1083.0
0,20212022,Montréal Canadiens,National Hockey League,1,13,19,69,32,65.0,2.0,65,1.0,0.0,-25.0,151.0,1188:33,153.0,3.0,146:19,1039:23,47.62,12.6,0.0,0.0,02:51,35.0,1442.0
0,20212022,Canada,WC,17155,7,1,10,8,10.0,,10,,,2.0,,,,,,,,,,,,,
