,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20122013,HC Kometa Brno U16,Czech U16,83447,1.0,0.0,1,,,,,,,,,,,,,,,,,,,
0,20132014,HC Kometa Brno U16,Czech U16,83447,0.921,2.26,35,,,,,,,,,,,,,,,,,,,
0,20142015,HC Kometa Brno U16,Czech U16,83447,0.939,2.04,34,,,,,,,,,,,,,,,,,,,
0,20152016,HC Kometa Brno U20,Czechia U20,35977,0.891,4.38,7,,,,,,,,,,,,,,,,,,,
0,20152016,HC Kometa Brno U18,Czechia U18,42444,0.909,2.82,25,,,,,,,,,,,,,,,,,,,
0,20152016,HC Kometa Brno U16,Czechia U16,84980,0.957,1.61,14,,,,,,,,,,,,,,,,,,,
0,20162017,HC Kometa Brno U20,Czechia U20,35977,0.925,2.53,39,,,,,,,,,,,,,,,,,,,
0,20162017,Czechia U17,WHC-17,61320,0.924,2.15,4,,,,,,,,,,,,,,,,,,,
0,20172018,SK Horacka Slavia Trebic,Czechia2,15160,0.921,2.43,20,,,,,,,,,,,,,,,,,,,
0,20172018,Czechia U18,WJC-18,17013,0.905,3.34,5,,,,,,,,,,,,,,,,,,,
0,20172018,HC Kometa Brno U20,Czechia U20,35977,0.919,3.0,14,,,,,,,,,,,,,,,,,,,
0,20172018,HC Kometa Brno U18,Czechia U18,42444,0.933,2.0,1,,,,,,,,,,,,,,,,,,,
0,20182019,Ilves,Liiga,889,0.922,1.8,10,,,,,,,,,,,,,,,,,,,
0,20182019,KOOVEE,Mestis,7327,0.938,2.0,1,,,,,,,,,,,,,,,,,,,
0,20182019,HC Kometa Brno,Czechia,13876,0.852,3.0,2,,,,,,,,,,,,,,,,,,,
0,20182019,SK Horacka Slavia Trebic,Czechia2,15160,0.915,2.5,24,,,,,,,,,,,,,,,,,,,
0,20182019,Czechia U20,WJC-20,17046,0.957,1.25,4,,,,,,,,,,,,,,,,,,,
0,20192020,Ilves,Liiga,889,0.928,1.78,43,,,,,,,,,,,,,,,,,,,
0,20192020,Czechia U20,WJC-20,17046,0.878,4.03,3,,,,,,,,,,,,,,,,,,,
0,20202021,Ilves,Liiga,889,0.941,1.64,11,,,,,,,,,,,,,,,,,,,
0,20202021,San Diego Gulls,AHL,85177,0.916,2.87,24,,,,,,,,,,,,,,,,,,,
0,20212022,Anaheim Ducks,National Hockey League,1,0.907,2.97841,4,201:27,0.0,0.0,0.0,1.0,2.0,98.0,10.0,3.0,85.0,3.0,92.0,13.0,3.0,108.0,10.0,76.92307692307693,100.0,92.3913043478261
0,20212022,Czechia,WC,17015,0.944,1.0,1,,,,,,,,,,,,,,,,,,,
0,20212022,San Diego Gulls,AHL,85177,0.916,2.6,40,,,,,,,,,,,,,,,,,,,
