,season,team,league,sequenceNumber,assists,goals,games,points,pim,penaltyMinutes,plusMinus
0,20152016,Mississauga Rebels U15 AAA,GTHL U15,138998,22,27,33,49,,,
0,20162017,Frölunda HC U16,U16 SM,44007,4,1,8,5,6.0,6,
0,20162017,Frölunda HC U16,U16 Region,44352,12,16,25,28,18.0,18,
0,20172018,Karlskrona HK J18,J18 Region,26088,12,16,27,28,6.0,6,10.0
0,20172018,Karlskrona HK J20,J20 Nationell,26099,8,9,25,17,6.0,6,-10.0
0,20182019,Karlskrona HK,HockeyAllsvenskan,6320,2,1,10,3,0.0,0,0.0
0,20182019,Karlskrona HK J18,J18 Div.1,25240,1,1,2,2,0.0,0,
0,20182019,Karlskrona HK J20,J20 Nationell,26099,13,7,37,20,12.0,12,7.0
0,20192020,Växjö Lakers HC,SHL,4189,0,0,1,0,0.0,0,0.0
0,20192020,Växjö Lakers HC J20,J20 Nationell,14929,29,22,44,51,30.0,30,4.0
0,20202021,Kristianstads IK,HockeyAllsvenskan,4560,3,0,22,3,0.0,0,-2.0
0,20202021,Karlskrona HK,HockeyEttan,6321,2,4,13,6,4.0,4,0.0
0,20212022,Kingston Frontenacs,OHL,9408,79,34,68,113,14.0,14,29.0
