,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,South Shore,EJHL,1,14,20,72,38,72,0.0,34,,,,,,,,,,,,,,,,
0,20092010,South Shore,EJHL,1,49,34,70,44,70,0.0,83,,,,,,,,,,,,,,,,
0,20102011,Colgate,ECAC,1,10,9,26,41,26,,19,2.0,1.0,0.0,,,,,,,,,,,,,
0,20112012,Colgate,ECAC,1,34,17,69,38,69,,51,4.0,3.0,2.0,,,,,,,,,,,,,
0,20122013,Norfolk,AHL,1,13,8,65,70,65,,21,0.0,3.0,1.0,126.0,6.35,5.0,,,,,,,,,,
0,20132014,Norfolk,AHL,1,14,14,68,76,68,,28,1.0,3.0,1.0,159.0,8.8,-6.0,,,,,,,,,,
0,20142015,Anaheim Ducks,National Hockey League,1,0,0,2,9,2,60.0,0,0.0,0.0,0.0,7.0,0.0,-2.0,79:06,22.0,0.0,00:00,74:53,0.0,0.0,04:13,3.0,117.0
0,20142015,Norfolk,AHL,2,13,15,65,48,65,,28,2.0,3.0,2.0,118.0,12.7,-7.0,,,,,,,,,,
0,20152016,Anaheim Ducks,National Hockey League,1,0,0,17,11,17,53.42,0,0.0,0.0,0.0,17.0,0.0,-2.0,107:29,32.0,0.0,01:49,91:55,0.0,0.0,13:45,8.0,163.0
0,20152016,Colorado Avalanche,National Hockey League,2,0,4,9,26,9,54.59,4,0.0,1.0,0.0,27.0,14.81,-2.0,214:05,43.0,0.0,00:07,213:06,0.0,0.0,00:52,17.0,304.0
0,20152016,Anaheim Ducks,National Hockey League,3,2,0,2,6,2,50.0,2,0.0,0.0,0.0,11.0,0.0,2.0,72:06,20.0,0.0,00:08,63:31,0.0,0.0,08:27,2.0,109.0
0,20152016,San Diego,AHL,4,4,6,22,15,22,,10,1.0,2.0,0.0,30.0,20.0,1.0,,,,,,,,,,
0,20152016,San Diego Gulls,AHL,85177,4,6,22,15,22,,10,,,,,,1.0,,,,,,,,,,
0,20162017,Anaheim Ducks,National Hockey League,1,1,6,6,43,6,41.89,7,0.0,0.0,0.0,40.0,15.0,2.0,402:22,112.0,0.0,02:59,339:13,0.0,0.0,60:10,24.0,619.0
0,20162017,San Diego Gulls,AHL,85177,7,12,18,30,18,,19,,,,,,10.0,,,,,,,,,,
0,20172018,Anaheim Ducks,National Hockey League,1,9,6,35,64,35,48.13,15,1.0,0.0,2.0,78.0,7.69,-7.0,860:56,212.0,3.0,28:34,677:00,0.0,2.0,155:22,34.0,1222.0
0,20172018,New York Islanders,National Hockey League,2,0,1,2,15,2,52.08,1,0.0,0.0,0.0,15.0,6.67,-3.0,188:02,41.0,0.0,00:43,165:01,0.0,0.0,22:18,15.0,222.0
0,20182019,Boston Bruins,National Hockey League,1,7,12,51,76,51,45.0,19,0.0,1.0,0.0,135.0,8.89,3.0,1022:24,247.0,0.0,03:44,908:36,0.0,0.0,110:04,38.0,1373.0
0,20192020,Boston Bruins,National Hockey League,1,4,6,47,67,47,46.18,10,0.0,0.0,1.0,78.0,7.7,-8.0,833:35,192.0,0.0,04:34,730:31,0.0,1.0,98:30,31.0,1183.0
0,20202021,Boston Bruins,National Hockey League,1,3,2,24,41,24,51.9,5,0.0,0.0,1.0,57.0,3.5,-9.0,479:10,75.0,0.0,01:35,414:22,0.0,1.0,63:13,21.0,683.0
0,20212022,Boston Bruins,National Hockey League,1,0,0,0,1,0,0.0,0,0.0,0.0,0.0,2.0,0.0,-1.0,15:57,11.0,0.0,00:00,13:50,0.0,0.0,02:07,0.0,21.0
0,20212022,Providence Bruins,AHL,897,12,15,39,62,39,,27,,,,,,-5.0,,,,,,,,,,
