,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,faceOffPct,powerPlayGoals,shortHandedGoals,gameWinningGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,South Delta Bantam A1-T1,PCBHL,139984,36,44,66,52,66,0.0,80,,,,,,,,,,,,,,,,
0,20062007,South Delta Bantam A1-T1,PCBHL,139984,61,56,100,68,100,0.0,117,,,,,,,,,,,,,,,,
0,20072008,Greater Van.,BCMML,1,33,23,66,39,66,,56,0.0,,,,,,,,,,,,,,,
0,20082009,Vancouver,WHL,1,21,10,61,52,61,26.0,31,,1.0,1.0,,,,,,,,,,,,,
0,20092010,Vancouver,WHL,1,40,41,111,72,111,9.0,81,,14.0,1.0,,,,,,,,,,,,,
0,20102011,Vancouver,WHL,1,47,44,108,66,108,30.0,91,,10.0,2.0,,,,,,,,,,,,,
0,20112012,Vancouver,WHL,1,36,41,79,54,79,19.0,77,,14.0,0.0,,,,,,,,,,,,,
0,20112012,Canada,WJC-A,2,3,3,12,6,12,5.0,6,,0.0,1.0,1.0,,,,,,,,,,,,
0,20122013,Montréal Canadiens,National Hockey League,1,13,15,33,44,33,10.0,28,32.0,3.0,0.0,3.0,609:58,117.0,44.0,4.0,103:34,505:45,12.82,0.0,0.0,00:39,33.0,855.0
0,20122013,Hamilton,AHL,2,10,10,61,36,61,0.0,20,,4.0,0.0,0.0,,117.0,,,,,8.55,,,,,
0,20132014,Montréal Canadiens,National Hockey League,1,22,19,73,81,73,4.0,41,36.72,8.0,0.0,0.0,1293:07,211.0,38.0,9.0,197:33,1089:04,9.0,0.0,0.0,06:30,36.0,1744.0
0,20142015,Montréal Canadiens,National Hockey League,1,23,24,31,82,31,18.0,47,43.43,3.0,0.0,6.0,1360:12,254.0,48.0,8.0,200:20,1157:19,9.45,0.0,0.0,02:33,49.0,1900.0
0,20152016,Montréal Canadiens,National Hockey League,1,21,19,24,53,24,13.0,40,41.38,7.0,0.0,0.0,878:32,173.0,43.0,10.0,155:53,721:55,10.98,0.0,0.0,00:44,25.0,1241.0
0,20152016,Canada,WC-A,2,3,2,12,10,12,5.0,5,,0.0,0.0,1.0,,20.0,,,,,,,,,,
0,20152016,Canada,WC,17155,3,2,12,10,12,5.0,5,,,,,,,,,,,,,,,,
0,20162017,Montréal Canadiens,National Hockey League,1,19,10,39,64,39,7.0,29,40.54,1.0,0.0,2.0,966:05,187.0,69.0,3.0,131:17,832:33,5.35,0.0,0.0,02:15,15.0,1353.0
0,20172018,Montréal Canadiens,National Hockey League,1,23,31,34,82,34,-13.0,54,46.7,8.0,1.0,4.0,1324:54,278.0,90.0,17.0,200:40,1103:59,11.15,0.0,1.0,20:15,41.0,1730.0
0,20182019,Montréal Canadiens,National Hockey League,1,19,33,49,82,49,10.0,52,45.1,4.0,0.0,4.0,1344:33,302.0,126.0,7.0,201:31,1140:32,10.93,0.0,0.0,02:30,31.0,1775.0
0,20192020,Montréal Canadiens,National Hockey League,1,21,22,29,59,29,9.0,43,41.38,1.0,0.0,1.0,997:43,226.0,53.0,5.0,121:06,875:09,9.7,0.0,0.0,01:28,29.0,1315.0
0,20202021,Montréal Canadiens,National Hockey League,1,9,14,16,35,16,10.0,23,54.76,3.0,0.0,2.0,525:20,106.0,46.0,3.0,68:12,456:29,13.2,0.0,0.0,00:39,12.0,717.0
0,20202021,Laval Rocket,AHL,222817,0,0,4,1,4,-1.0,0,,,,,,,,,,,,,,,,
0,20212022,Montréal Canadiens,National Hockey League,1,17,7,69,56,69,-7.0,24,37.14,5.0,0.0,0.0,841:02,142.0,54.0,7.0,133:09,705:41,4.9,0.0,0.0,02:12,29.0,1137.0
