,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Cgy. Bisons,AMBHL,1,12,21,26,33,26,33,,,,,,,,,,,,,,,,,
0,20102011,Cgy. Bisons,AMBHL,1,60,42,12,33,12,102,,,,,,,,,,,,,,,,,
0,20112012,Cgy. Buffaloes,AMHL,1,22,19,22,32,22,41,,,,,,,,,,,,,,,,,
0,20112012,Canmore,AJHL,2,1,2,0,4,0,3,,,,,,,,,,,,,,,,,
0,20112012,Moose Jaw,WHL,3,0,1,0,5,0,1,0.0,0.0,0.0,2.0,,,,,,,,,,,,,
0,20122013,Moose Jaw,WHL,1,33,24,26,67,26,57,9.0,1.0,0.0,-15.0,,,,,,,,,,,,,
0,20132014,Moose Jaw,WHL,1,55,36,53,72,53,91,17.0,1.0,1.0,-27.0,,,,,,,,,,,,,
0,20132014,Canada,WJ18-A,2,2,0,2,4,2,2,0.0,0.0,0.0,1.0,5.0,,,,,,,,,,,,
0,20142015,Moose Jaw,WHL,1,49,38,46,60,46,87,14.0,6.0,0.0,6.0,,,,,,,,,,,,,
0,20142015,Syracuse,AHL,2,2,2,2,9,2,4,1.0,0.0,0.0,-2.0,16.0,12.5,,,,,,,,,,,
0,20142015,Canada,WJC-A,3,2,2,4,7,4,4,0.0,0.0,0.0,6.0,6.0,,,,,,,,,,,,
0,20152016,Moose Jaw,WHL,1,53,35,36,48,36,88,7.0,,0.0,24.0,,,,,,,,,,,,,
0,20152016,Canada,WJC-A,2,4,1,0,5,0,5,0.0,1.0,0.0,0.0,15.0,,,,,,,,,,,,
0,20152016,Moose Jaw Warriors,WHL,7741,53,35,36,48,36,88,,,,24.0,,,,,,,,,,,,,
0,20152016,Canada U20,WJC-20,17216,4,1,0,5,0,5,,,,0.0,,,,,,,,,,,,,
0,20162017,Tampa Bay Lightning,National Hockey League,1,22,18,14,68,14,40,5.0,2.0,0.0,4.0,122.0,14.75,1164:58,39.0,12.0,171:13,975:01,44.74,0.0,0.0,18:44,31.0,1417.0
0,20162017,Canada,WC,17155,1,4,0,10,0,5,,,,7.0,,,,,,,,,,,,,
0,20172018,Tampa Bay Lightning,National Hockey League,1,34,32,24,82,24,66,5.0,12.0,3.0,18.0,217.0,14.75,1608:49,26.0,11.0,188:56,1255:13,47.44,4.0,5.0,164:40,57.0,2022.0
0,20182019,Tampa Bay Lightning,National Hockey League,1,51,41,28,79,28,92,20.0,7.0,0.0,27.0,191.0,21.47,1494:36,31.0,35.0,265:58,1221:50,50.82,2.0,0.0,06:48,43.0,1675.0
0,20192020,Tampa Bay Lightning,National Hockey League,1,39,25,11,66,11,64,8.0,4.0,0.0,28.0,141.0,17.7,1247:31,24.0,13.0,216:19,1027:30,51.09,0.0,0.0,03:42,30.0,1483.0
0,20202021,Tampa Bay Lightning,National Hockey League,1,25,23,11,56,11,48,6.0,6.0,0.0,2.0,131.0,17.6,1032:25,23.0,15.0,190:30,841:09,49.42,1.0,0.0,00:46,18.0,1181.0
0,20212022,Tampa Bay Lightning,National Hockey League,1,30,28,33,66,33,58,10.0,4.0,0.0,-5.0,176.0,15.9,1284:29,75.0,22.0,237:46,1044:40,51.05,2.0,0.0,02:03,27.0,1446.0
