,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Novokuznetsk,Russia,1,0,0,0,6,0,0.0,0,,,,,,,,,,,,,,,,
0,20072008,Russia,WJ18-A,2,1,0,0,6,0,0.0,1,,,,,,,,,,,,,,,,
0,20082009,Novokuznetsk,Rus-KHL,2,0,1,4,16,4,0.0,1,,,,,,,,,,,,,,,,
0,20082009,Russia,WJ18-A,3,2,2,6,7,6,0.0,4,,,,,,,,,,,,,,,,
0,20092010,Novokuznetsk,Rus-KHL,1,3,4,49,41,49,,7,,,,,,,,,,,,,,,,
0,20092010,Novokuznetsk Jr.,Russia-Jr.,2,6,7,6,7,6,0.0,13,,,,,,,,,,,,,,,,
0,20092010,Russia,WJC-A,3,4,0,4,6,4,0.0,4,,,,,,,,,,,,,,,,
0,20102011,Novokuznetsk,Rus-KHL,1,11,2,43,45,43,,13,,,,,,,,,,,,,,,,
0,20102011,Novokuznetsk Jr.,Russia-Jr.,2,0,0,0,1,0,,0,,,,,,,,,,,,,,,,
0,20102011,Russia,WJC-A,3,8,1,6,7,6,,9,1.0,0.0,0.0,10.0,,,,,,,,,,,,
0,20102011,Hershey,AHL,4,7,2,12,19,12,,9,,,,,,,,,,,,,,,,
0,20112012,Washington Capitals,National Hockey League,1,16,3,18,60,18,0.0,19,0.0,1.0,0.0,1.0,1012:29,51.0,99.0,2.0,44:30,934:39,5.88,0.0,0.0,33:20,54.0,1234.0
0,20112012,Hershey,AHL,2,5,4,12,15,12,,9,0.0,1.0,0.0,0.0,,21.0,,,,,19.05,,,,,
0,20122013,Washington Capitals,National Hockey League,1,1,0,0,5,0,0.0,1,0.0,0.0,0.0,5.0,74:43,1.0,2.0,0.0,04:06,69:30,0.0,0.0,0.0,01:07,4.0,81.0
0,20122013,Hershey,AHL,2,14,3,20,31,20,,17,2.0,0.0,0.0,-2.0,,52.0,,,,,5.77,,,,,
0,20132014,Washington Capitals,National Hockey League,1,8,3,19,54,19,0.0,11,0.0,0.0,0.0,-1.0,1058:17,59.0,75.0,1.0,12:27,1025:56,5.08,0.0,0.0,19:54,62.0,1194.0
0,20132014,Hershey,AHL,2,6,3,4,11,4,,9,1.0,0.0,0.0,1.0,,15.0,,,,,20.0,,,,,
0,20132014,Russia,WC-A,3,1,0,2,3,2,,1,0.0,0.0,0.0,3.0,,1.0,,,,,,,,,,
0,20142015,Hershey,AHL,1,3,0,4,3,4,,3,0.0,0.0,0.0,-3.0,,6.0,,,,,0.0,,,,,
0,20152016,Washington Capitals,National Hockey League,1,21,8,26,82,26,0.0,29,0.0,3.0,0.0,8.0,1314:10,90.0,121.0,2.0,42:35,1260:14,8.89,0.0,0.0,11:21,61.0,1700.0
0,20152016,Russia,WC-A,2,3,0,2,6,2,,3,0.0,0.0,0.0,3.0,,7.0,,,,,,,,,,
0,20152016,Russia,WC,17485,3,0,2,6,2,,3,,,,3.0,,,,,,,,,,,,
0,20162017,Washington Capitals,National Hockey League,1,27,6,51,82,51,0.0,33,1.0,0.0,0.0,30.0,1601:47,125.0,122.0,6.0,93:25,1488:34,4.8,0.0,0.0,19:48,94.0,1917.0
0,20162017,Russia,WC,17485,0,1,0,5,0,,1,,,,4.0,,,,,,,,,,,,
0,20162017,Russia,WCup,17546,0,0,4,4,4,,0,,,,3.0,,,,,,,,,,,,
0,20172018,Washington Capitals,National Hockey League,1,21,10,22,82,22,0.0,31,0.0,2.0,0.0,10.0,1896:34,125.0,128.0,4.0,95:10,1639:04,8.0,0.0,0.0,162:20,116.0,2093.0
0,20182019,Washington Capitals,National Hockey League,1,26,3,33,82,33,0.0,29,0.0,0.0,0.0,3.0,1774:11,101.0,137.0,1.0,66:42,1594:58,2.97,0.0,0.0,112:31,103.0,1914.0
0,20182019,Russia,WC,17485,4,2,2,10,2,,6,,,,8.0,,,,,,,,,,,,
0,20182019,Russia,EHT,64546,0,1,0,2,0,,1,,,,2.0,,,,,,,,,,,,
0,20192020,Washington Capitals,National Hockey League,1,23,4,36,69,36,0.0,27,1.0,2.0,0.0,5.0,1530:02,105.0,106.0,5.0,97:18,1371:12,3.8,1.0,1.0,61:32,82.0,1659.0
0,20202021,Washington Capitals,National Hockey League,1,14,8,20,51,20,0.0,22,0.0,2.0,0.0,16.0,1010:30,83.0,87.0,2.0,35:57,943:33,9.6,1.0,0.0,31:00,50.0,1207.0
0,20202021,Russia,WC,17485,2,0,0,3,0,,2,,,,5.0,,,,,,,,,,,,
0,20212022,Washington Capitals,National Hockey League,1,23,12,44,76,44,0.0,35,2.0,4.0,0.0,25.0,1593:10,127.0,124.0,4.0,74:06,1462:19,9.4,1.0,0.0,56:45,94.0,1907.0
