,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20122013,Toronto Bulldogs,Brick Invitational,128766,2,0,0,6,0,2,
0,20142015,Team Ontario Selects U12,WSI U12,206746,9,11,6,9,6,20,
0,20152016,East Coast Selects O U13,WSI U13,206547,6,8,0,7,0,14,
0,20172018,East Coast Selects O U15,WSI U15,206220,4,4,2,9,2,8,
0,20182019,Don Mills Flyers U16 AAA,U16 AAA,93343,64,34,82,72,82,98,
0,20182019,Don Mills Flyers U16 AAA,GTHL U16,93540,27,19,40,33,40,46,
0,20182019,Team GTHL Blue,OGC-16,154307,4,1,4,4,4,5,
0,20192020,Kingston Frontenacs,OHL,9408,13,7,14,60,14,20,-24.0
0,20202021,Steel Wings Linz,AlpsHL,13916,6,9,10,18,10,15,-13.0
0,20212022,Kingston Frontenacs,OHL,9408,40,34,35,66,35,74,15.0
