,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals
0,20112012,Cape Breton Tradesmen,NSMMHL,71912,12,5,24,35,24,0.0,17,,,,
0,20122013,Cape Breton Tradesmen,NSMMHL,71912,21,4,30,35,30,0.0,25,,,,
0,20132014,Summerside,MJrHL,1,24,9,46,47,46,,33,,,,
0,20132014,Halifax,QMJHL,2,0,1,0,3,0,1.0,1,1.0,0.0,1.0,0.0
0,20142015,Halifax,QMJHL,1,27,4,17,40,17,4.0,31,72.0,3.0,0.0,0.0
0,20152016,Halifax,QMJHL,1,16,10,25,32,25,-10.0,26,,6.0,2.0,1.0
0,20152016,Shawinigan,QMJHL,2,14,5,21,28,21,25.0,19,,1.0,0.0,0.0
0,20152016,Halifax Mooseheads,QMJHL,9610,16,10,25,32,25,-10.0,26,,,,
0,20152016,Shawinigan Cataractes,QMJHL,9670,14,5,21,28,21,25.0,19,,,,
0,20162017,Shawinigan Cataractes,QMJHL,9670,25,15,20,47,20,23.0,40,,,,
0,20172018,San Jose Barracuda,AHL,187427,9,4,32,46,32,-13.0,13,,,,
0,20182019,San Jose Barracuda,AHL,187427,13,7,42,66,42,4.0,20,,,,
0,20192020,Charlotte Checkers,AHL,2357,3,2,11,25,11,7.0,5,,,,
0,20202021,Chicago Wolves,AHL,957,8,3,11,30,11,19.0,11,,,,
0,20212022,Chicago Wolves,AHL,957,7,3,14,53,14,21.0,10,,,,
