,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20132014,Waterloo Wolves Minor Midget AAA,AHMMPL,70988,1,0,2,5,2,0.0,1
0,20142015,Waterloo Wolves Minor Midget AAA,Midget,70721,43,31,24,51,24,26.0,74
0,20152016,Guelph Storm,OHL,6238,3,1,0,6,0,2.0,4
0,20152016,Kitchener-Waterloo Siskins,GOJHL,55602,28,26,40,45,40,,54
0,20152016,Team Green,U17-Dev,178259,0,2,0,3,0,,2
0,20162017,Guelph Storm,OHL,6238,18,18,27,54,27,-19.0,36
0,20162017,Canada U18,WJC-18,17193,1,0,0,5,0,0.0,1
0,20172018,Guelph Storm,OHL,6238,23,16,34,57,34,-16.0,39
0,20182019,Guelph Storm,M-Cup,6021,2,0,2,4,2,0.0,2
0,20182019,Guelph Storm,OHL,6238,68,34,58,65,58,43.0,102
0,20192020,Tucson Roadrunners,AHL,218897,8,1,23,22,23,10.0,9
0,20192020,Binghamton Devils,AHL,233827,6,2,8,21,8,-1.0,8
0,20202021,Binghamton Devils,AHL,233827,9,6,12,33,12,-3.0,15
0,20212022,Utica Comets,AHL,152247,13,13,26,43,26,12.0,26
0,20212022,Laval Rocket,AHL,222817,6,4,10,20,10,9.0,10
