,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Soo Greyhounds Minor Bantam AAA,NOMBHL,155289,20,17,2,17,2,37,,,,,,,,,,,,,,,,,
0,20102011,Soo Greyhounds,Minor-ON,1,74,60,16,39,16,134,,,,,,,,,,,,,,,,,
0,20112012,Soo North Stars,Minor-ON,1,30,32,12,29,12,62,,,,,,,,,,,,,,,,,
0,20122013,Brampton,OHL,1,13,6,8,63,8,19,2.0,2.0,0.0,-3.0,,,,,,,,,,,,,
0,20132014,North Bay,OHL,1,26,12,14,64,14,38,3.0,0.0,0.0,15.0,,,,,,,,,,,,,
0,20142015,North Bay,OHL,1,47,24,18,68,18,71,8.0,3.0,3.0,30.0,,,,,,,,,,,,,
0,20152016,North Bay,OHL,1,48,50,40,68,40,98,,,,30.0,,,,,,,,,,,,,
0,20152016,North Bay Battalion,OHL,149108,48,50,40,68,40,98,,,,30.0,,,,,,,,,,,,,
0,20162017,Ontario Reign,AHL,26957,25,16,4,68,4,41,,,,5.0,,,,,,,,,,,,,
0,20172018,Los Angeles Kings,National Hockey League,1,4,4,8,37,8,8,1.0,0.0,0.0,-2.0,344:31,28.0,18.0,3.0,29:46,313:59,43.53,14.29,0.0,0.0,00:46,9.0,487.0
0,20172018,Ontario Reign,AHL,26957,24,11,12,32,12,35,,,,15.0,,,,,,,,,,,,,
0,20182019,Los Angeles Kings,National Hockey League,1,7,6,6,43,6,13,0.0,0.0,0.0,-1.0,438:52,37.0,16.0,0.0,27:44,410:59,43.05,16.22,0.0,0.0,00:09,13.0,606.0
0,20182019,Ontario Reign,AHL,26957,18,8,12,28,12,26,,,,6.0,,,,,,,,,,,,,
0,20192020,Los Angeles Kings,National Hockey League,1,10,6,10,68,10,16,0.0,0.0,0.0,-11.0,885:24,99.0,21.0,3.0,97:05,778:06,48.33,6.1,0.0,0.0,10:13,22.0,1190.0
0,20202021,Los Angeles Kings,National Hockey League,1,2,0,2,20,2,2,0.0,0.0,0.0,-5.0,248:48,19.0,2.0,1.0,31:11,215:10,51.02,0.0,0.0,0.0,02:27,15.0,339.0
0,20202021,Ottawa Senators,National Hockey League,2,1,0,2,5,2,1,0.0,0.0,0.0,2.0,64:57,5.0,6.0,0.0,02:38,62:19,46.34,0.0,0.0,0.0,00:00,1.0,80.0
0,20202021,Ontario Reign,AHL,26957,2,0,0,2,0,2,,,,0.0,,,,,,,,,,,,,
0,20212022,Toronto Maple Leafs,National Hockey League,1,0,0,0,3,0,0,0.0,0.0,0.0,1.0,27:29,2.0,3.0,0.0,00:00,27:12,0.0,0.0,0.0,0.0,00:17,0.0,38.0
0,20212022,Vegas Golden Knights,National Hockey League,2,7,11,15,53,15,18,0.0,2.0,0.0,0.0,653:28,62.0,39.0,0.0,02:54,640:43,42.86,17.7,0.0,0.0,09:51,16.0,848.0
