,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20152016,CNHA Blazers U15 AA,HCAA U15,129301,9,10,14,29,14,19,
0,20162017,Okanagan HA U15 Prep,CSSHL U15,135473,6,1,8,30,8,7,
0,20172018,Okanagan HA White U18 Prep,CSSHL U18,47046,0,0,2,3,2,0,
0,20172018,Okanagan HA U16 Prep,CSSHL U16,166054,7,6,43,35,43,13,
0,20182019,Spruce Grove Saints,AJHL,20762,8,4,32,43,32,12,
0,20192020,Seattle Thunderbirds,WHL,9651,19,12,53,47,53,31,-1.0
0,20202021,Seattle Thunderbirds,WHL,9651,4,1,12,8,12,5,0.0
0,20202021,Spruce Grove Saints,AJHL,20762,0,0,2,2,2,0,
0,20212022,Seattle Thunderbirds,WHL,9651,6,17,93,56,93,23,-7.0
