,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20042005,Winnipeg Sharks Bantam AAA,WBAAA,129129,11,6,42.0,30.0,42,0.0,17,,,,,,,,,,,,,,,,
0,20052006,Winnipeg Wild Midget AAA,MMHL,19813,11,10,84.0,33.0,84,0.0,21,,,,,,,,,,,,,,,,
0,20062007,Wpg. Saints,MJHL,1,13,2,,,,,15,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20062007,Moose Jaw,WHL,2,3,0,30.0,22.0,30,-2.0,3,,,,0.0,,,0.0,0.0,0.0,,,,,,,
0,20072008,Moose Jaw,WHL,1,17,5,101.0,61.0,101,5.0,22,,,,,,,2.0,,0.0,,,,,,,
0,20072008,Canada,WJ18-A,2,2,1,6.0,7.0,6,2.0,3,,,,,,,0.0,0.0,0.0,,,,,,,
0,20082009,Moose Jaw,WHL,1,27,13,126.0,57.0,126,-31.0,40,,,,,,,8.0,,0.0,,,,,,,
0,20092010,Moose Jaw,WHL,1,29,10,48.0,31.0,48,6.0,39,,,,,,,7.0,,0.0,,,,,,,
0,20092010,Brandon,WHL,2,4,1,17.0,10.0,17,6.0,5,,,,,,,0.0,,0.0,,,,,,,
0,20092010,Canada,WJC-A,3,2,1,0.0,6.0,0,,3,,,,0.0,,,,,,,,,,,,
0,20102011,New York Islanders,National Hockey League,1,21,5,103.0,62.0,103,4.0,26,1337:30,123:58,1079:01,0.0,134:31,1633.0,1.0,0.0,0.0,118.0,118.0,4.0,4.24,0.0,1.0,118.0
0,20102011,Bridgeport,AHL,2,5,2,45.0,19.0,45,-6.0,7,,,,,,,1.0,1.0,0.0,42.0,,,4.76,,,
0,20112012,New York Islanders,National Hockey League,1,22,2,73.0,73.0,73,6.0,24,1637:11,77:09,1392:44,0.0,167:18,1908.0,1.0,0.0,0.0,124.0,170.0,6.0,1.61,0.0,0.0,157.0
0,20122013,New York Islanders,National Hockey League,1,7,3,28.0,48.0,28,-8.0,10,1094:35,59:50,903:23,0.0,131:22,1305.0,1.0,1.0,0.0,83.0,59.0,3.0,3.61,0.0,1.0,109.0
0,20122013,Bridgeport,AHL,2,6,4,37.0,21.0,37,-2.0,10,,,,,,,1.0,2.0,0.0,50.0,,,8.0,,,
0,20132014,New York Islanders,National Hockey League,1,15,3,68.0,69.0,68,2.0,18,1726:08,89:33,1425:28,0.0,211:07,1987.0,2.0,0.0,0.0,134.0,93.0,3.0,2.24,0.0,0.0,132.0
0,20142015,New York Islanders,National Hockey League,1,28,5,85.0,71.0,85,15.0,33,1547:07,84:36,1329:02,0.0,133:29,1787.0,1.0,0.0,0.0,132.0,213.0,8.0,3.79,0.0,0.0,131.0
0,20152016,New York Islanders,National Hockey League,1,16,5,35.0,72.0,35,-5.0,21,1715:18,59:48,1491:46,0.0,163:44,1808.0,0.0,1.0,1.0,147.0,148.0,0.0,3.4,0.0,1.0,128.0
0,20162017,New York Islanders,National Hockey League,1,11,3,60.0,49.0,60,-21.0,14,1002:19,27:22,861:46,0.0,113:11,1113.0,0.0,0.0,0.0,74.0,58.0,1.0,4.05,0.0,0.0,108.0
0,20172018,Calgary Flames,National Hockey League,1,10,1,79.0,74.0,79,-9.0,11,1531:40,06:25,1316:41,0.0,208:34,1789.0,0.0,0.0,0.0,107.0,83.0,0.0,0.93,0.0,0.0,124.0
0,20182019,Calgary Flames,National Hockey League,1,12,7,33.0,69.0,33,21.0,19,1439:44,12:59,1229:46,0.0,196:59,1758.0,0.0,1.0,1.0,128.0,44.0,0.0,5.47,0.0,3.0,167.0
0,20192020,Calgary Flames,National Hockey League,1,9,3,27.0,50.0,27,-3.0,12,1059:44,03:46,900:20,0.0,155:38,1300.0,0.0,0.0,0.0,83.0,39.0,0.0,3.6,0.0,0.0,110.0
0,20202021,Vancouver Canucks,National Hockey League,1,7,3,39.0,38.0,39,-3.0,10,735:57,00:23,660:24,0.0,75:10,868.0,0.0,0.0,0.0,79.0,48.0,0.0,3.8,0.0,0.0,81.0
0,20212022,Vancouver Canucks,National Hockey League,1,4,3,6.0,24.0,6,1.0,7,440:56,00:54,392:05,0.0,47:57,542.0,0.0,0.0,0.0,51.0,30.0,0.0,5.9,0.0,0.0,55.0
0,20212022,Ottawa Senators,National Hockey League,2,2,1,8.0,19.0,8,5.0,3,369:26,01:23,334:15,0.0,33:48,460.0,0.0,0.0,0.0,31.0,43.0,0.0,3.2,0.0,0.0,38.0
0,20212022,Abbotsford Canucks,AHL,33767,1,0,4.0,2.0,4,-2.0,1,,,,,,,,,,,,,,,,
