,season,team,league,sequenceNumber,timeOnIce,shutouts,ties,wins,losses,goalAgainstAverage,games,goalsAgainst,savePercentage
0,20142015,Cherepovets Jr.,Russia-Jr.,1,545:00,0.0,0.0,3.0,5.0,3.3,13,30.0,
0,20142015,Severstal Cherepovets U17,Russia U17,49538,,,,,,2.21,11,,0.942
0,20142015,Almaz Cherepovets,MHL,49772,,,,,,3.3,13,,0.869
0,20152016,Russia U18,Russia-Jr.,1,1188:00,4.0,0.0,12.0,6.0,2.07,22,41.0,
0,20152016,Team Russia U18,MHL,59152,,,,,,2.07,22,,0.928
0,20162017,Sioux Falls Stampede,USHL,9966,,,,,,2.73,31,,0.925
0,20172018,Sioux Falls Stampede,USHL,9966,,,,,,2.66,45,,0.921
0,20182019,Manitoba Moose,AHL,877,,,,,,2.34,23,,0.927
0,20182019,Jacksonville Icemen,ECHL,41615,,,,,,2.66,28,,0.912
0,20192020,Manitoba Moose,AHL,877,,,,,,2.89,42,,0.91
0,20202021,Manitoba Moose,AHL,877,,,,,,2.89,30,,0.897
0,20202021,SKA St. Petersburg,KHL,2434,,,,,,2.51,14,,0.912
0,20212022,Manitoba Moose,AHL,877,,,,,,2.4,32,,0.902
