,season,team,league,sequenceNumber,timeOnIce,shutouts,ties,wins,losses,goalAgainstAverage,games,goalsAgainst,saves,savePercentage,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20072008,Lac St-Louis,QAAA,1,1732:00,2.0,0.0,22.0,9.0,3.12,35,90.0,,,,,,,,,,,,,,
0,20082009,Moncton,QMJHL,1,621:00,0.0,,5.0,5.0,2.51,12,26.0,317.0,0.924,343.0,,,,,,,,,,,
0,20092010,Moncton,QMJHL,1,1195:00,1.0,,11.0,9.0,2.81,22,56.0,,0.902,572.0,,,,,,,,,,,
0,20092010,Quebec,QMJHL,2,1016:00,2.0,,9.0,8.0,2.54,19,43.0,,0.91,476.0,,,,,,,,,,,
0,20102011,Quebec,QMJHL,1,3033:00,2.0,3.0,37.0,12.0,2.65,57,134.0,1177.0,0.898,1311.0,,,,,,,,,,,
0,20112012,Quebec,QMJHL,1,2162:00,4.0,4.0,23.0,8.0,2.61,39,94.0,1003.0,0.914,1097.0,,,,,,,,,,,
0,20122013,Gwinnett,ECHL,1,2051:00,3.0,2.0,23.0,9.0,2.69,34,92.0,865.0,0.904,957.0,,,,,,,,,,,
0,20122013,Portland,AHL,2,100:00,0.0,0.0,1.0,0.0,2.4,2,4.0,54.0,0.931,58.0,,,,,,,,,,,
0,20132014,Portland,AHL,1,1783:00,1.0,2.0,9.0,18.0,3.63,36,108.0,877.0,0.89,985.0,,,,,,,,,,,
0,20132014,Gwinnett,ECHL,2,388:00,1.0,2.0,1.0,3.0,2.01,7,13.0,200.0,0.939,213.0,,,,,,,,,,,
0,20142015,Arizona Coyotes,National Hockey League,1,307:45,0.0,,1.0,2.0,2.729488,7,14.0,144.0,0.911392,158.0,1.0,22.0,2.0,120.0,2.0,133.0,23.0,4.0,95.65217391304348,100.0,90.22556390977444
0,20142015,Portland,AHL,2,1121:00,0.0,2.0,11.0,6.0,2.68,20,50.0,493.0,0.908,543.0,,,,,,,,,,,
0,20142015,Gwinnett,ECHL,3,119:00,1.0,0.0,1.0,1.0,1.01,2,2.0,46.0,0.958,48.0,,,,,,,,,,,
0,20142015,Portland Pirates,AHL,887,,,,,,2.68,20,,,0.908,,,,,,,,,,,,
0,20142015,Atlanta Gladiators,ECHL,8735,,,,,,1.01,2,,,0.958,,,,,,,,,,,,
0,20152016,Arizona Coyotes,National Hockey League,1,2206:04,2.0,,15.0,18.0,2.74697,39,101.0,1041.0,0.911559,1142.0,5.0,151.0,36.0,854.0,41.0,923.0,178.0,36.0,84.8314606741573,87.8048780487805,92.52437703141928
0,20152016,Springfield,AHL,2,778:00,1.0,1.0,6.0,6.0,2.55,13,33.0,373.0,0.919,406.0,,,,,,,,,,,
0,20152016,Springfield Falcons,AHL,927,,,,,,2.55,13,,,0.919,,,,,,,,,,,,
0,20162017,Arizona Coyotes,National Hockey League,1,1598:41,0.0,,11.0,15.0,3.077533,31,82.0,806.0,0.907658,888.0,1.0,116.0,19.0,671.0,20.0,729.0,139.0,26.0,83.45323741007195,95.0,92.04389574759945
0,20172018,Arizona Coyotes,National Hockey League,1,387:45,0.0,0.0,0.0,6.0,4.332689,7,28.0,166.0,0.85567,194.0,0.0,17.0,4.0,145.0,6.0,163.0,25.0,5.0,68.0,66.66666666666666,88.95705521472392
0,20172018,Tampa Bay Lightning,National Hockey League,2,686:01,0.0,0.0,7.0,3.0,2.886227,12,33.0,351.0,0.914063,384.0,1.0,60.0,8.0,283.0,8.0,307.0,69.0,11.0,86.95652173913044,100.0,92.18241042345277
0,20172018,Syracuse Crunch,AHL,1057,,,,,,2.17,18,,,0.919,,,,,,,,,,,,
0,20182019,Tampa Bay Lightning,National Hockey League,1,1560:37,0.0,0.0,21.0,5.0,2.883476,26,75.0,737.0,0.907635,812.0,0.0,110.0,29.0,598.0,31.0,655.0,126.0,26.0,87.3015873015873,93.54838709677419,91.29770992366413
0,20192020,New Jersey Devils,National Hockey League,1,743:32,0.0,0.0,3.0,8.0,3.7927,16,47.0,352.0,0.882,399.0,2.0,40.0,11.0,301.0,12.0,341.0,46.0,14.0,86.95652173913044,91.66666666666666,88.26979472140762
0,20192020,Vancouver Canucks,National Hockey League,2,58:47,0.0,0.0,0.0,1.0,4.0828,1,4.0,30.0,0.882,34.0,0.0,2.0,1.0,27.0,1.0,29.0,4.0,1.0,50.0,100.0,93.10344827586206
0,20192020,Syracuse Crunch,AHL,1057,,,,,,3.81,4,,,0.863,,,,,,,,,,,,
0,20192020,Binghamton Devils,AHL,233827,,,,,,2.45,7,,,0.912,,,,,,,,,,,,
0,20202021,Calgary Flames,National Hockey League,1,57:42,0.0,0.0,0.0,1.0,3.1196,1,3.0,20.0,0.87,23.0,0.0,0.0,0.0,20.0,0.0,23.0,0.0,1.0,,,86.95652173913044
0,20202021,Stockton Heat,AHL,186037,,,,,,4.04,3,,,0.859,,,,,,,,,,,,
0,20212022,Pittsburgh Penguins,National Hockey League,1,118:45,0.0,0.0,1.0,1.0,2.02105,2,4.0,79.0,0.952,83.0,0.0,15.0,1.0,63.0,1.0,66.0,16.0,2.0,93.75,100.0,95.45454545454545
0,20212022,Wilkes-Barre/Scranton Penguins,AHL,1077,,,,,,2.41,22,,,0.924,,,,,,,,,,,,
