,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Tor. Marlboros,GTHL,1,63,41,86,76,86,104,,,,,,,,,,,,,,,,,
0,20092010,Barrie,OHL,1,9,5,35,34,35,14,2.0,0.0,7.0,,,,,,,,,,,,,,
0,20092010,Niagara,OHL,2,10,3,26,27,26,13,3.0,0.0,-9.0,,,,,,,,,,,,,,
0,20102011,Niagara,OHL,1,73,33,82,65,82,106,9.0,2.0,28.0,,,,,,,,,,,,,,
0,20112012,Niagara,OHL,1,38,30,47,46,47,68,9.0,1.0,37.0,,,,,,,,,,,,,,
0,20112012,Canada,WJC-A,2,6,3,8,6,8,9,1.0,0.0,9.0,0.0,,,,,,,,,,,,,
0,20122013,Niagara,OHL,1,60,34,59,53,59,94,5.0,2.0,43.0,,,,,,,,,,,,,,
0,20122013,Canada,WJC-A,2,2,4,10,6,10,6,0.0,0.0,2.0,1.0,,,,,,,,,,,,,
0,20122013,Bridgeport,AHL,3,5,2,4,10,4,7,0.0,0.0,-1.0,0.0,26.0,7.69,,,,,,,,,,,
0,20132014,New York Islanders,National Hockey League,1,11,7,8,37,8,18,4.0,0.0,-1.0,1.0,89.0,7.87,562:00,29.0,7.0,83:08,477:28,44.12,0.0,0.0,01:24,8.0,703.0
0,20132014,Bridgeport,AHL,2,36,13,41,37,41,49,2.0,0.0,16.0,2.0,125.0,10.4,,,,,,,,,,,
0,20142015,New York Islanders,National Hockey League,1,33,17,47,81,47,50,1.0,1.0,23.0,2.0,179.0,9.5,1247:14,92.0,8.0,172:06,1025:18,46.71,0.0,1.0,49:50,21.0,1631.0
0,20152016,New York Islanders,National Hockey League,1,20,8,28,71,28,28,1.0,0.0,-9.0,0.0,132.0,6.06,1111:42,77.0,4.0,104:36,1004:52,41.05,0.0,0.0,02:14,19.0,1404.0
0,20152016,Bridgeport,AHL,2,2,2,10,8,10,4,0.0,0.0,3.0,0.0,22.0,9.1,,,,,,,,,,,
0,20152016,Bridgeport Islanders,AHL,827,2,2,10,8,10,4,,,3.0,,,,,,,,,,,,,,
0,20162017,New York Islanders,National Hockey League,1,17,13,40,69,40,30,2.0,0.0,-8.0,2.0,114.0,11.4,1007:56,59.0,8.0,183:03,822:24,42.73,0.0,0.0,02:29,21.0,1265.0
0,20172018,Edmonton Oilers,National Hockey League,1,21,13,33,82,33,34,2.0,0.0,-4.0,3.0,147.0,8.84,1248:03,43.0,6.0,159:03,1026:54,44.26,0.0,1.0,62:06,17.0,1622.0
0,20182019,Edmonton Oilers,National Hockey League,1,1,1,14,18,14,2,0.0,0.0,-1.0,0.0,30.0,3.33,259:26,23.0,0.0,27:11,201:41,48.77,0.0,0.0,30:34,5.0,366.0
0,20182019,New York Rangers,National Hockey League,2,15,18,50,63,50,33,4.0,0.0,-2.0,2.0,80.0,22.5,1001:47,53.0,7.0,80:58,861:29,47.16,2.0,0.0,59:20,31.0,1292.0
0,20192020,New York Rangers,National Hockey League,1,41,18,48,70,48,59,3.0,0.0,21.0,3.0,154.0,11.7,1371:02,45.0,17.0,206:37,1007:34,47.51,0.0,1.0,156:51,32.0,1670.0
0,20202021,New York Rangers,National Hockey League,1,35,14,39,56,39,49,3.0,0.0,6.0,1.0,128.0,10.9,1023:13,22.0,18.0,181:07,790:24,43.2,0.0,2.0,51:42,18.0,1266.0
0,20212022,New York Rangers,National Hockey League,1,33,21,69,74,69,54,5.0,1.0,15.0,5.0,161.0,13.0,1355:31,41.0,14.0,206:07,1109:39,44.38,0.0,1.0,39:45,19.0,1537.0
