,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20132014,Tor. Jr. Can. MM,GTHL,1,18,12,10,33,10,30,,,,,,,,,,,,,,,,,
0,20132014,Tor. Jr. Can. Midg,GTHL,2,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
0,20142015,London,OHL,1,16,7,14,58,14,23,1.0,1.0,0.0,19.0,,,,,,,,,,,,,
0,20152016,London,OHL,1,30,8,18,68,18,38,,,,53.0,,,,,,,,,,,,,
0,20152016,London Knights,M-Cup,2561,0,1,2,4,2,1,,,,5.0,,,,,,,,,,,,,
0,20152016,London Knights,OHL,2778,30,8,18,68,18,38,,,,53.0,,,,,,,,,,,,,
0,20152016,Canada U18,Hlinka Gretzky Cup,144760,1,0,0,4,0,1,,,,1.0,,,,,,,,,,,,,
0,20152016,Team Red,U18-Dev,178681,0,0,2,3,2,0,,,,,,,,,,,,,,,,,
0,20162017,London Knights,OHL,2778,29,15,14,50,14,44,,,,36.0,,,,,,,,,,,,,
0,20172018,Montréal Canadiens,National Hockey League,1,7,0,4,49,4,7,0.0,0.0,0.0,5.0,763:44,43.0,1.0,4.0,68:50,688:44,0.0,0.0,0.0,0.0,06:10,71.0,1051.0
0,20172018,Canada U20,WJC-20,17216,3,0,2,6,2,3,,,,11.0,,,,,,,,,,,,,
0,20182019,Montréal Canadiens,National Hockey League,1,13,0,6,71,6,13,0.0,0.0,0.0,17.0,1261:53,65.0,21.0,0.0,22:10,1176:51,0.0,0.0,0.0,0.0,62:52,95.0,1650.0
0,20182019,Laval Rocket,AHL,222817,3,1,0,7,0,4,,,,2.0,,,,,,,,,,,,,
0,20192020,Montréal Canadiens,National Hockey League,1,7,4,20,51,20,11,0.0,1.0,0.0,5.0,815:36,57.0,20.0,1.0,03:20,780:36,0.0,7.0,0.0,0.0,31:40,60.0,1068.0
0,20202021,Montréal Canadiens,National Hockey League,1,3,0,6,14,6,3,0.0,0.0,0.0,3.0,198:01,8.0,8.0,0.0,01:07,195:39,0.0,0.0,0.0,0.0,01:15,10.0,257.0
0,20202021,Ottawa Senators,National Hockey League,2,1,1,2,14,2,2,0.0,0.0,0.0,5.0,244:21,12.0,11.0,0.0,10:13,211:43,0.0,8.3,0.0,0.0,22:25,25.0,332.0
0,20212022,Ottawa Senators,National Hockey League,1,7,0,4,37,4,7,0.0,0.0,0.0,-19.0,541:06,27.0,13.0,1.0,15:33,465:03,0.0,0.0,0.0,0.0,60:30,38.0,759.0
