,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,Fraser Valley,BCMML,1,19,6,24,35,24,25,,,,,,,,,,,,,,,,,
0,20122013,Everett,WHL,2,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
0,20132014,Everett,WHL,1,8,2,32,59,32,10,0.0,0.0,12.0,,,,,,,,,,,,,,
0,20142015,Everett,WHL,1,43,9,42,68,42,52,3.0,0.0,22.0,3.0,,,,,,,,,,,,,
0,20152016,Everett,WHL,1,21,7,37,63,37,28,2.0,0.0,0.0,,,,,,,,,,,,,,
0,20152016,Everett Silvertips,WHL,16391,21,7,37,63,37,28,,,0.0,,,,,,,,,,,,,,
0,20162017,Everett Silvertips,WHL,16391,22,12,38,49,38,34,,,15.0,,,,,,,,,,,,,,
0,20162017,Canada U20,WJC-20,17216,2,0,4,7,4,2,,,4.0,,,,,,,,,,,,,,
0,20172018,Montréal Canadiens,National Hockey League,1,2,1,4,23,4,3,0.0,0.0,1.0,0.0,446:44,33.0,58.0,0.0,08:18,384:26,0.0,3.03,0.0,0.0,54:00,34.0,639.0
0,20172018,Laval Rocket,AHL,222817,5,1,8,31,8,6,,,-9.0,,,,,,,,,,,,,,
0,20182019,Montréal Canadiens,National Hockey League,1,4,1,6,21,6,5,0.0,0.0,5.0,0.0,359:25,22.0,60.0,0.0,00:39,314:09,0.0,4.55,0.0,0.0,44:37,39.0,506.0
0,20182019,Laval Rocket,AHL,222817,0,0,0,3,0,0,,,-1.0,,,,,,,,,,,,,,
0,20192020,Laval Rocket,AHL,222817,3,0,4,13,4,3,,,6.0,,,,,,,,,,,,,,
0,20202021,Florida Panthers,National Hockey League,1,0,0,0,4,0,0,0.0,0.0,-3.0,0.0,47:52,5.0,9.0,0.0,00:00,46:40,0.0,0.0,0.0,0.0,01:12,4.0,71.0
0,20202021,Syracuse Crunch,AHL,1057,1,0,2,5,2,1,,,-1.0,,,,,,,,,,,,,,
0,20212022,Vancouver Canucks,National Hockey League,1,2,0,0,8,0,2,0.0,0.0,-4.0,0.0,117:24,6.0,20.0,0.0,00:01,105:31,0.0,0.0,0.0,0.0,11:52,11.0,184.0
0,20212022,Abbotsford Canucks,AHL,33767,13,3,63,50,63,16,,,-9.0,,,,,,,,,,,,,,
