,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Ilves U16,Jr. C SM-sarja Q,10153628,1,4,0,10,0,0.0,5,,,,,,,,,,,,,,,,
0,20112012,Ilves U18,Fin-U18,1,6,3,2,18,2,,9,,,,,,,,,,,,,,,,
0,20122013,Tampa Bay,EmJHL,1,15,20,0,20,0,,35,,,,,,,,,,,,,,,,
0,20122013,Bismarck,NAHL,2,0,0,0,2,0,,0,,,,,,,,,,,,,,,,
0,20122013,Ilves U18,Fin-U18,3,9,4,0,9,0,,13,,,,,,,,,,,,,,,,
0,20132014,Ilves U18,Fin-U18,1,0,2,0,1,0,,2,,,,,,,,,,,,,,,,
0,20132014,Ilves Jr.,Fin-Jr.,2,20,18,16,29,16,,38,,,,,,,,,,,,,,,,
0,20132014,Ilves,Finland,3,0,0,2,7,2,,0,,,,,,,,,,,,,,,,
0,20142015,Ilves,Finland,1,12,5,10,42,10,,17,,,,,,,,,,,,,,,,
0,20152016,HIFK,Finland,1,12,8,4,33,4,,20,,,,,,,,,,,,,,,,
0,20152016,Finland,WJC-A,2,1,3,2,7,2,-4.0,4,17.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20152016,HIFK,Liiga,869,12,8,4,33,4,15.0,20,,,,,,,,,,,,,,,,
0,20152016,Finland U20,WJC-20,17116,1,3,2,7,2,-4.0,4,,,,,,,,,,,,,,,,
0,20162017,HIFK,Champions HL,492,0,0,0,5,0,-3.0,0,,,,,,,,,,,,,,,,
0,20162017,HIFK,Liiga,869,11,19,18,44,18,10.0,30,,,,,,,,,,,,,,,,
0,20162017,Finland,EHT,68516,1,1,6,8,6,0.0,2,,,,,,,,,,,,,,,,
0,20172018,Texas Stars,AHL,45177,15,20,27,70,27,2.0,35,,,,,,,,,,,,,,,,
0,20182019,Dallas Stars,National Hockey League,1,13,9,24,58,24,-11.0,22,99.0,3.0,3.0,0.0,815:16,87.0,6.0,102:18,697:03,54.25,9.09,1.0,0.0,15:55,36.0,1270.0
0,20182019,Texas Stars,AHL,45177,13,9,10,21,10,0.0,22,,,,,,,,,,,,,,,,
0,20192020,Dallas Stars,National Hockey League,1,14,19,16,60,16,3.0,33,120.0,3.0,5.0,2.0,884:56,73.0,14.0,117:52,747:00,49.86,15.8,1.0,2.0,20:04,28.0,1301.0
0,20202021,Dallas Stars,National Hockey League,1,28,15,4,41,4,13.0,43,92.0,6.0,1.0,0.0,747:31,52.0,18.0,116:15,581:16,49.25,16.3,0.0,0.0,50:00,15.0,1008.0
0,20212022,Dallas Stars,National Hockey League,1,35,37,28,80,28,15.0,72,213.0,9.0,7.0,3.0,1442:53,82.0,24.0,202:47,1147:14,52.97,17.4,1.0,4.0,92:52,53.0,2027.0
