,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Kosice U18,Svk-U18,1,4,5,61,37,61,9,,,,,,,,,,,,,,,,,
0,20122013,Slovakia U20 B,Slovak-2,1,0,2,18,8,18,2,,,,,,,,,,,,,,,,,
0,20122013,Bratislava Jr.,Slovak-Jr.,3,6,4,18,30,18,10,,,,,,,,,,,,,,,,,
0,20132014,Slovakia U20,Slovakia,1,1,2,2,20,2,3,,,,,,,,,,,,,,,,,
0,20132014,Kosice Jr.,Slovak-Jr.,2,3,1,16,8,16,4,,,,,,,,,,,,,,,,,
0,20132014,Kosice,Slovakia,3,0,0,0,13,0,0,,,,,,,,,,,,,,,,,
0,20142015,Kosice,Slovakia,1,8,5,16,43,16,13,,,,,,,,,,,,,,,,,
0,20152016,Slovakia,WJ18-A,1,0,0,0,5,0,0,1.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,
0,20152016,Slovakia,WJC-A,2,0,0,2,4,2,0,10.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,
0,20152016,Erie,OHL,3,11,4,35,41,35,15,76.0,0.0,0.0,0.0,7.0,5.3,,,,,,,,,,,
0,20152016,Erie Otters,OHL,9398,11,4,35,41,35,15,,,,,7.0,,,,,,,,,,,,
0,20152016,Slovakia U20,WJC-20,17376,0,0,2,4,2,0,,,,,1.0,,,,,,,,,,,,
0,20162017,Erie Otters,M-Cup,9181,2,0,2,5,2,2,,,,,0.0,,,,,,,,,,,,
0,20162017,Erie Otters,OHL,9398,18,3,53,50,53,21,,,,,31.0,,,,,,,,,,,,
0,20162017,Slovakia U20,WJC-20,17376,1,0,2,5,2,1,,,,,-3.0,,,,,,,,,,,,
0,20172018,Syracuse Crunch,AHL,1057,13,5,70,71,70,18,,,,,30.0,,,,,,,,,,,,
0,20182019,Tampa Bay Lightning,National Hockey League,1,11,5,58,58,58,16,107.0,1.0,1.0,0.0,25.0,4.67,1116:33,198.0,1.0,04:55,973:46,0.0,0.0,0.0,137:52,79.0,1416.0
0,20182019,Syracuse Crunch,AHL,1057,5,2,14,9,14,7,,,,,-1.0,,,,,,,,,,,,
0,20182019,Slovakia,WC,17315,2,3,8,7,8,5,,,,,3.0,,,,,,,,,,,,
0,20192020,Tampa Bay Lightning,National Hockey League,1,7,5,59,67,59,12,125.0,0.0,1.0,0.0,11.0,4.0,1269:40,172.0,0.0,08:46,1063:32,0.0,0.0,0.0,197:22,97.0,1554.0
0,20202021,Tampa Bay Lightning,National Hockey League,1,13,5,38,46,38,18,85.0,0.0,0.0,0.0,8.0,5.9,910:05,98.0,0.0,08:56,775:52,0.0,0.0,0.0,125:17,46.0,1142.0
0,20212022,Tampa Bay Lightning,National Hockey League,1,12,1,46,55,46,13,86.0,0.0,0.0,0.0,7.0,1.2,1053:25,165.0,0.0,04:56,894:00,0.0,0.0,0.0,154:29,73.0,1313.0
