,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Antoine-Girouard,QAAA,1,25,5,30,40,30,30,,,,,,,,,,,,,,,,,
0,20122013,Gatineau,QMJHL,1,5,2,28,50,28,7,54.0,0.0,3.7,1.0,0.0,-1.0,,,,,,,,,,,
0,20132014,Gatineau,QMJHL,1,25,3,29,67,29,28,81.0,1.0,3.7,1.0,0.0,31.0,,,,,,,,,,,
0,20132014,Canada,WJ18-A,2,0,0,0,7,0,0,3.0,0.0,,0.0,0.0,1.0,,,,,,,,,,,
0,20142015,Gatineau,QMJHL,1,43,12,64,68,64,55,147.0,2.0,8.2,2.0,0.0,17.0,,,,,,,,,,,
0,20152016,Gatineau,QMJHL,1,35,12,50,57,50,47,,3.0,,3.0,0.0,22.0,,,,,,,,,,,
0,20152016,Gatineau Olympiques,QMJHL,18240,35,12,50,57,50,47,,,,,,22.0,,,,,,,,,,,
0,20162017,Nashville Predators,National Hockey League,1,0,0,0,2,0,0,1.0,0.0,0.0,0.0,0.0,1.0,20:47,0.0,0.0,00:00,20:46,0.0,0.0,0.0,00:01,1.0,33.0
0,20162017,Milwaukee Admirals,AHL,1017,33,6,45,72,45,39,,,,,,-1.0,,,,,,,,,,,
0,20172018,Milwaukee Admirals,AHL,1017,24,4,52,73,52,28,,,,,,-14.0,,,,,,,,,,,
0,20182019,Milwaukee Admirals,AHL,1017,32,5,47,76,47,37,,,,,,-1.0,,,,,,,,,,,
0,20192020,Nashville Predators,National Hockey League,1,0,0,2,3,2,0,4.0,0.0,0.0,0.0,0.0,2.0,32:20,3.0,0.0,00:00,32:20,0.0,0.0,0.0,00:00,0.0,44.0
0,20192020,Milwaukee Admirals,AHL,1017,32,5,44,55,44,37,,,,,,15.0,,,,,,,,,,,
0,20202021,Nashville Predators,National Hockey League,1,2,1,8,19,8,3,31.0,0.0,3.2,0.0,0.0,3.0,380:54,22.0,0.0,07:17,342:56,0.0,0.0,0.0,30:41,31.0,490.0
0,20202021,Chicago Wolves,AHL,957,1,0,0,3,0,1,,,,,,3.0,,,,,,,,,,,
0,20212022,Nashville Predators,National Hockey League,1,27,3,50,77,50,30,95.0,1.0,3.2,0.0,0.0,26.0,1615:33,95.0,4.0,76:49,1318:12,0.0,0.0,1.0,220:32,124.0,2066.0
