,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20132014,Novokuznetsk Jr.,Russia-Jr.,1,16,18,30,52,30,34,,,,,,,,,,,,,,,,,
0,20142015,Novokuznetsk,KHL,1,4,4,6,31,6,8,,,,,,,,,,,,,,,,,
0,20142015,Novokuznetsk Jr.,Russia-Jr.,2,2,0,2,3,2,2,,,,,,,,,,,,,,,,,
0,20152016,Novokuznetsk Jr.,Russia-Jr.,1,3,7,0,4,0,10,,,,,,,,,,,,,,,,,
0,20152016,Novokuznetsk,KHL,2,16,11,10,53,10,27,,,,,,,,,,,,,,,,,
0,20152016,Russia,WJC-A,3,2,1,2,7,2,3,19.0,1.0,0.0,0.0,-2.0,,,,,,,,,,,,
0,20152016,Metallurg Novokuznetsk,KHL,2384,16,11,10,53,10,27,,,,,-4.0,,,,,,,,,,,,
0,20152016,Russia U20,WJC-20,17546,2,1,2,7,2,3,,,,,-2.0,,,,,,,,,,,,
0,20152016,Kuznetskie Medvedi,MHL,49652,3,7,0,4,0,10,,,,,9.0,,,,,,,,,,,,
0,20162017,Salavat Yulaev Ufa,KHL,2414,22,20,66,49,66,42,,,,,9.0,,,,,,,,,,,,
0,20162017,Russia U20,WJC-20,17546,3,9,2,7,2,12,,,,,7.0,,,,,,,,,,,,
0,20162017,Russia,EHT,64546,1,3,0,3,0,4,,,,,2.0,,,,,,,,,,,,
0,20172018,CSKA Moskva,KHL,2314,25,15,14,46,14,40,,,,,22.0,,,,,,,,,,,,
0,20172018,Russia,OG,17252,4,5,2,6,2,9,,,,,7.0,,,,,,,,,,,,
0,20172018,Russia,WC,17485,2,6,2,8,2,8,,,,,8.0,,,,,,,,,,,,
0,20172018,Russia,EHT,64546,0,2,2,8,2,2,,,,,2.0,,,,,,,,,,,,
0,20182019,CSKA Moskva,KHL,2314,21,30,16,57,16,51,,,,,34.0,,,,,,,,,,,,
0,20182019,Russia,WC,17485,0,2,2,9,2,2,,,,,2.0,,,,,,,,,,,,
0,20182019,Russia,EHT,64546,4,4,0,9,0,8,,,,,3.0,,,,,,,,,,,,
0,20192020,CSKA Moskva,KHL,2314,29,33,10,57,10,62,,,,,32.0,,,,,,,,,,,,
0,20192020,Russia,EHT,64546,0,2,2,3,2,2,,,,,0.0,,,,,,,,,,,,
0,20202021,Minnesota Wild,National Hockey League,1,24,27,16,55,16,51,157.0,8.0,3.0,0.0,10.0,1006:22,29.0,13.0,178:11,826:47,12.5,17.2,2.0,0.0,01:24,18.0,1052.0
0,20212022,Minnesota Wild,National Hockey League,1,61,47,34,81,34,108,289.0,14.0,5.0,0.0,27.0,1547:44,73.0,31.0,267:58,1276:28,55.56,16.3,2.0,0.0,03:18,29.0,1576.0
