,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20082009,Schwenninger ERC U16,Schler-BL,68785,0,0,2,8,2,0,
0,20092010,Schwenninger ERC U16,Schler-BL,68785,11,6,38,28,38,17,
0,20102011,Schwenninger ERC U16,Schler-BL,68785,6,9,20,24,20,15,
0,20112012,Schwenninger ERC U16,Schler-BL,68785,25,15,32,30,32,40,
0,20122013,Eisbären Juniors Berlin U18,DNL,50805,8,3,18,32,18,11,
0,20122013,ECC Preussen Berlin U18,Jugend-BL,54150,0,1,2,2,2,1,
0,20132014,Germany U18,WJC-18,17693,3,0,4,6,4,3,-8.0
0,20132014,Eisbären Juniors Berlin U18,DNL,50805,22,10,54,35,54,32,
0,20142015,Eisbären Berlin,Champions HL,1332,0,0,0,1,0,0,0.0
0,20142015,Eisbären Berlin,DEL,1388,1,0,0,7,0,1,0.0
0,20142015,Dresdner Eislöwen,DEL2,9999,7,0,37,24,37,7,
0,20142015,FASS Berlin,Germany3,10219,2,0,6,3,6,2,
0,20142015,Germany U20,WJC-20,17716,0,0,16,6,16,0,-3.0
0,20142015,Eisbären Juniors Berlin U19,DNL,177505,0,1,14,4,14,1,
0,20152016,Eisbären Berlin,Champions HL,1332,0,0,0,2,0,0,0.0
0,20152016,Eisbären Berlin,DEL,1388,0,0,6,14,6,0,0.0
0,20152016,Dresdner Eislöwen,DEL2,9999,5,2,20,25,20,7,13.0
0,20152016,Germany U20,WJC-20 D1A,17717,0,2,0,5,0,2,-2.0
0,20162017,Eisbären Berlin,Champions HL,1332,0,0,4,8,4,0,1.0
0,20162017,Eisbären Berlin,DEL,1388,6,1,47,51,47,7,7.0
0,20172018,Eisbären Berlin,DEL,1388,17,0,14,52,14,17,9.0
0,20182019,Eisbären Berlin,Champions HL,1332,0,0,4,4,4,0,-2.0
0,20182019,Eisbären Berlin,DEL,1388,3,0,16,18,16,3,-5.0
0,20192020,Eisbären Berlin,DEL,1388,12,1,34,50,34,13,9.0
0,20202021,Eisbären Berlin,DEL,1388,7,0,28,38,28,7,16.0
0,20212022,Eisbären Berlin,Champions HL,1332,2,0,2,6,2,2,0.0
0,20212022,Eisbären Berlin,DEL,1388,16,4,24,55,24,20,31.0
0,20212022,Germany,WC,17655,5,2,0,8,0,7,4.0
