,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,goalsAgainst,saves,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20092010,HPK U16,Jr. C SM-sarja Q,10154128,0.929,2.5,2,,,,,,,,,,,,,,,,,,,
0,20102011,HPK U16,Jr. C SM-sarja Q,10154128,0.954,1.86,7,,,,,,,,,,,,,,,,,,,
0,20112012,HPK U18,Fin-U18,1,,1.35,14,844:00,2.0,0.0,11.0,3.0,19.0,,,,,,,,,,,,,
0,20112012,HPK Jr.,Fin-Jr.,2,,2.53,31,1804:00,2.0,0.0,20.0,10.0,76.0,,,,,,,,,,,,,
0,20122013,HPK Jr.,Fin-Jr.,1,,1.86,37,2220:00,4.0,0.0,24.0,13.0,69.0,,,,,,,,,,,,,
0,20122013,Finland,WJ18-A,2,0.945607,1.86,7,419:00,1.0,0.0,5.0,2.0,13.0,226.0,239.0,,,,,,,,,,,
0,20132014,HPK,Finland,1,,1.76,44,2625:00,7.0,9.0,17.0,16.0,77.0,,,,,,,,,,,,,
0,20132014,Finland,WJC-A,2,0.943038,1.57,6,345:00,,,,,9.0,149.0,158.0,,,,,,,,,,,
0,20142015,HPK,Finland,1,,2.14,47,2834:00,6.0,16.0,13.0,18.0,101.0,,,,,,,,,,,,,
0,20142015,Finland,WJC-A,2,0.875,3.03,2,119:00,0.0,0.0,0.0,2.0,6.0,42.0,48.0,,,,,,,,,,,
0,20142015,Finland,WC-A,3,1.0,0.0,1,60:00,1.0,0.0,1.0,0.0,0.0,22.0,22.0,,,,,,,,,,,
0,20142015,HPK,Liiga,6589,0.929,2.14,47,,,,,,,,,,,,,,,,,,,
0,20142015,Finland,WC,17055,1.0,0.0,1,,,,,,,,,,,,,,,,,,,
0,20142015,Finland U20,WJC-20,17116,0.875,3.03,2,,,,,,,,,,,,,,,,,,,
0,20152016,Nashville Predators,National Hockey League,1,0.869565,3.102557,1,58:01,0.0,,0.0,1.0,3.0,20.0,23.0,0.0,4.0,1.0,15.0,1.0,16.0,6.0,1.0,66.66666666666666,100.0,93.75
0,20152016,Finland,WC-A,3,,0.0,2,120:00,2.0,0.0,2.0,0.0,0.0,,27.0,,,,,,,,,,,
0,20152016,Milwaukee Admirals,AHL,1017,0.92,2.24,38,,,,,,,,,,,,,,,,,,,
0,20152016,Finland,WC,17055,1.0,0.0,2,,,,,,,,,,,,,,,,,,,
0,20162017,Nashville Predators,National Hockey League,1,0.923453,2.350163,21,1199:55,1.0,,10.0,8.0,47.0,567.0,614.0,3.0,80.0,13.0,474.0,13.0,514.0,87.0,19.0,91.95402298850574,100.0,92.21789883268482
0,20162017,Milwaukee Admirals,AHL,1017,0.934,1.86,15,,,,,,,,,,,,,,,,,,,
0,20172018,Nashville Predators,National Hockey League,1,0.924691,2.445434,26,1496:40,3.0,0.0,11.0,5.0,61.0,749.0,810.0,7.0,130.0,8.0,611.0,9.0,657.0,144.0,23.0,90.27777777777779,88.88888888888889,92.99847792998477
0,20172018,Milwaukee Admirals,AHL,1017,0.906,2.88,9,,,,,,,,,,,,,,,,,,,
0,20182019,Nashville Predators,National Hockey League,1,0.914943,2.61759,31,1696:13,3.0,0.0,17.0,10.0,74.0,796.0,870.0,2.0,111.0,18.0,667.0,19.0,725.0,126.0,27.0,88.09523809523809,94.73684210526315,92.0
0,20192020,Nashville Predators,National Hockey League,1,0.914,2.7012,40,2176:50,4.0,0.0,17.0,12.0,98.0,1044.0,1142.0,4.0,154.0,31.0,859.0,34.0,935.0,173.0,34.0,89.01734104046243,91.17647058823529,91.8716577540107
0,20202021,Nashville Predators,National Hockey League,1,0.927,2.2809,36,2051:48,3.0,0.0,21.0,11.0,78.0,995.0,1073.0,1.0,111.0,22.0,862.0,23.0,915.0,135.0,35.0,82.22222222222221,95.65217391304348,94.20765027322405
0,20212022,Nashville Predators,National Hockey League,1,0.918,2.64008,67,3931:42,4.0,0.0,38.0,25.0,173.0,1934.0,2107.0,3.0,321.0,58.0,1555.0,62.0,1678.0,367.0,67.0,87.46594005449592,93.54838709677419,92.66984505363529
