,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,powerPlayGoals,shortHandedGoals,shots,hits,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,blocked
0,20002001,Jämtland/Härjedalen,TV-Pucken,11016,1,0,2,8,2,-1.0,1,,,,,,,,,,,,,,,,
0,20012002,Jamtland,Exhib.,1,1,0,2,8,2,,1,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20022003,Jamtland,Exhib.,1,1,2,0,8,0,,3,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20032004,Jamtland Jr.,Swe-Jr.,1,3,0,6,6,6,,3,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20032004,Jamtland,Sweden-3,2,6,3,20,24,20,,9,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20042005,Modo Jr.,Swe-Jr.,1,15,8,40,33,40,,23,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20052006,Kelowna,WHL,1,40,13,44,62,44,21.0,53,00:00,00:00,00:00,0.0,00:00,0.0,5.0,1.0,,,,,,,,
0,20052006,Sweden,WJC-A,3,1,0,6,6,6,,1,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20062007,Vancouver Canucks,National Hockey League,1,2,1,6,22,6,3.0,3,251:50,08:44,228:33,0.0,14:33,378.0,0.0,0.0,10.0,17.0,0.0,10.0,0.0,0.0,0.0,11.0
0,20062007,Manitoba,AHL,2,21,5,28,49,28,,26,,,,,,,,,,,,,,,,
0,20072008,Vancouver Canucks,National Hockey League,1,12,8,42,75,42,6.0,20,1600:15,248:16,1222:56,100.0,129:03,2034.0,4.0,0.0,124.0,58.0,10.0,6.45,0.0,0.0,0.0,76.0
0,20072008,Manitoba,AHL,2,1,0,0,2,0,0.0,1,,,,,,,0.0,0.0,,,,,,,,
0,20072008,Sweden,WC-A,3,2,1,12,8,12,,3,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20082009,Vancouver Canucks,National Hockey League,1,27,10,54,80,54,11.0,37,1690:18,277:58,1282:02,100.0,130:18,2054.0,5.0,0.0,145.0,102.0,21.0,6.9,1.0,0.0,0.0,93.0
0,20092010,Vancouver Canucks,National Hockey League,1,37,5,40,76,40,0.0,42,1721:08,229:50,1325:20,0.0,165:58,2038.0,2.0,0.0,161.0,84.0,19.0,3.11,0.0,0.0,0.0,115.0
0,20102011,Vancouver Canucks,National Hockey League,1,25,8,24,51,24,13.0,33,1238:51,192:56,932:34,0.0,113:21,1452.0,5.0,0.0,121.0,83.0,17.0,6.61,1.0,0.0,0.0,86.0
0,20112012,Vancouver Canucks,National Hockey League,1,38,11,34,82,34,0.0,49,1956:54,282:28,1488:50,0.0,185:36,2371.0,5.0,1.0,228.0,143.0,22.0,4.82,0.0,0.0,1.0,145.0
0,20122013,Vancouver Canucks,National Hockey League,1,14,8,37,45,37,-5.0,22,1073:10,161:11,822:33,100.0,89:26,1265.0,5.0,0.0,113.0,77.0,10.0,7.08,0.0,0.0,0.0,81.0
0,20122013,Sweden,WC-A,2,1,0,25,2,25,2.0,1,,,,,,,0.0,0.0,,,,,0.0,,,
0,20132014,Vancouver Canucks,National Hockey League,1,15,7,50,63,50,-39.0,22,1467:03,179:51,1148:45,66.67,138:27,1798.0,4.0,0.0,178.0,112.0,12.0,3.93,0.0,0.0,0.0,136.0
0,20132014,Sweden,Olympics,2,1,1,0,4,0,2.0,2,,,,,,,0.0,0.0,7.0,,,,0.0,,,
0,20142015,Vancouver Canucks,National Hockey League,1,23,8,54,74,54,13.0,31,1774:27,216:44,1365:27,0.0,192:16,2259.0,5.0,0.0,175.0,94.0,14.0,4.57,2.0,1.0,0.0,126.0
0,20152016,Vancouver Canucks,National Hockey League,1,14,6,46,52,46,-8.0,20,1271:32,169:05,968:10,0.0,134:17,1599.0,3.0,0.0,111.0,84.0,9.0,5.41,0.0,0.0,0.0,106.0
0,20162017,Vancouver Canucks,National Hockey League,1,15,6,36,68,36,-20.0,21,1653:20,139:36,1338:16,66.67,175:28,1931.0,2.0,0.0,138.0,106.0,4.0,4.35,0.0,0.0,0.0,138.0
0,20162017,Sweden,WC,6815,2,2,4,10,4,5.0,4,,,,,,,,,,,,,,,,
0,20172018,Vancouver Canucks,National Hockey League,1,28,6,68,70,68,-18.0,34,1699:25,197:04,1314:58,50.0,187:23,1973.0,1.0,0.0,172.0,157.0,15.0,3.49,2.0,1.0,0.0,203.0
0,20182019,Vancouver Canucks,National Hockey League,1,24,10,54,56,54,3.0,34,1375:55,174:43,1052:17,0.0,148:55,1683.0,4.0,0.0,128.0,127.0,17.0,7.81,2.0,2.0,1.0,166.0
0,20192020,Vancouver Canucks,National Hockey League,1,28,5,62,59,62,13.0,33,1334:25,70:12,1082:24,0.0,181:49,1574.0,1.0,0.0,118.0,108.0,7.0,4.2,1.0,0.0,0.0,162.0
0,20202021,Vancouver Canucks,National Hockey League,1,8,0,58,52,58,-8.0,8,1087:08,14:22,892:34,0.0,180:12,1238.0,0.0,0.0,99.0,80.0,0.0,0.0,0.0,0.0,0.0,118.0
0,20212022,Los Angeles Kings,National Hockey League,1,16,3,34,41,34,18.0,19,756:58,13:49,666:13,0.0,76:56,918.0,0.0,0.0,54.0,56.0,0.0,5.6,1.0,0.0,1.0,70.0
