,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,St. Cath. Falcons,Minor-ON,1,33,20,26,67,26,53,,,,,,,,,,,,,,,,,
0,20092010,Niagara,OHL,1,13,3,36,64,36,16,2.0,0.0,-8.0,,,,,,,,,,,,,,
0,20102011,Niagara,OHL,1,46,12,77,67,77,58,9.0,0.0,35.0,,,,,,,,,,,,,,
0,20112012,Niagara,OHL,1,55,17,47,50,47,72,9.0,0.0,37.0,,,,,,,,,,,,,,
0,20112012,Canada,WJC-A,2,4,2,6,6,6,6,2.0,0.0,7.0,0.0,,,,,,,,,,,,,
0,20122013,Boston Bruins,National Hockey League,1,11,5,14,42,14,16,2.0,0.0,4.0,0.0,719:23,83.0,59.0,4.0,80:41,626:57,0.0,6.02,0.0,0.0,11:45,33.0,905.0
0,20122013,Canada,WJC-A,2,1,1,0,6,0,2,1.0,0.0,3.0,0.0,,,,,,,,,,,,,
0,20132014,Boston Bruins,National Hockey League,1,18,7,40,64,40,25,2.0,0.0,22.0,1.0,1222:35,114.0,73.0,6.0,123:21,1057:15,0.0,6.14,0.0,0.0,41:59,53.0,1524.0
0,20142015,Boston Bruins,National Hockey League,1,32,10,41,72,41,42,5.0,0.0,-3.0,2.0,1536:11,188.0,106.0,15.0,180:22,1272:03,0.0,5.32,1.0,0.0,83:46,53.0,1940.0
0,20152016,Calgary Flames,National Hockey League,1,31,12,46,82,46,43,5.0,0.0,-14.0,3.0,1620:57,190.0,78.0,16.0,198:39,1383:20,0.0,6.32,0.0,0.0,38:58,106.0,2238.0
0,20162017,Calgary Flames,National Hockey League,1,37,13,64,81,64,50,2.0,0.0,12.0,5.0,1594:25,222.0,68.0,14.0,183:31,1339:16,0.0,5.86,1.0,1.0,71:38,94.0,2131.0
0,20172018,Calgary Flames,National Hockey League,1,27,17,64,82,64,44,6.0,0.0,1.0,4.0,1765:32,270.0,83.0,12.0,218:15,1506:09,33.33,6.3,1.0,0.0,41:08,80.0,2087.0
0,20182019,Carolina Hurricanes,National Hockey League,1,21,18,54,82,54,39,2.0,0.0,0.0,2.0,1613:09,259.0,160.0,7.0,152:42,1439:46,0.0,6.95,0.0,0.0,20:41,91.0,1994.0
0,20192020,Carolina Hurricanes,National Hockey League,1,26,14,32,47,32,40,2.0,0.0,30.0,3.0,1094:21,170.0,52.0,12.0,148:39,836:20,0.0,8.2,2.0,1.0,109:22,63.0,1310.0
0,20202021,Carolina Hurricanes,National Hockey League,1,32,10,35,55,35,42,2.0,1.0,20.0,2.0,1249:43,180.0,52.0,18.0,167:52,1003:09,0.0,5.6,1.0,1.0,78:42,64.0,1429.0
0,20212022,New Jersey Devils,National Hockey League,1,21,9,34,62,34,30,2.0,0.0,-19.0,1.0,1315:52,197.0,87.0,8.0,154:33,1130:57,0.0,4.6,1.0,0.0,30:22,92.0,1536.0
