,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20122013,Plzensky kraj U15,MMCR,259266,0,0,0,5,0,0.0,0
0,20132014,HC Plzen U16,Czech U16,83290,13,14,12,36,12,13.0,27
0,20132014,Plzensky kraj U15,ODM,259385,2,4,2,7,2,7.0,6
0,20142015,HC Plzen U18,Czech U18,40672,0,0,0,1,0,1.0,0
0,20142015,HC Plzen U16,Czech U16,83290,18,16,12,28,12,23.0,34
0,20152016,HC Plzen U18,Czechia U18,42504,19,21,14,41,14,21.0,40
0,20162017,HC Plzen U20,Czechia U20,35867,12,14,10,34,10,12.0,26
0,20162017,HC Plzen U18,Czechia U18,42504,7,7,6,9,6,7.0,14
0,20172018,HC Plzen,Czechia,8346,2,2,8,15,8,2.0,4
0,20172018,SHC Klatovy,Czechia3,15152,6,3,12,11,12,,9
0,20172018,HC Plzen U20,Czechia U20,35867,13,15,42,36,42,8.0,28
0,20182019,HC Plzen,Champions HL,6482,0,1,2,8,2,0.0,1
0,20182019,HC Plzen,Czechia,8346,2,6,22,31,22,-1.0,8
0,20182019,Czechia U20,WJC-20,17046,0,0,0,5,0,-1.0,0
0,20182019,HC Stadion Litomerice,Czechia2,36600,1,2,12,16,12,-3.0,3
0,20192020,HC Plzen,Champions HL,6482,3,3,6,8,6,0.0,6
0,20192020,HC Plzen,Czechia,8346,7,7,24,50,24,-3.0,14
0,20202021,HC Plzen,Czechia,8346,4,12,22,48,22,-3.0,16
0,20212022,Rockford IceHogs,AHL,8267,2,6,20,44,20,-4.0,8
