,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20132014,Motor Ceske Budejovice U16,Czech U16,83467,9,4,14,33,14,-8.0,13
0,20142015,Motor Ceske Budejovice U18,Czech U18,31672,1,1,2,5,2,-3.0,2
0,20142015,Motor Ceske Budejovice U16,Czech U16,83467,27,7,39,23,39,9.0,34
0,20152016,Motor Ceske Budejovice U18,Czechia U18,33494,46,23,53,44,53,3.0,69
0,20152016,Czechia U17,WHC-17,61320,1,0,2,5,2,,1
0,20162017,Muskegon Lumberjacks,USHL,6276,8,7,6,43,6,5.0,15
0,20162017,Czechia U18,WJC-18,17013,5,1,8,5,8,3.0,6
0,20162017,Czechia U18,Hlinka Gretzky Cup,158320,1,0,2,5,2,1.0,1
0,20172018,Muskegon Lumberjacks,USHL,6276,18,16,43,44,43,-2.0,34
0,20172018,Czechia U19,WJAC-19,113792,1,1,0,2,0,,2
0,20182019,Univ. of Connecticut,NCAA,14180,22,4,12,33,12,1.0,26
0,20182019,Czechia U20,WJC-20,17046,1,1,2,5,2,-2.0,2
0,20192020,Univ. of Connecticut,NCAA,14180,15,8,25,34,25,6.0,23
0,20202021,Univ. of Connecticut,NCAA,14180,18,4,6,23,6,0.0,22
0,20212022,Milwaukee Admirals,AHL,1017,0,0,0,2,0,0.0,0
0,20212022,Univ. of Connecticut,NCAA,14180,21,12,16,36,16,11.0,33
