,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,AIK U18,Swe-U18,1,2,2,2,11,2,4,,,,,,,,,,,,,,,,,
0,20092010,Djurgarden U18,Swe-U18,1,22,14,18,28,18,36,,,,,,,,,,,,,,,,,
0,20092010,Djurgarden Jr.,Swe-Jr.,2,2,2,4,14,4,4,,,,,,,,,,,,,,,,,
0,20102011,Djurgarden U18,Swe-U18,1,2,3,2,2,2,5,,,,,,,,,,,,,,,,,
0,20102011,Djurgarden Jr.,Swe-Jr.,2,9,12,12,27,12,21,,,,,,,,,,,,,,,,,
0,20102011,Djurgarden,Sweden,3,4,5,2,26,2,9,,,,,,,,,,,,,,,,,
0,20102011,Sweden,WJ18-A,4,4,4,2,6,2,8,0.0,1.0,0.0,8.0,,,,,,,,,,,,,
0,20112012,Ottawa Senators,National Hockey League,1,1,0,2,9,2,1,0.0,0.0,0.0,-3.0,116:06,12.0,15.0,1.0,09:27,105:33,44.0,0.0,0.0,0.0,01:06,5.0,157.0
0,20112012,Djurgarden,Sweden,2,8,5,4,26,4,13,,,,,,,,,,,,,,,,,
0,20112012,Djurgarden Jr.,Swe-Jr.,3,0,0,2,1,2,0,,,,,,,,,,,,,,,,,
0,20112012,Djurgarden,Sweden-Q,4,2,4,2,10,2,6,,,,,,,,,,,,,,,,,
0,20112012,Sweden,WJC-A,5,1,4,2,6,2,5,3.0,1.0,0.0,3.0,,,,,,,,,,,,,
0,20122013,Ottawa Senators,National Hockey League,1,13,7,6,42,6,20,3.0,0.0,0.0,9.0,569:47,90.0,82.0,4.0,80:34,488:27,46.36,7.78,0.0,0.0,00:46,19.0,812.0
0,20122013,Binghamton,AHL,2,7,4,10,23,10,11,0.0,0.0,0.0,3.0,,65.0,,,,,,6.15,,,,,
0,20132014,Ottawa Senators,National Hockey League,1,17,16,18,69,18,33,3.0,0.0,0.0,-15.0,988:43,153.0,118.0,8.0,135:54,830:44,46.1,10.46,0.0,0.0,22:05,28.0,1395.0
0,20132014,Binghamton,AHL,2,5,2,2,6,2,7,2.0,0.0,0.0,1.0,,17.0,,,,,,11.8,,,,,
0,20142015,Ottawa Senators,National Hockey League,1,26,20,20,80,20,46,4.0,0.0,0.0,0.0,1314:59,150.0,149.0,14.0,215:03,1075:56,48.77,13.33,0.0,0.0,24:00,26.0,1798.0
0,20152016,Ottawa Senators,National Hockey League,1,30,21,18,81,18,51,2.0,7.0,2.0,-2.0,1438:35,184.0,111.0,11.0,203:22,1119:55,50.46,11.41,0.0,2.0,115:18,43.0,1912.0
0,20162017,New York Rangers,National Hockey League,1,23,14,16,56,16,37,4.0,2.0,0.0,9.0,956:02,119.0,23.0,11.0,133:55,782:21,52.0,11.76,2.0,0.0,39:46,27.0,1349.0
0,20172018,New York Rangers,National Hockey League,1,20,27,14,72,14,47,14.0,4.0,0.0,-23.0,1293:29,212.0,92.0,21.0,214:40,994:41,50.82,12.74,1.0,1.0,84:08,64.0,1799.0
0,20172018,Sweden,WC,6815,5,6,0,10,0,11,,,,10.0,,,,,,,,,,,,,
0,20172018,Sweden,EHT,89816,0,1,0,3,0,1,,,,1.0,,,,,,,,,,,,,
0,20182019,New York Rangers,National Hockey League,1,44,30,47,82,47,74,11.0,5.0,2.0,-12.0,1685:48,236.0,134.0,23.0,233:19,1289:49,49.67,12.71,0.0,2.0,162:40,66.0,2084.0
0,20192020,New York Rangers,National Hockey League,1,34,41,14,57,14,75,15.0,6.0,3.0,9.0,1232:50,208.0,51.0,27.0,209:11,874:11,49.17,19.7,2.0,5.0,149:28,49.0,1452.0
0,20202021,New York Rangers,National Hockey League,1,26,24,18,56,18,50,10.0,7.0,2.0,2.0,1125:37,171.0,75.0,14.0,206:57,786:13,46.32,14.0,1.0,4.0,132:27,44.0,1381.0
0,20212022,New York Rangers,National Hockey League,1,52,29,12,81,12,81,15.0,3.0,1.0,30.0,1590:48,219.0,67.0,28.0,242:14,1199:48,52.32,13.2,0.0,5.0,148:46,47.0,1902.0
