,season,team,league,sequenceNumber,timeOnIce,shutouts,ties,wins,losses,goalAgainstAverage,games,goalsAgainst,saves,savePercentage,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20112012,Thunder Bay,Minor-ON,1,1766:00,1.0,2.0,15.0,13.0,3.08,38,121.0,,,,,,,,,,,,,,
0,20122013,Elmira,ON-Jr.B,1,1309:00,0.0,2.0,10.0,8.0,3.39,24,74.0,,,,,,,,,,,,,,
0,20132014,Barrie,OHL,1,2497:00,1.0,2.0,23.0,15.0,2.98,45,124.0,1142.0,0.902,1266.0,,,,,,,,,,,
0,20142015,Barrie,OHL,1,2953:00,2.0,2.0,33.0,14.0,3.09,51,152.0,1460.0,0.906,1612.0,,,,,,,,,,,
0,20142015,Barrie Colts,OHL,9368,,,,,,3.09,51,,,0.906,,,,,,,,,,,,
0,20152016,Barrie,OHL,1,2452:00,3.0,0.0,28.0,13.0,2.72,43,111.0,1403.0,1292.0,1.0,,,,,,,,,,,
0,20152016,Canada,WJC-A,3,183:00,0.0,,,2.0,3.95,3,12.0,,,85.0,,,,,,,,,,,
0,20152016,Barrie Colts,OHL,9368,,,,,,2.72,43,,,0.921,,,,,,,,,,,,
0,20152016,Canada U20,WJC-20,17216,,,,,,3.95,3,,,0.859,,,,,,,,,,,,
0,20162017,Albany Devils,AHL,70157,,,,,,2.55,36,,,0.907,,,,,,,,,,,,
0,20172018,Adirondack Thunder,ECHL,185555,,,,,,2.48,5,,,0.92,,,,,,,,,,,,
0,20172018,Binghamton Devils,AHL,233827,,,,,,3.41,32,,,0.882,,,,,,,,,,,,
0,20182019,New Jersey Devils,National Hockey League,1,1263:52,2.0,0.0,10.0,10.0,2.611035,23,55.0,614.0,0.917788,669.0,0.0,75.0,23.0,516.0,23.0,562.0,84.0,21.0,89.28571428571429,100.0,91.81494661921708
0,20182019,Canada,WC,17155,,,,,,0.0,1,,,1.0,,,,,,,,,,,,
0,20182019,Binghamton Devils,AHL,233827,,,,,,2.95,20,,,0.902,,,,,,,,,,,,
0,20192020,New Jersey Devils,National Hockey League,1,2684:01,3.0,0.0,22.0,14.0,2.772,47,124.0,1328.0,0.915,1452.0,8.0,160.0,36.0,1132.0,42.0,1225.0,185.0,43.0,86.48648648648648,85.71428571428571,92.40816326530611
0,20202021,New Jersey Devils,National Hockey League,1,2090:37,1.0,0.0,14.0,17.0,3.0422,35,106.0,975.0,0.902,1081.0,4.0,113.0,26.0,836.0,29.0,915.0,137.0,35.0,82.48175182481752,89.65517241379311,91.36612021857924
0,20212022,New Jersey Devils,National Hockey League,1,1399:03,2.0,0.0,9.0,10.0,3.38801,25,79.0,652.0,0.892,731.0,4.0,63.0,13.0,576.0,17.0,643.0,71.0,24.0,88.73239436619718,76.47058823529412,89.5800933125972
