,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,Avesta BK J18,J18 Div.1,30280,0,0,0,2,0,0,
0,20152016,Dalarna,TV-Pucken,10956,0,0,2,6,2,0,
0,20152016,Avesta BK J20,J20 Div.1,22895,2,0,2,5,2,2,
0,20152016,Avesta BK J18,J18 Div.1,30280,20,15,2,19,2,35,
0,20152016,Avesta BK U16,U16 Div.1,70754,34,36,18,25,18,70,
0,20162017,Leksands IF J18,J18 Region,7128,5,6,8,15,8,11,
0,20162017,Leksands IF J18,J18 Nationell,7888,7,4,2,15,2,11,11.0
0,20172018,Leksands IF J20,J20 Nationell,5839,2,1,4,21,4,3,-3.0
0,20172018,Leksands IF J18,J18 Region,7128,9,8,6,20,6,17,
0,20172018,Leksands IF J18,J18 Nationell,7888,6,6,4,12,4,12,7.0
0,20182019,Leksands IF,HockeyAllsvenskan,1510,0,0,2,3,2,0,0.0
0,20182019,Avesta BK,Division 2,3179,0,0,0,1,0,0,
0,20182019,Leksands IF J20,J20 Nationell,5839,27,14,14,45,14,41,18.0
0,20192020,Leksands IF,SHL,1079,2,1,0,8,0,3,0.0
0,20192020,Leksands IF J20,J20 Nationell,5839,33,14,12,30,12,47,26.0
0,20192020,Karlskrona HK,HockeyAllsvenskan,6320,0,1,0,6,0,1,1.0
0,20202021,Leksands IF,SHL,1079,8,2,10,51,10,10,-7.0
0,20212022,Leksands IF,Champions HL,392,1,1,0,9,0,2,0.0
0,20212022,Leksands IF,SHL,1079,8,6,8,51,8,14,4.0
0,20212022,Sweden,WC,6815,2,0,0,7,0,2,3.0
