,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20122013,East Coast Selects O U12,WSI U12,206706,5,3,8,8,8,8,
0,20142015,East Coast Selects O U14,WSI U14,206388,7,6,29,9,29,13,
0,20152016,East Coast Selects O U15,WSI U15,206220,6,9,10,8,10,15,
0,20162017,Mississauga Reps U16 AAA,GTHL U16,82850,16,24,36,32,36,40,
0,20162017,Team GTHL Red,OGC-16,154287,3,4,8,5,8,7,
0,20172018,Sarnia Sting,OHL,9498,15,5,14,46,14,20,5.0
0,20172018,Canada Black U17,WHC-17,163780,3,1,6,5,6,4,
0,20172018,Team Blue,U17-Dev,178219,1,1,0,2,0,2,
0,20182019,Sarnia Sting,OHL,9498,22,10,38,37,38,32,-10.0
0,20182019,Canada U18,WJC-18,17193,6,2,18,7,18,8,6.0
0,20182019,Canada U18,Hlinka Gretzky Cup,144760,3,1,4,5,4,4,
0,20192020,Sarnia Sting,OHL,9498,43,18,47,39,47,61,4.0
0,20202021,Chicago Wolves,AHL,957,6,8,47,29,47,14,1.0
0,20212022,Chicago Wolves,AHL,957,17,7,35,61,35,24,7.0
